taxon	fad	lad
t1	10.7408912856607	10.7408912856607
t3	5.93043862601598	5.93043862601598
t5	4.84779291310748	4.84779291310748
t7	7.2741171164097	4.54019892541449
t9	4.14161854631271	4.14161854631271
t13	6.07591078093557	6.07591078093557
t16	1.37839034120825	1.37839034120825
t18	2.64269658215616	2.64269658215616
t20	0.793787219863091	0.793787219863091
t21	9.43288495661384	7.42836887346322
t26	0.658933026050295	0.658933026050295
t29	2.12410489133792	2.12410489133792
t30	2.73228524592038	1.85006898235794
t32	5.00976399440314	4.11794711815795
t37	1.1070110135889	1.1070110135889
t38	2.26740691196446	2.26740691196446
t45	8.18889299304849	4.86050769583946
t46	1.41828332783691	1.41828332783691
t47	4.41818782386094	4.41818782386094
t50	1.80774095410359	1.80774095410359
t56	1.23674472376447	1.23674472376447
t64	2.10533780771579	2.10533780771579
t67	2.80672275843078	2.80672275843078
