Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
0	-70.64637	0	-70.64637	0.228063	0.128644	0.286571	0.143564	0.0919934	0.198361	2.25555	1.78362	0.311211
10000	-35.51147	0	-35.51147	0.117666	0.196191	0.163595	0.315269	0.0979539	0.175893	3.83183	1.44792	1.54446
20000	-36.62448	0	-36.62448	0.140321	0.130793	0.335862	0.391793	0.0932525	0.108094	2.58018	0.86368	0.235857
30000	-33.47317	0	-33.47317	0.276289	0.0767014	0.312859	0.225066	0.157105	0.0842076	1.00743	1.40519	0.943448
40000	-35.54858	0	-35.54858	0.285283	0.240991	0.108907	0.456703	0.0680234	0.0541789	3.88695	1.87093	0.140796
50000	-32.80059	0	-32.80059	0.164187	0.169368	0.195851	0.496068	0.100214	0.205207	3.11997	0.514947	0.709258
60000	-32.39264	0	-32.39264	0.156487	0.149558	0.300789	0.536176	0.132066	0.120604	1.12834	0.712072	0.774387
70000	-33.98105	0	-33.98105	0.0769238	0.161354	0.193079	0.518932	0.0514437	0.0617545	0.707722	0.536323	0.475842
80000	-35.92494	0	-35.92494	0.197807	0.303447	0.19528	0.379718	0.0991641	0.0768044	2.90894	0.372595	1.76494
90000	-40.38293	0	-40.38293	0.121765	0.130144	0.126767	0.264831	0.0370107	0.0453677	5.29112	1.13589	0.307147
100000	-38.35211	0	-38.35211	0.138594	0.135658	0.124081	0.303044	0.0956042	0.21265	2.22142	2.97271	0.274118
110000	-38.37202	0	-38.37202	0.0568684	0.148055	0.538247	0.188518	0.10682	0.138218	1.39109	0.303859	0.393829
120000	-36.83635	0	-36.83635	0.173375	0.168403	0.117889	0.327701	0.0560446	0.133995	0.57126	0.821747	1.98537
130000	-37.22348	0	-37.22348	0.156156	0.140474	0.217553	0.272663	0.0917044	0.114927	1.51685	1.62579	0.421526
140000	-41.36665	0	-41.36665	0.0818947	0.240148	0.249994	0.289718	0.10411	0.17118	1.89477	0.475126	2.27532
150000	-36.70808	0	-36.70808	0.287575	0.0590191	0.167046	0.416473	0.0646942	0.0817053	1.41127	0.547971	1.1997
160000	-36.76517	0	-36.76517	0.234218	0.24444	0.116448	0.40652	0.104866	0.0772701	1.10169	0.695614	0.458177
170000	-40.4726	0	-40.4726	0.0573754	0.133187	0.121916	0.521961	0.0561982	0.103563	2.16381	0.159347	2.81558
180000	-35.11256	0	-35.11256	0.12412	0.136433	0.196343	0.186869	0.157319	0.0334199	1.41371	0.646565	1.83366
190000	-33.54325	0	-33.54325	0.139591	0.102794	0.278039	0.207095	0.0406693	0.111192	1.66252	0.221549	0.658665
200000	-47.00727	0	-47.00727	0.159615	0.321916	0.11708	0.405983	0.130947	0.163298	0.597417	3.99382	0.24535
210000	-32.75045	0	-32.75045	0.146082	0.0842419	0.22806	0.237886	0.122488	0.14994	1.72942	0.937505	0.905713
220000	-34.97596	0	-34.97596	0.0596287	0.0982131	0.15676	0.150459	0.0796506	0.0810169	1.07399	1.47511	0.375842
230000	-38.15448	0	-38.15448	0.170958	0.144174	0.0982176	0.208988	0.0667632	0.0497843	1.80596	0.698341	0.121902
240000	-34.21061	0	-34.21061	0.16769	0.146574	0.177614	0.271723	0.0970082	0.176037	2.19623	0.597216	0.407382
250000	-36.27108	0	-36.27108	0.0935602	0.195935	0.0922512	0.255493	0.112232	0.0665762	1.0945	0.887926	0.420451
260000	-38.80947	0	-38.80947	0.169231	0.173267	0.206071	0.365434	0.103051	0.129069	4.63344	0.386794	0.668636
270000	-33.80308	0	-33.80308	0.0757463	0.172209	0.239268	0.394824	0.0898004	0.039858	1.07747	1.29389	3.19846
280000	-33.42388	0	-33.42388	0.166569	0.14154	0.195564	0.361486	0.138354	0.0857618	2.29271	0.84857	0.637747
290000	-39.08352	0	-39.08352	0.184928	0.197604	0.129049	0.212874	0.139068	0.0756935	1.27482	0.555644	0.521865
300000	-39.08542	0	-39.08542	0.171927	0.0402746	0.119626	0.427858	0.0627051	0.0314083	1.92047	2.08452	0.290591
310000	-35.73102	0	-35.73102	0.255262	0.187774	0.175559	0.417557	0.160112	0.0590136	2.01124	0.675662	0.873799
320000	-39.65737	0	-39.65737	0.192934	0.161108	0.148696	0.275139	0.0567477	0.0524301	0.610353	4.63501	0.506677
330000	-37.01254	0	-37.01254	0.29526	0.154311	0.10047	0.492359	0.0934909	0.0754249	4.73016	0.500257	1.40323
340000	-36.08156	0	-36.08156	0.188702	0.17287	0.174046	0.261012	0.0563407	0.122608	2.64225	1.64539	0.475163
350000	-40.45106	0	-40.45106	0.0920148	0.234488	0.171169	0.286463	0.0876584	0.13829	1.45855	0.26775	0.0770635
360000	-31.71294	0	-31.71294	0.148241	0.108515	0.211523	0.283511	0.111196	0.12705	1.4271	0.458141	1.76657
370000	-36.16026	0	-36.16026	0.229655	0.146541	0.149094	0.20778	0.112965	0.185205	0.93567	0.753736	0.725884
380000	-39.88035	0	-39.88035	0.170698	0.0631625	0.197674	0.3726	0.100732	0.0961431	1.28278	0.748336	0.305975
390000	-37.72614	0	-37.72614	0.10657	0.0946096	0.122439	0.162648	0.212052	0.184848	1.83699	0.450072	0.47443
400000	-51.70501	0	-51.70501	0.0969453	0.153231	0.115717	0.39008	0.155619	0.132956	1.50449	0.490026	0.00496154
410000	-42.50864	0	-42.50864	0.360117	0.107959	0.157095	0.222941	0.0367881	0.0317758	1.44288	0.6581	0.49392
420000	-28.36584	0	-28.36584	0.105466	0.136786	0.149864	0.391721	0.0704777	0.1037	1.65858	1.04305	0.599051
430000	-37.82036	0	-37.82036	0.193709	0.0812658	0.0499935	0.251617	0.139671	0.106155	1.01993	0.868649	0.506962
440000	-39.59846	0	-39.59846	0.139692	0.0439756	0.191718	0.337545	0.104344	0.0927061	3.07886	2.04715	0.667491
450000	-29.89483	0	-29.89483	0.144286	0.104171	0.150424	0.215946	0.0558826	0.104193	1.80254	0.546814	3.95282
460000	-44.41538	0	-44.41538	0.0770243	0.1869	0.178346	0.274015	0.120432	0.0767601	4.55263	2.47565	0.0485414
470000	-32.26852	0	-32.26852	0.102898	0.117532	0.1906	0.331648	0.0886108	0.131078	1.29458	1.34401	1.28677
480000	-37.94429	0	-37.94429	0.107884	0.170138	0.294745	0.534805	0.134277	0.0966781	0.765545	0.833844	0.932142
490000	-33.47648	0	-33.47648	0.0841318	0.138007	0.172923	0.242909	0.102586	0.0776159	0.41473	0.431712	1.10069
500000	-41.51086	0	-41.51086	0.195469	0.421384	0.159644	0.353014	0.0807298	0.0941358	0.540863	0.267632	2.67735
510000	-40.82415	0	-40.82415	0.188481	0.217331	0.190771	0.301688	0.22014	0.102279	2.69133	0.577226	2.45094
520000	-33.05364	0	-33.05364	0.181723	0.0806902	0.135876	0.304925	0.103693	0.126574	2.40659	0.810263	0.587328
530000	-39.74408	0	-39.74408	0.0532038	0.0743061	0.0707905	0.850754	0.12387	0.0677784	1.9353	0.961122	2.37244
540000	-43.01404	0	-43.01404	0.267539	0.231778	0.0978679	0.233278	0.186136	0.177464	6.56776	1.24019	0.195074
550000	-38.66352	0	-38.66352	0.0557955	0.109165	0.154971	0.254284	0.135451	0.0706882	1.7676	0.711535	0.142368
560000	-32.78048	0	-32.78048	0.104698	0.201179	0.096277	0.299273	0.145916	0.0782254	0.961988	0.979029	1.02276
570000	-38.58761	0	-38.58761	0.147812	0.150201	0.101358	0.228364	0.158121	0.0497933	2.15611	0.666169	0.340833
580000	-34.32735	0	-34.32735	0.174826	0.200845	0.0951028	0.418687	0.158799	0.0569222	1.24776	1.53038	5.05752
590000	-34.45795	0	-34.45795	0.154237	0.119665	0.254269	0.0884214	0.122185	0.0492282	0.998981	1.37292	0.426758
600000	-34.03507	0	-34.03507	0.231346	0.0394153	0.215662	0.398899	0.241213	0.0771	1.33962	1.24092	0.85616
610000	-33.0443	0	-33.0443	0.194225	0.173347	0.157009	0.501386	0.0790639	0.077008	0.481584	0.653272	1.48779
620000	-31.19342	0	-31.19342	0.0943679	0.207718	0.130809	0.248144	0.0705721	0.123242	2.25645	1.00168	2.80159
630000	-39.492	0	-39.492	0.155731	0.138945	0.480309	0.32474	0.117244	0.208152	3.09677	0.848986	2.01648
640000	-38.90236	0	-38.90236	0.217242	0.17399	0.199697	0.431768	0.152846	0.0601419	1.08638	4.30895	1.27926
650000	-34.53144	0	-34.53144	0.161146	0.101072	0.304522	0.227183	0.0523801	0.201742	1.37785	0.945247	0.320286
660000	-40.69289	0	-40.69289	0.175793	0.0825401	0.211325	0.170167	0.11362	0.102557	4.93788	0.75732	0.410582
670000	-31.85645	0	-31.85645	0.137155	0.142136	0.455093	0.201033	0.186651	0.134114	1.92752	1.24152	1.31342
680000	-33.28227	0	-33.28227	0.183475	0.129287	0.126622	0.247399	0.103599	0.0904966	2.13891	0.344072	2.83645
690000	-36.65865	0	-36.65865	0.260928	0.146272	0.487026	0.44564	0.125274	0.0999436	3.16027	1.28709	3.55496
700000	-34.71159	0	-34.71159	0.203664	0.134502	0.0982024	0.219268	0.0980455	0.10875	0.954825	1.2624	2.86336
710000	-40.21307	0	-40.21307	0.280248	0.0989913	0.0603262	0.285054	0.128787	0.181525	1.96147	1.08623	0.215832
720000	-34.68055	0	-34.68055	0.18961	0.0705498	0.0991066	0.225055	0.132005	0.0961407	2.07228	2.38933	0.598891
730000	-35.35996	0	-35.35996	0.163247	0.0635407	0.163499	0.371452	0.102627	0.0879999	1.22602	0.964604	0.8616
740000	-33.50203	0	-33.50203	0.155322	0.112252	0.28639	0.356114	0.0914337	0.0578213	1.32622	1.35502	1.36455
750000	-34.98304	0	-34.98304	0.160829	0.139035	0.176016	0.195479	0.203647	0.195164	3.52605	0.829241	1.74365
760000	-42.21217	0	-42.21217	0.100545	0.0962986	0.407642	0.098751	0.0541191	0.0837073	2.96319	1.99954	0.91673
770000	-36.74183	0	-36.74183	0.231042	0.10748	0.225697	0.268274	0.0933577	0.137456	5.00923	0.51345	0.367321
780000	-38.11922	0	-38.11922	0.216056	0.171034	0.13739	0.56361	0.156875	0.381892	4.18255	0.987657	1.21136
790000	-34.24332	0	-34.24332	0.102927	0.138275	0.329764	0.263889	0.119327	0.118344	3.18581	0.267024	1.64457
800000	-36.59265	0	-36.59265	0.111875	0.229402	0.265097	0.340013	0.136612	0.0551749	1.61996	0.315126	0.936604
810000	-36.5558	0	-36.5558	0.214921	0.0728006	0.234014	0.232614	0.177066	0.104888	1.14461	1.88607	1.32075
820000	-41.02252	0	-41.02252	0.16118	0.123535	0.200255	0.52806	0.120124	0.0684342	2.16481	0.224466	0.75376
830000	-33.85107	0	-33.85107	0.136629	0.218401	0.297297	0.263092	0.177844	0.0962178	0.976385	1.31959	0.382221
840000	-36.76219	0	-36.76219	0.164749	0.121432	0.116432	0.472987	0.0679152	0.196927	4.40479	1.87116	1.32969
850000	-49.75776	0	-49.75776	0.129802	0.177681	0.347798	0.14931	0.0732184	0.214565	0.628165	0.419178	0.277921
860000	-35.46466	0	-35.46466	0.188625	0.0887723	0.0794936	0.201023	0.0672036	0.079596	2.52676	3.97787	0.380919
870000	-41.79926	0	-41.79926	0.345044	0.125872	0.0946278	0.515306	0.180443	0.0970684	3.47016	0.554406	1.41976
880000	-40.13427	0	-40.13427	0.244744	0.0677425	0.0740509	0.485817	0.112481	0.0975826	1.84853	1.19559	0.390715
890000	-36.45623	0	-36.45623	0.105864	0.0990445	0.204109	0.198483	0.0963805	0.0905789	1.07669	1.6853	0.163044
900000	-34.2693	0	-34.2693	0.217558	0.113029	0.178359	0.614392	0.0504649	0.107826	2.14964	1.44941	1.89879
910000	-39.51995	0	-39.51995	0.317924	0.222515	0.175254	0.238768	0.208907	0.158374	1.26282	2.26824	0.291231
920000	-33.39665	0	-33.39665	0.0891893	0.0720114	0.143329	0.147381	0.0891376	0.105229	1.72794	1.66615	0.75284
930000	-38.83389	0	-38.83389	0.08021	0.23117	0.265198	0.482213	0.152876	0.168483	1.10881	0.289173	0.806987
940000	-33.13722	0	-33.13722	0.0963035	0.0565894	0.194347	0.390009	0.0933466	0.0874857	0.717863	0.982624	0.466481
950000	-37.53564	0	-37.53564	0.159872	0.148614	0.141551	0.367662	0.0525633	0.116422	0.726986	3.39729	1.92874
960000	-34.34811	0	-34.34811	0.11053	0.11856	0.166272	0.499328	0.0568841	0.13398	1.21839	0.578357	0.901137
970000	-40.49441	0	-40.49441	0.314104	0.170867	0.312238	0.3585	0.073456	0.152837	1.70585	1.00742	0.704247
980000	-33.25627	0	-33.25627	0.153207	0.102514	0.192737	0.268716	0.10841	0.0644254	0.969542	1.17801	0.884927
990000	-39.39254	0	-39.39254	0.0365483	0.0934644	0.333551	0.21078	0.0548357	0.0970431	2.40366	1.46087	2.19601
1000000	-36.48564	0	-36.48564	0.0879262	0.192246	0.0900574	0.245601	0.0998827	0.152061	0.501012	0.575719	0.763282
1010000	-35.35156	0	-35.35156	0.243108	0.0975791	0.118021	0.440792	0.11453	0.12673	0.598363	1.12588	0.356379
1020000	-45.12277	0	-45.12277	0.0698453	0.276058	0.443948	0.2078	0.094079	0.176784	3.6231	1.51162	1.41962
1030000	-32.77786	0	-32.77786	0.0791518	0.1729	0.180252	0.195823	0.100341	0.190876	1.47305	0.895645	0.629781
1040000	-45.30856	0	-45.30856	0.119417	0.167543	0.123416	0.302797	0.0867548	0.115628	2.3342	3.29725	1.34121
1050000	-41.31583	0	-41.31583	0.260099	0.116879	0.174067	0.554919	0.20864	0.0983715	0.832839	0.939801	2.97534
1060000	-40.40186	0	-40.40186	0.122156	0.0708885	0.09652	0.290809	0.169389	0.173271	1.2674	5.06486	0.0978496
1070000	-30.27203	0	-30.27203	0.106689	0.11549	0.113927	0.25664	0.0633742	0.081807	1.34094	1.33883	1.22114
1080000	-34.4646	0	-34.4646	0.124278	0.120026	0.0908054	0.28734	0.0859711	0.0797389	3.5083	1.23744	0.538859
1090000	-38.08879	0	-38.08879	0.224781	0.0978243	0.175303	0.400826	0.0869588	0.0896323	0.53841	0.172867	0.184216
1100000	-40.76269	0	-40.76269	0.234557	0.0981777	0.116807	0.476134	0.0964956	0.142075	1.27631	0.229023	0.575587
1110000	-38.43346	0	-38.43346	0.084345	0.184571	0.180926	0.315708	0.0747377	0.0738327	1.24083	0.321895	0.0658808
1120000	-32.21933	0	-32.21933	0.0564851	0.223748	0.0804991	0.286903	0.0968677	0.0930118	1.77003	0.626015	0.418027
1130000	-38.08456	0	-38.08456	0.227024	0.125571	0.224876	0.282551	0.101246	0.105091	1.67371	0.240206	0.0374272
1140000	-40.83064	0	-40.83064	0.107369	0.0900659	0.2337	0.470891	0.175211	0.271838	1.35615	1.21655	2.51644
1150000	-38.71491	0	-38.71491	0.151676	0.175694	0.189421	0.727002	0.0745065	0.0344524	1.64691	0.765918	0.721442
1160000	-38.03796	0	-38.03796	0.132356	0.126572	0.270821	0.264968	0.0547288	0.0823084	1.54432	0.643453	0.159083
1170000	-28.60018	0	-28.60018	0.103456	0.154685	0.200829	0.343445	0.0618024	0.0967538	2.03348	0.781824	1.76016
1180000	-33.97099	0	-33.97099	0.163411	0.1364	0.208172	0.353038	0.119856	0.0450685	2.01155	0.454648	0.738405
1190000	-42.43477	0	-42.43477	0.0567445	0.122802	0.21925	0.27993	0.109868	0.0342531	2.26066	1.12071	1.93986
1200000	-37.05306	0	-37.05306	0.162917	0.08343	0.110551	0.191001	0.080533	0.0864077	2.09241	1.90267	1.66937
