Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
0	-57.33325	0	-57.33325	0.247028	0.2536	0.129041	0.0995758	0.127459	0.189397	0.153052	0.41924	0.69527
10000	-20.15292	0	-20.15292	0.11797	0.207292	0.28319	0.149198	0.049256	0.0682948	1.80552	0.305746	1.17828
20000	-26.18418	0	-26.18418	0.163682	0.264931	0.20259	0.299205	0.220868	0.0751169	0.666387	0.478068	2.12231
30000	-17.54299	0	-17.54299	0.11894	0.169568	0.146769	0.131298	0.11186	0.124364	2.3962	0.449198	0.770942
40000	-21.79778	0	-21.79778	0.134443	0.102138	0.1044	0.278413	0.0478502	0.0778677	2.28331	1.39527	1.13384
50000	-16.21826	0	-16.21826	0.10695	0.225543	0.189834	0.132838	0.0696743	0.0822728	1.77896	0.590722	0.669465
60000	-21.43019	0	-21.43019	0.235427	0.156717	0.149873	0.203342	0.183588	0.065424	2.41654	1.44113	0.273107
70000	-19.69308	0	-19.69308	0.135522	0.132993	0.145685	0.206183	0.11241	0.12055	3.787	0.826913	0.0924299
80000	-26.41588	0	-26.41588	0.104472	0.192196	0.0951483	0.237086	0.102624	0.141267	4.00486	0.651412	0.425309
90000	-22.85758	0	-22.85758	0.115148	0.189956	0.143737	0.167276	0.135721	0.0867602	3.66272	1.86554	0.123219
100000	-23.27015	0	-23.27015	0.0716847	0.251357	0.336581	0.193052	0.176021	0.061024	1.64745	1.17345	1.76051
110000	-21.43856	0	-21.43856	0.0682854	0.425143	0.140838	0.275056	0.168364	0.0934668	4.3637	1.12527	3.1047
120000	-19.75567	0	-19.75567	0.106724	0.181979	0.138601	0.0950585	0.147309	0.155954	4.22214	3.01421	0.64701
130000	-24.14007	0	-24.14007	0.110453	0.106209	0.115643	0.234927	0.0358544	0.113492	3.92331	0.876394	0.39917
140000	-23.3651	0	-23.3651	0.115951	0.258874	0.231039	0.213268	0.407131	0.147722	2.43653	0.716511	0.6249
150000	-22.41854	0	-22.41854	0.0605005	0.166346	0.204563	0.214151	0.195982	0.140866	3.05591	0.465004	0.0580183
160000	-17.87724	0	-17.87724	0.092215	0.119448	0.167362	0.209544	0.0453472	0.131838	2.42151	0.257546	0.768809
170000	-22.16127	0	-22.16127	0.158114	0.0451235	0.224335	0.181874	0.0931394	0.109487	4.80036	1.17884	1.24652
180000	-25.76608	0	-25.76608	0.0433213	0.0773335	0.306553	0.0974593	0.262735	0.143334	2.99921	0.676302	2.40883
190000	-28.71938	0	-28.71938	0.12366	0.214105	0.213997	0.168923	0.0667856	0.336231	2.94186	0.669291	0.150692
200000	-23.42756	0	-23.42756	0.0751224	0.123623	0.2177	0.110505	0.119241	0.130598	1.02803	0.147367	0.342656
210000	-22.41782	0	-22.41782	0.109588	0.294895	0.116075	0.253777	0.109623	0.0919719	4.03802	0.322991	0.859542
220000	-20.9594	0	-20.9594	0.160074	0.125608	0.22874	0.133962	0.0686832	0.121618	2.88033	0.168203	0.237891
230000	-22.30089	0	-22.30089	0.121297	0.151246	0.279393	0.219019	0.129052	0.100987	0.994453	0.635643	3.31764
240000	-21.67638	0	-21.67638	0.0893987	0.1477	0.109568	0.31725	0.0661997	0.131421	2.37628	1.08688	2.58862
250000	-20.48869	0	-20.48869	0.124163	0.257654	0.135302	0.184981	0.0990816	0.109863	1.02159	1.24955	0.300182
260000	-24.62729	0	-24.62729	0.185086	0.185556	0.235548	0.106412	0.103259	0.074422	1.73402	0.932102	0.359234
270000	-18.5261	0	-18.5261	0.144688	0.149125	0.05044	0.162149	0.0803844	0.114247	3.49033	0.299095	0.89343
280000	-24.82829	0	-24.82829	0.142725	0.184493	0.209529	0.221237	0.111899	0.100318	1.95403	0.770261	0.161891
290000	-20.71222	0	-20.71222	0.138727	0.253063	0.115985	0.12644	0.0768322	0.0665748	1.7998	0.539781	0.28852
300000	-28.8259	0	-28.8259	0.288388	0.164047	0.379651	0.156166	0.177401	0.21607	1.90539	1.0129	1.63473
310000	-22.47927	0	-22.47927	0.092779	0.089531	0.245328	0.170694	0.0712275	0.151574	3.22548	0.354579	0.1378
320000	-23.55161	0	-23.55161	0.0992453	0.117589	0.175489	0.136692	0.154122	0.308235	1.14402	1.01011	0.68245
330000	-20.28082	0	-20.28082	0.107589	0.142673	0.126021	0.180636	0.175669	0.156067	1.86721	0.61798	0.766258
340000	-20.42366	0	-20.42366	0.156422	0.119905	0.263594	0.423373	0.113935	0.0782986	1.54866	0.480338	1.46315
350000	-26.68962	0	-26.68962	0.0680574	0.19763	0.199559	0.265129	0.0912304	0.151389	1.21756	0.980316	0.258717
360000	-24.26462	0	-24.26462	0.133501	0.0659126	0.0983954	0.270471	0.169124	0.112095	1.27831	0.922193	0.413247
370000	-20.83694	0	-20.83694	0.137931	0.222641	0.142431	0.175396	0.0818532	0.166888	0.878683	0.428422	0.294066
380000	-24.23962	0	-24.23962	0.119307	0.111847	0.286681	0.302931	0.0869023	0.201534	2.69658	0.355735	0.943236
390000	-21.56604	0	-21.56604	0.10956	0.197051	0.145242	0.190798	0.123801	0.0901824	1.77034	0.39466	0.711009
400000	-19.90888	0	-19.90888	0.113647	0.14573	0.276108	0.119005	0.133112	0.142088	3.08719	0.199558	2.38684
410000	-24.87272	0	-24.87272	0.0505078	0.192025	0.282515	0.358613	0.114295	0.0776112	1.43792	0.687812	0.51992
420000	-22.85261	0	-22.85261	0.102265	0.220286	0.184648	0.160413	0.121404	0.235949	1.79235	0.181668	0.544313
430000	-25.84608	0	-25.84608	0.0969547	0.172604	0.332497	0.128319	0.0969055	0.343627	3.54786	1.1334	0.273329
440000	-26.51	0	-26.51	0.0769417	0.175107	0.273095	0.261305	0.134443	0.127642	3.14385	1.19455	1.36387
450000	-20.5649	0	-20.5649	0.169478	0.185715	0.226725	0.158953	0.105803	0.271626	1.95937	0.187951	1.06812
460000	-33.99998	0	-33.99998	0.111951	0.394597	0.136276	0.100453	0.100509	0.0827859	2.91129	2.35233	0.154938
470000	-20.3771	0	-20.3771	0.0610138	0.161473	0.133264	0.231433	0.0822583	0.103551	0.671379	0.355629	0.64837
480000	-18.41787	0	-18.41787	0.115755	0.157645	0.0555161	0.247741	0.10812	0.155041	1.45073	0.820229	0.886189
490000	-29.30928	0	-29.30928	0.132899	0.0613991	0.323613	0.145383	0.102498	0.140059	1.82816	0.832332	0.209023
500000	-24.65982	0	-24.65982	0.0689215	0.241901	0.180824	0.363082	0.0753733	0.126838	2.30674	0.336003	0.527778
510000	-28.23138	0	-28.23138	0.108784	0.0650904	0.190928	0.164829	0.215248	0.172106	1.94311	0.490509	0.198517
520000	-21.00279	0	-21.00279	0.134177	0.185905	0.248202	0.115361	0.136106	0.136082	1.40149	0.142736	1.78189
530000	-18.72902	0	-18.72902	0.0889923	0.250515	0.0978511	0.187279	0.0788244	0.147643	1.17106	0.56193	0.67486
540000	-15.46077	0	-15.46077	0.0908398	0.215325	0.160374	0.128207	0.130163	0.21144	2.28565	0.967044	1.46095
550000	-33.88315	0	-33.88315	0.101165	0.178782	0.177382	0.248165	0.0490562	0.0952403	2.26034	1.02394	0.0173251
560000	-24.19096	0	-24.19096	0.311222	0.197405	0.243163	0.2468	0.113585	0.131354	1.09251	0.258454	0.541292
