Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
0	-34.55189	0	-34.55189	0.0682525	0.397366	0.130103	0.105606	0.0935665	0.19334	1.246	1.58645	0.644142
10000	-8.180322	0	-8.180322	0.233698	0.16817	0.0547402	0.138344	0.0667171	0.0928534	1.60436	0.563309	0.5897
20000	-18.47301	0	-18.47301	0.514102	0.0950199	0.0815966	0.139885	0.23575	0.155746	1.23405	0.586983	0.384278
30000	-14.3048	0	-14.3048	0.326751	0.288912	0.391936	0.13141	0.105992	0.0677342	0.840936	0.873363	0.736258
40000	-16.36753	0	-16.36753	0.257198	0.244105	0.149647	0.194612	0.302846	0.121011	0.674231	0.620711	1.29781
50000	-14.81885	0	-14.81885	0.146153	0.448924	0.131204	0.184929	0.145616	0.203998	0.870741	1.36646	1.13019
60000	-15.42489	0	-15.42489	0.0847489	0.134375	0.268016	0.256202	0.0908311	0.0248984	0.825407	0.692227	1.31078
70000	-10.02021	0	-10.02021	0.106678	0.202402	0.0444582	0.192949	0.141295	0.162704	2.26257	0.363023	1.24639
80000	-18.61369	0	-18.61369	0.275004	0.0702695	0.282397	0.267799	0.403915	0.0887622	2.6678	0.918941	1.07217
90000	-18.0056	0	-18.0056	0.0330677	0.301614	0.0405874	0.457667	0.125895	0.0711186	3.33389	1.24812	1.03731
100000	-17.65479	0	-17.65479	0.190392	0.283125	0.2879	0.099807	0.116172	0.313737	1.96088	0.797358	0.594635
110000	-15.69888	0	-15.69888	0.17558	0.120725	0.444998	0.106029	0.0424233	0.0770711	0.986067	0.754232	0.994942
120000	-18.9716	0	-18.9716	0.250347	0.0783403	0.198919	0.0410317	0.137145	0.367454	1.45943	0.434298	1.66019
130000	-7.974286	0	-7.974286	0.182328	0.224028	0.0721967	0.171612	0.0463243	0.0511852	1.14341	0.86245	0.483082
140000	-13.95498	0	-13.95498	0.0758252	0.0826144	0.351462	0.11475	0.0914028	0.149639	1.71411	0.754504	0.60829
150000	-14.9312	0	-14.9312	0.33941	0.1498	0.0543486	0.0893549	0.178334	0.0884523	1.3605	1.12851	0.583299
160000	-11.79234	0	-11.79234	0.166026	0.132394	0.10514	0.168964	0.108924	0.211467	1.79159	0.352909	0.394173
170000	-6.456476	0	-6.456476	0.181905	0.122667	0.0552721	0.129551	0.16444	0.0693862	1.92828	0.975011	0.822769
180000	-11.69149	0	-11.69149	0.310809	0.0712733	0.107334	0.185133	0.0645681	0.117524	2.91886	0.857317	0.86595
190000	-13.17147	0	-13.17147	0.0791741	0.34859	0.288797	0.12655	0.201837	0.102969	0.838115	0.619263	0.783391
200000	-7.441272	0	-7.441272	0.161018	0.113547	0.064304	0.14588	0.0923994	0.170112	0.636848	0.538737	0.587459
210000	-7.484832	0	-7.484832	0.0793687	0.136007	0.101415	0.139262	0.136167	0.153999	1.21356	0.512795	1.16104
220000	-13.06357	0	-13.06357	0.170016	0.21013	0.243818	0.208008	0.108459	0.118491	1.45533	0.668668	0.571133
230000	-16.04528	0	-16.04528	0.045828	0.241046	0.239376	0.174707	0.235812	0.126792	1.28155	0.59368	0.479678
240000	-9.298664	0	-9.298664	0.460476	0.205361	0.187198	0.160568	0.161844	0.0980241	1.22927	0.944075	0.982659
250000	-14.91889	0	-14.91889	0.229118	0.276686	0.2628	0.289744	0.185819	0.143526	1.02801	0.792667	0.349814
260000	-18.79627	0	-18.79627	0.141142	0.131542	0.437499	0.133956	0.13647	0.0393675	0.846861	0.258701	0.675357
270000	-13.23986	0	-13.23986	0.129236	0.552837	0.0941758	0.0827704	0.116282	0.102188	2.03119	0.567672	0.616734
280000	-11.88069	0	-11.88069	0.231837	0.236058	0.213004	0.0927728	0.0994254	0.18505	1.36681	1.04626	1.26979
290000	-10.47191	0	-10.47191	0.152443	0.130442	0.138035	0.188197	0.132476	0.257912	3.69376	0.690491	0.979556
300000	-11.13056	0	-11.13056	0.0822817	0.163295	0.112894	0.14307	0.0821496	0.33368	1.65508	0.791696	0.943407
310000	-12.07616	0	-12.07616	0.195107	0.0973703	0.208918	0.153588	0.0838392	0.096955	1.67292	0.376334	0.536666
320000	-9.481216	0	-9.481216	0.256658	0.0539931	0.213729	0.254536	0.0500633	0.0897053	1.766	1.1065	0.582612
330000	-11.74928	0	-11.74928	0.1717	0.256727	0.189393	0.120198	0.16408	0.0902994	1.91222	0.647443	0.791474
340000	-16.14449	0	-16.14449	0.239046	0.148313	0.102949	0.132626	0.0790768	0.268461	1.02023	0.668618	0.191845
350000	-15.19874	0	-15.19874	0.0700908	0.101357	0.166642	0.295776	0.0735726	0.0693778	2.22189	1.01384	1.59235
360000	-10.67344	0	-10.67344	0.331145	0.104762	0.125211	0.216352	0.130107	0.0615656	1.83435	1.5096	0.59306
370000	-10.48738	0	-10.48738	0.118401	0.268348	0.166465	0.0923196	0.181884	0.17788	0.98364	1.39903	0.863103
380000	-16.63092	0	-16.63092	0.263744	0.508979	0.15576	0.307819	0.165531	0.0604445	1.19205	1.00491	0.794944
390000	-10.15561	0	-10.15561	0.13292	0.0624248	0.21114	0.127565	0.0772215	0.252519	0.606373	0.681478	0.677152
400000	-8.628587	0	-8.628587	0.245003	0.172146	0.154671	0.180198	0.155094	0.248081	0.718243	0.745652	0.687482
410000	-12.03466	0	-12.03466	0.189923	0.290953	0.194516	0.132475	0.107071	0.176901	0.689847	1.27683	0.502865
420000	-11.92704	0	-11.92704	0.0808475	0.19148	0.198172	0.50398	0.0652436	0.103639	1.17119	0.667227	0.960397
430000	-7.761763	0	-7.761763	0.189702	0.182783	0.0729658	0.0927266	0.195908	0.0554498	1.3602	0.579796	0.591074
440000	-13.91653	0	-13.91653	0.224682	0.268978	0.0872209	0.0643472	0.20511	0.228466	1.68498	1.16659	0.60124
450000	-13.25523	0	-13.25523	0.136107	0.110535	0.293833	0.17669	0.0945947	0.123388	4.01355	0.79127	1.18095
460000	-9.816834	0	-9.816834	0.133477	0.29483	0.310942	0.17443	0.100673	0.160278	1.0353	0.809009	0.895201
470000	-13.44406	0	-13.44406	0.46568	0.3578	0.162027	0.196368	0.177124	0.0785181	1.29409	0.479497	1.39106
480000	-12.92322	0	-12.92322	0.103302	0.18291	0.12244	0.0969629	0.222771	0.223804	1.53589	1.03582	1.66111
490000	-14.46604	0	-14.46604	0.0973099	0.154113	0.137244	0.199188	0.107606	0.276137	2.32868	0.873503	1.07099
500000	-12.90641	0	-12.90641	0.165252	0.222923	0.165297	0.0562205	0.180021	0.109466	1.27748	0.565423	1.01655
510000	-10.97215	0	-10.97215	0.133303	0.142068	0.218013	0.218172	0.157804	0.0752844	1.7941	0.629022	0.489843
