Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
0	-34.76242	0	-34.76242	0.130199	0.237011	0.110092	0.172644	0.0698107	0.100737	1.96486	2.90666	0.440528
10000	-17.33882	0	-17.33882	0.0516037	0.115742	0.115371	0.435566	0.0765625	0.0763645	0.773377	1.36351	0.370962
20000	-27.65546	0	-27.65546	0.384349	0.0892046	0.222118	0.387625	0.190504	0.0738458	1.14025	2.90397	3.1182
30000	-19.29624	0	-19.29624	0.0970575	0.185583	0.0836201	0.273318	0.159989	0.0378959	1.32647	0.803155	1.69782
40000	-22.62867	0	-22.62867	0.0946969	0.135902	0.186542	0.139565	0.127705	0.108401	2.62081	6.40078	2.47559
50000	-22.86207	0	-22.86207	0.0565566	0.129223	0.147225	0.353274	0.0580826	0.0426219	2.01433	1.32037	1.34291
60000	-18.9931	0	-18.9931	0.131724	0.150911	0.153452	0.162441	0.0562234	0.108081	1.22499	1.2891	0.56869
70000	-18.5472	0	-18.5472	0.095117	0.119403	0.275682	0.243126	0.100796	0.060675	1.38619	0.73259	0.335631
80000	-24.00486	0	-24.00486	0.138645	0.185744	0.0786489	0.479682	0.111062	0.0844397	1.53878	0.738458	0.701931
90000	-20.06003	0	-20.06003	0.0735546	0.0572193	0.118457	0.151813	0.17534	0.0479535	0.577058	1.66268	0.824875
100000	-19.01771	0	-19.01771	0.105731	0.115645	0.138356	0.188253	0.0485119	0.0639325	1.09454	0.777852	0.293888
110000	-21.56099	0	-21.56099	0.0691177	0.235755	0.203898	0.363362	0.116599	0.108941	1.77646	0.363989	0.932181
120000	-27.62173	0	-27.62173	0.179359	0.0688923	0.124166	0.428279	0.0881173	0.110718	0.258052	0.138329	0.163034
130000	-20.71188	0	-20.71188	0.0875588	0.127266	0.0617219	0.142852	0.14475	0.0718651	1.08662	1.95732	0.179467
140000	-18.80455	0	-18.80455	0.16151	0.123618	0.170774	0.381158	0.081505	0.0931255	2.25636	2.80887	0.934553
150000	-24.54782	0	-24.54782	0.163729	0.113863	0.166771	0.106313	0.248178	0.170336	0.914353	1.35461	3.32249
160000	-22.72182	0	-22.72182	0.12943	0.158745	0.277787	0.495401	0.227641	0.0569472	1.98667	1.00175	0.817612
170000	-18.11687	0	-18.11687	0.106326	0.137817	0.233409	0.157613	0.115594	0.208943	0.35079	0.286598	2.01661
180000	-20.58201	0	-20.58201	0.102087	0.104452	0.111407	0.328415	0.115648	0.0921913	2.17932	1.42933	0.692241
190000	-19.54986	0	-19.54986	0.21507	0.120212	0.32436	0.504846	0.170472	0.109095	1.01431	0.643471	1.74106
200000	-18.87415	0	-18.87415	0.065653	0.158738	0.10859	0.110106	0.245098	0.091617	0.975475	0.665075	0.528737
210000	-18.84829	0	-18.84829	0.160403	0.120278	0.198777	0.259583	0.211298	0.197525	1.81067	0.87181	0.937373
220000	-23.74906	0	-23.74906	0.11613	0.168833	0.39288	0.341444	0.238259	0.0575688	0.75447	0.671655	1.46616
230000	-19.25677	0	-19.25677	0.124316	0.158656	0.267636	0.3201	0.184752	0.0943171	0.99872	1.41494	1.50434
240000	-22.58193	0	-22.58193	0.120114	0.0957805	0.0943528	0.383842	0.159559	0.0962158	2.13771	0.865817	0.971825
250000	-27.48224	0	-27.48224	0.344301	0.145727	0.253354	0.39248	0.103303	0.0763515	0.812516	2.236	0.317879
260000	-19.42649	0	-19.42649	0.134368	0.0774902	0.102205	0.355819	0.0921223	0.152039	0.695358	1.88406	2.25249
270000	-30.03181	0	-30.03181	0.485428	0.130543	0.187836	0.33063	0.22353	0.107818	0.955571	2.18325	3.43508
280000	-21.22404	0	-21.22404	0.127738	0.093918	0.275803	0.117093	0.17507	0.136237	4.40439	0.988071	0.640218
290000	-18.65863	0	-18.65863	0.103194	0.181327	0.112439	0.0857896	0.0745916	0.139543	2.42702	1.91337	0.87599
300000	-19.21137	0	-19.21137	0.171559	0.0891822	0.130048	0.222426	0.0989703	0.139916	0.73666	1.23707	1.01513
310000	-20.58883	0	-20.58883	0.160476	0.0867155	0.285056	0.261766	0.1062	0.099231	0.170564	0.420811	1.6483
320000	-25.26084	0	-25.26084	0.258609	0.0818179	0.113234	0.249161	0.106674	0.152902	1.30018	0.789978	3.96969
330000	-19.81877	0	-19.81877	0.0809037	0.167337	0.150213	0.308368	0.0362088	0.111389	0.974801	1.80073	0.450772
