taxon	int_1	int_2
t1	0	1
t2	1	1
t3	1	1
t4	0	1
t5	0	1
t7	1	0
t8	1	0
t9	1	1
t10	1	1
t11	0	1
t14	0	1
t15	1	0
t17	0	1
t18	0	1
t19	0	1
t20	0	1
t22	0	1
t23	1	0
t24	1	0
t26	0	1
t27	1	1
t29	1	0
t30	1	0
t31	1	0
t32	0	1
t35	1	0
t37	1	0
t38	1	1
t39	1	0
t42	1	1
t43	1	0
t45	0	1
t46	0	1
t47	1	0
t49	1	0
t50	1	0
t51	1	1
t52	1	0
t53	1	0
t54	1	0
t55	1	0
t56	1	0
t57	1	1
t58	1	0
t63	1	0
t66	1	0
t67	1	0
t70	1	1
t71	1	0
t72	0	1
t75	1	0
t78	1	0
t79	1	0
t80	1	0
t81	1	0
t82	1	0
t83	1	0
t84	1	0
t85	1	0
t86	1	0
t90	1	0
t91	1	0
t93	1	0
t94	1	0
t95	1	0
t96	1	0
t97	1	0
t99	1	0
t100	1	1
t101	1	0
t102	1	0
t103	1	0
t104	1	0
t107	1	0
t108	1	0
t109	1	0
t110	1	0
t111	1	0
t112	1	0
t113	1	0
t114	1	0
t116	1	0
t117	1	0
t119	1	0
t121	1	0
t122	1	0
t124	1	1
t125	1	1
t126	1	0
t127	1	0
t128	1	0
t129	1	0
t133	1	0
t137	1	0
t138	1	0
t144	1	0
t145	1	0
t146	1	0
t147	1	1
t148	0	1
t149	1	1
t150	1	0
t153	1	0
t154	1	0
t155	1	0
t156	1	0
t157	1	0
t160	1	0
t161	1	0
t162	1	0
