taxon	fad	lad
t1	25.7788133622616	23.8155837373967
t4	25.1300830450548	18.7397644425735
t5	26.0220744695921	23.9095885898704
t7	25.2651946561952	12.8175932613199
t8	22.1156603514134	3.21591427590968
t11	13.7109022003914	13.7109022003914
t12	17.8505456095419	15.0474627492965
t13	19.9209514088463	19.9209514088463
t15	7.1669741643894	5.445372189239
t17	2.24046401117491	2.24046401117491
t18	0.975972871504094	0.975972871504094
t22	11.4950266435729	4.86181506919573
t23	10.038507435566	0.516030418769798
t24	8.32305364666697	8.32305364666697
t25	2.60936542179567	0.0911755768784595
t27	1.85330241521368	1.00897399561938
t28	16.391538769133	4.51623945345766
t30	13.4364611577478	13.4364611577478
t31	9.64363879936992	6.73086723442461
t32	17.4845142960798	16.6118807007498
t33	15.2351766524287	10.3759148573112
t40	9.10283874144898	9.10283874144898
t41	7.12919354333231	7.04139543281246
t42	5.60192363749549	0.955563135288411
t43	2.4881353554373	2.4881353554373
t44	0.124271326005751	0.124271326005751
t46	9.03441909149334	8.23472042637612
t47	2.65235737743681	0.681452273095207
t48	3.24596822243027	0.983600310483006
t52	2.0473505967203	2.0473505967203
t53	0.805038932242518	0.805038932242518
t54	0.419916699356836	0.419916699356836
t56	3.54850017038166	3.54850017038166
t57	1.39446772006021	1.39446772006021
t58	6.27712374401268	1.42112538235905
t59	0.868140000343043	0.868140000343043
t61	6.6981166312998	2.85704284258212
t62	15.9196466212274	11.2088350510282
t63	15.5792726154304	15.5792726154304
t64	11.9328158396891	3.14623696924906
t65	5.41429553582496	5.41429553582496
t66	2.9569877090517	2.9569877090517
t67	11.1638625063249	3.97720435236323
t69	8.66155282379353	8.66155282379353
t72	1.97124206291078	0.782434468320893
t75	1.78115608674309	1.78115608674309
t77	6.31559778140922	3.26766694566299
t79	3.73827240205324	3.73827240205324
t80	3.84264759230827	3.84264759230827
t81	2.12888377435299	2.12888377435299
t83	1.77152788118813	1.77152788118813
t84	0.326124102951155	0.171836148249842
t86	1.40747758083433	1.07861310077597
t89	7.39248640510429	1.50119267934377
t90	4.33401624485724	2.67378977158291
t91	6.51554001162359	6.51554001162359
t93	5.92965690287396	0.376757816927
t94	4.02078653991013	4.02078653991013
t96	3.8770465687454	0.680189656056605
t99	2.57993770332844	2.57993770332844
t103	8.39535004455886	8.39535004455886
t106	5.10604846067922	1.64392950890504
t107	5.75755091831594	5.75755091831594
t108	2.22256062521129	2.22256062521129
t109	1.99071443225207	1.99071443225207
t112	4.38564025217417	0.334918041506143
t113	5.40496302578109	3.37207970174161
t114	4.97893360688505	0.37984030890776
t115	0.824664697254999	0.824664697254999
t117	0.444143302057142	0.444143302057142
t119	7.51501996665017	7.51501996665017
t122	1.78802862998621	1.78802862998621
t124	4.37294912116317	3.0156501760864
t126	4.11623148317625	0.535634499262628
t127	1.14151571530144	1.14151571530144
t132	2.11058761312984	1.16951531429512
t134	0.716406965697423	0.716406965697423
t135	3.12828073128365	3.12828073128365
t136	1.57757115364207	1.43462010162704
t137	2.8377728132369	2.8377728132369
t139	2.61813720108653	2.61813720108653
t140	1.24942407665062	1.24942407665062
t144	7.37489979068648	7.37489979068648
t145	0.441020848605433	0.161665189455846
t147	0.569616797110719	0.569616797110719
t149	4.5211376244439	3.89613111789275
t151	3.07554276755052	2.11449406204718
t153	5.09003194440956	4.14049773713752
t156	6.98049108958812	6.98049108958812
t157	3.56111862202819	2.20261883507325
t158	6.01520424272184	5.42022718456203
t159	1.554809537412	0.101054401698768
t161	4.69098241246833	4.69098241246833
t162	3.70890094251044	3.70890094251044
t164	1.0004278445982	0.113008548790518
t166	5.11722017286064	2.32121115144342
t167	3.22937382241726	0.0704312777244596
t170	4.60198959027515	1.89523274500285
t173	2.64332033535501	1.56115156284879
t177	4.72223408926869	1.66791485167753
t179	2.63039050026431	2.63039050026431
t185	6.2782754884777	0.192344860676599
t187	3.00975438442799	0.514390647902815
t188	1.31014941779421	1.31014941779421
t189	3.82506695973577	1.32314185092149
t190	0.653487772792154	0.653487772792154
t195	2.96491023085688	0.742094351546704
t198	1.59019454368147	1.59019454368147
t200	0.186154737760997	0.186154737760997
t201	0.470989633642109	0.470989633642109
t207	2.56471698403038	2.56471698403038
t208	2.69074775123094	2.69074775123094
t210	1.4366724236324	0.573081008135233
t212	0.345420907108902	0.345420907108902
t213	4.03668027734681	0.858425787249445
t215	3.52009126970708	3.52009126970708
t218	0.580903036821471	0.580903036821471
t220	3.15245075844997	3.15245075844997
t222	0.37532404268385	0.37532404268385
t223	0.3365477034293	0.3365477034293
t225	4.2668868107818	0.435587088600098
t226	3.30355343710882	3.30355343710882
t227	2.81894842380359	2.81894842380359
t230	4.52337257073332	1.17681554545101
t231	2.44965689794543	2.44965689794543
t233	0.00480886087741084	0.00480886087741084
t236	5.75267600374261	1.56487058335243
t237	3.08440832208445	1.18450710380307
t238	5.25837111001011	5.25837111001011
t240	3.55345056848961	0.568347157267095
t241	5.78251713864007	3.52681485137094
t242	2.16029674443277	2.16029674443277
t244	4.42174007744433	2.95998771303238
t245	2.64513198885768	2.64513198885768
t247	0.833822343440932	0.833822343440932
t254	2.5239434241653	0.33348436244086
t257	1.46252948615569	1.46252948615569
t258	1.91369571579472	0.890492328641425
t261	3.44974618222366	3.22250604057641
t264	0.0719895552011742	0.0719895552011742
t265	3.05004633064643	1.59396770908759
t267	0.204569299065653	0.204569299065653
t268	0.793657898499816	0.793657898499816
t269	0.141981141419183	0.141981141419183
t272	1.06501282968968	1.06501282968968
t274	2.74213435165613	2.74213435165613
t275	0.112532295214606	0.112532295214606
t278	3.19969383141967	3.19969383141967
t280	3.21320170937216	3.21320170937216
t281	2.8048854406391	0.129529385151816
t282	2.65105087582034	2.65105087582034
t283	2.72654081372833	1.70193030986973
t287	2.793030616938	2.793030616938
t288	2.59328766180935	2.59328766180935
t290	1.06465691065419	1.06465691065419
t291	0.0614272983323829	0.0614272983323829
t293	2.16597899278965	2.16597899278965
t294	0.945146720186791	0.945146720186791
t296	2.69151379576229	2.69151379576229
t297	0.751950541666211	0.751950541666211
t300	0.247076404740223	0.247076404740223
t305	1.47125631446563	1.47125631446563
t306	3.33366192563263	3.33366192563263
t309	1.01697314607576	1.01697314607576
t311	1.0078645453911	0.460724011355243
t315	2.54528496768071	2.54528496768071
t317	1.20710514644514	1.20710514644514
t320	0.899136240226536	0.899136240226536
t321	1.30567918829975	1.30567918829975
t325	3.90710079528899	3.11573056145768
t327	2.115917612928	2.115917612928
t329	1.89205202113054	1.89205202113054
t331	2.64584403806635	1.44950543851861
t338	2.61756358472864	2.3732216046836
t341	1.55158395365904	1.55158395365904
t342	3.74306742367723	0.17133036107117
t343	2.18072683839329	2.18072683839329
t345	0.700636577780838	0.700636577780838
t346	0.238064379616475	0.238064379616475
t347	1.85119276637959	0.233749027874342
t348	0.844268024924698	0.844268024924698
t353	2.34222076638659	0.503871966002382
t357	0.568872239396665	0.568872239396665
t359	1.39859196943376	1.38437364371991
t361	3.02924759799903	0.649959145011167
t362	1.24922282562294	1.24922282562294
t363	3.32534328700001	2.18916658132915
t364	2.33227372157335	2.33227372157335
t366	3.4362730905529	2.15519441255433
t367	1.47431933771811	1.47431933771811
t368	0.760261668258142	0.157391645069652
t376	1.26012236157451	1.26012236157451
t377	0.977032734863613	0.977032734863613
t378	0.493821846486888	0.493821846486888
t383	2.88567001299016	0.0965668167291938
t388	0.464179670832841	0.464179670832841
t405	2.70653066584862	2.03035581285156
t406	0.0783204465670977	0.0783204465670977
t408	1.07641878829961	1.07641878829961
t409	0.948777470969478	0.948777470969478
t410	2.71107431561855	2.71107431561855
t411	2.46213033804163	2.2794433450494
t415	2.01328328135371	2.01328328135371
t416	0.71635670409264	0.71635670409264
t418	1.41715386656365	1.41715386656365
t419	2.72461722712844	2.68146800619325
t429	0.318374377524869	0.318374377524869
t436	0.976894569443274	0.976894569443274
t437	1.31984654118989	1.31984654118989
t438	2.36756510024288	2.36756510024288
t439	1.33352852732994	0.457938938983357
t440	0.650222174744897	0.650222174744897
t441	0.428749853335805	0.428749853335805
t442	0.332465724601693	0.332465724601693
t443	2.01165361245955	0.239672660704024
t449	1.2658715585085	1.06750907952212
t456	0.129728108676431	0.0280417014853747
t457	1.46508013430391	1.03261384966386
t464	0.0868949841152116	0.0868949841152116
t471	0.640752435637793	0.640752435637793
t475	2.3465027767023	2.3465027767023
t477	0.872955109488824	0.512326365832845
t479	1.56990738522926	1.56990738522926
t482	0.562397964243466	0.437966719524933
t483	1.18971882958567	1.18971882958567
t487	0.183135972374391	0.183135972374391
t492	0.922974406809644	0.693808536113337
