taxon	fad	lad
t1	7.86512803442572	7.86512803442572
t3	9.35683455512303	1.85339370797636
t5	8.18515464612832	3.47365030399417
t6	7.23630621134457	2.1435179872008
t7	3.39507662105813	2.00005388115364
t8	7.4423094985054	2.83969803394507
t10	6.77435336289881	0.16615478670019
t11	4.67795438794616	1.23012684947076
t13	4.19024564454051	1.95054362966708
t14	2.4938462076001	1.43239262115584
t15	0.546718010973198	0.129617762425307
t16	7.32327352754422	1.9337581469726
t17	1.61296380782441	0.591635695713913
t18	0.743066550723903	0.743066550723903
t19	2.0449744401545	2.0449744401545
t20	2.79813646384196	2.79813646384196
t22	4.62601977862535	3.12101982782214
t23	3.27361209289866	3.27361209289866
t25	6.38662966838496	6.38662966838496
t26	0.516512523279548	0.516512523279548
t27	2.51571000704354	2.51571000704354
t28	3.00133222078144	2.02370518027355
t30	0.858099496133272	0.858099496133272
t32	4.37005584262645	3.58637116518205
t34	0.779499470996232	0.779499470996232
t37	2.62928194678953	1.97757270422763
