taxon	first_age	last_age
t1	27.3049580710788	12.169613199269
t2	26.3545713696101	26.3545713696101
t4	12.2621793534935	7.0499729286842
t5	7.94262352188642	7.21746592416331
t7	4.1470783215204	0
t9	4.53639556691325	0
t11	6.90998566307436	6.90998566307436
t12	3.88558206914883	0
t13	3.8148165340043	0
t14	0.870503253946683	0
t17	7.60761148612919	7.60761148612919
t18	2.24862229390008	0
t20	4.77594630464061	4.77594630464061
t24	2.67267566007851	0
t25	1.11645984959734	0.97375315799944
t28	0.128631535208594	0
t29	2.77475725743293	2.77475725743293
t30	0.823412585682366	0.823412585682366
t34	1.69207875428811	0
t35	2.53397763286289	0
t42	2.28699372050418	0
