taxon	int_1	int_2
t1	1	1
t3	0	1
t4	0	1
t7	0	1
t8	1	1
t9	0	1
t10	0	1
t11	0	1
t12	0	1
t13	1	0
t14	1	0
t15	1	0
t17	1	0
t19	1	1
t20	0	1
t21	1	1
t22	1	0
t25	1	0
t26	1	0
t28	1	0
t31	1	0
t32	1	0
t33	1	0
t34	1	0
t35	1	0
t37	1	0
t38	0	1
t39	1	0
t41	1	0
t42	1	0
t43	1	0
t45	1	1
t47	1	0
t48	0	1
t49	1	0
t50	1	0
t51	0	1
t52	1	0
t53	1	1
t54	1	1
t55	1	0
t56	1	0
t57	1	0
t59	1	0
t60	1	0
t61	1	0
t62	1	0
t63	1	0
t65	1	1
t66	0	1
t67	1	1
t68	1	0
t71	1	0
t72	1	0
t73	1	0
t76	1	0
t77	1	0
t78	1	0
t81	1	0
t84	1	0
t85	1	0
t86	1	0
t87	1	0
t88	1	0
t90	0	1
t91	1	0
t94	1	0
t95	1	0
t96	1	0
t97	0	1
t98	1	1
t100	1	0
t101	1	0
t102	1	0
t103	1	0
t104	1	0
t105	0	1
t106	0	1
t107	1	1
t109	1	0
t110	1	0
t111	1	1
t112	1	0
t114	1	0
t116	1	0
t118	1	0
t121	1	0
t122	1	0
t124	1	0
t126	1	0
t127	1	0
t128	1	0
t130	1	0
t132	1	0
t134	1	0
t136	1	0
t137	1	0
t138	1	0
t139	1	0
t143	1	0
t146	1	0
t147	1	0
t148	1	0
t149	1	0
t151	1	0
t157	1	1
t159	1	0
t160	1	0
t161	1	0
t164	1	0
t165	0	1
t168	1	0
t169	1	0
t173	1	0
t174	1	0
t175	1	0
t176	1	0
t178	1	0
t181	1	0
t182	1	0
t185	1	0
t186	1	0
t187	1	0
t188	1	0
t189	1	0
t190	1	0
t191	1	0
t192	1	0
t195	1	0
t202	1	0
t204	1	0
t208	1	0
t212	1	0
t213	1	0
t214	1	0
t219	1	0
t225	1	0
t227	1	0
t229	1	0
t234	1	0
t235	1	0
t237	1	0
t238	1	0
t239	1	0
t240	1	0
t241	1	0
t243	1	0
t244	1	0
t246	1	0
t247	1	0
t248	1	0
t249	1	0
t251	1	0
t254	1	0
t259	1	0
t260	1	0
t261	1	0
t263	1	0
t266	1	0
t267	1	0
t268	1	0
t269	1	0
t270	1	0
t271	1	0
t272	1	0
t275	1	0
t277	1	0
t279	1	0
t280	1	0
t284	1	0
t291	1	0
t295	1	0
t297	1	0
t301	1	0
t304	1	0
t306	1	0
t307	1	0
t309	1	0
t310	1	0
t316	1	0
t321	1	0
t322	1	0
t327	1	0
t328	1	0
t331	1	0
t332	1	0
t333	1	0
t334	1	0
t335	1	0
t337	1	0
t338	1	0
t340	1	0
t341	1	0
t343	1	0
t345	1	0
t346	1	0
t348	1	0
t349	1	0
t352	1	0
t353	1	0
t357	1	0
t358	1	0
t362	1	0
t367	1	0
t370	1	0
t371	1	0
t374	1	0
t377	1	0
t379	1	0
t385	1	0
t387	1	0
t393	1	0
t394	1	0
t400	1	0
t401	1	0
t402	1	0
t407	1	0
t409	1	0
t410	1	0
t411	1	0
t412	1	0
t415	1	0
t417	1	0
t423	1	0
t424	1	0
t428	1	0
t430	1	0
t432	1	0
t434	1	0
t435	1	0
t437	1	0
t444	1	0
t445	1	0
t450	1	0
t451	1	0
t452	1	0
t453	1	0
t454	1	0
t455	1	0
t458	1	0
t459	1	0
t460	1	0
t461	1	0
t462	1	0
t464	1	0
t468	1	0
t473	1	0
t474	1	0
t477	1	0
t480	1	0
t487	1	0
t490	1	0
t491	1	0
t494	1	0
t500	1	0
t504	1	0
