Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
0	-157.765	0	-157.765	0.241387	0.401952	0.304775	0.0964315	0.08705	0.0484692	0.450008	1.73172	1.68344
10000	-18.59564	0	-18.59564	0.212203	0.310316	0.206542	0.392543	0.0848897	0.139165	4.77657	3.36334	0.682172
20000	-16.84643	0	-16.84643	0.423318	0.192912	0.105321	0.445427	0.10026	0.152896	4.17621	3.5908	0.0668102
30000	-28.71221	0	-28.71221	0.51033	0.040596	0.23532	0.319178	0.0700018	0.130037	4.20891	0.592485	0.225519
40000	-18.80684	0	-18.80684	0.326212	0.0495926	0.184352	0.292455	0.0579702	0.0630709	6.33241	1.68696	1.02522
50000	-4.287796	0	-4.287796	0.202291	0.247034	0.182274	0.420195	0.178634	0.121295	10.2934	2.77102	1.08187
60000	-15.00666	0	-15.00666	0.5117	0.0751254	0.154078	0.529279	0.109433	0.127697	3.22135	0.825695	2.24091
70000	-6.574544	0	-6.574544	0.285169	0.1299	0.139134	0.293202	0.115521	0.152804	8.6444	5.00976	1.14791
80000	-16.82521	0	-16.82521	0.42835	0.1385	0.164427	0.330422	0.117998	0.0599969	5.88698	2.70978	1.00154
90000	-11.90642	0	-11.90642	0.186323	0.209223	0.120784	0.350004	0.094625	0.175157	7.65126	4.48839	1.35698
100000	0.3740607	0	0.3740607	0.210714	0.198727	0.148484	0.478555	0.0972478	0.171448	9.61419	1.98494	0.86653
110000	-4.986758	0	-4.986758	0.322769	0.12757	0.0840083	0.463603	0.120071	0.055028	7.59137	2.16165	2.93845
120000	-10.26235	0	-10.26235	0.522007	0.262758	0.114786	0.369224	0.0998962	0.131865	4.82685	1.66786	0.833278
130000	-1.097283	0	-1.097283	0.445872	0.127532	0.120127	0.390058	0.0590442	0.161155	9.18802	2.12473	1.34375
140000	-21.72351	0	-21.72351	0.241191	0.0929612	0.255687	0.421919	0.0774521	0.101453	4.92792	0.95539	0.331155
150000	-3.098291	0	-3.098291	0.268304	0.144958	0.23941	0.292686	0.0864623	0.0914463	8.83089	1.54181	1.97111
160000	-22.96954	0	-22.96954	0.449397	0.223251	0.0563423	0.348923	0.133082	0.212365	3.65079	0.433998	0.453424
170000	-7.503435	0	-7.503435	0.337224	0.126827	0.17002	0.295918	0.10655	0.0851632	8.14157	4.38438	2.3572
180000	-11.7973	0	-11.7973	0.222436	0.254857	0.113768	0.30967	0.193432	0.140733	5.67079	1.27785	3.15793
190000	-20.74278	0	-20.74278	0.334239	0.227389	0.0538424	0.40217	0.11848	0.189606	5.74134	4.08418	0.498554
200000	-0.7403662	0	-0.7403662	0.292736	0.0677874	0.147412	0.622859	0.0841696	0.100867	10.2779	2.22586	0.102209
210000	-18.9808	0	-18.9808	0.362361	0.214164	0.154191	0.477763	0.0768283	0.154372	4.80845	1.59964	0.996877
220000	-9.984078	0	-9.984078	0.406779	0.17224	0.211163	0.252671	0.193503	0.260338	9.04095	4.41359	2.47284
230000	-15.25514	0	-15.25514	0.361809	0.176961	0.127592	0.343185	0.180553	0.0921496	8.21236	2.0309	0.860123
240000	-19.33706	0	-19.33706	0.459587	0.15463	0.0590505	0.375174	0.0900415	0.201687	4.15883	2.69527	1.07643
250000	-22.24206	0	-22.24206	0.293576	0.132194	0.172221	0.271097	0.0822102	0.140527	2.91123	1.44547	0.732876
260000	-20.18591	0	-20.18591	0.580149	0.215066	0.133164	0.252226	0.155546	0.109373	5.12197	1.60607	3.03689
270000	-13.41436	0	-13.41436	0.369795	0.102465	0.140685	0.505725	0.208462	0.152341	6.50521	1.39047	1.44431
280000	-12.21899	0	-12.21899	0.529972	0.121311	0.117998	0.309655	0.0403749	0.0975363	7.27837	2.71067	1.75069
290000	-11.66642	0	-11.66642	0.37775	0.17601	0.143051	0.381843	0.150474	0.141879	6.34242	1.45561	1.41197
300000	-9.745134	0	-9.745134	0.342853	0.119465	0.12159	0.438124	0.116	0.109939	11.4817	2.91398	0.443471
310000	-10.90705	0	-10.90705	0.214919	0.19242	0.097856	0.383345	0.0690679	0.113576	5.54005	0.758463	0.404942
320000	-14.16732	0	-14.16732	0.282387	0.253393	0.233906	0.361303	0.121548	0.13249	4.65904	2.26863	1.55168
330000	-16.06659	0	-16.06659	0.292676	0.106572	0.182904	0.313538	0.0504424	0.186145	6.65515	6.33611	2.33949
340000	-12.90031	0	-12.90031	0.303674	0.131657	0.133886	0.67443	0.0866655	0.072154	5.93515	2.20568	3.12341
350000	-16.76643	0	-16.76643	0.293167	0.198452	0.0618883	0.382751	0.117171	0.117007	5.81134	0.538163	0.170656
360000	-12.5052	0	-12.5052	0.37045	0.134507	0.274572	0.488672	0.180796	0.0673188	7.37713	0.857385	0.17225
370000	-18.80456	0	-18.80456	0.329733	0.0929791	0.236606	0.305085	0.13575	0.177057	5.361	4.44411	0.0540828
380000	-1.492305	0	-1.492305	0.194454	0.121494	0.189012	0.446454	0.0880646	0.0697367	10.1406	1.32987	0.438707
390000	-11.75538	0	-11.75538	0.390664	0.177862	0.0812172	0.45986	0.194576	0.153935	6.32679	1.03824	1.73186
400000	-15.64709	0	-15.64709	0.380798	0.176556	0.266082	0.34308	0.127776	0.196938	5.37523	1.87516	1.06128
410000	-18.3585	0	-18.3585	0.271946	0.0787405	0.057249	0.571308	0.109395	0.0833989	6.59944	2.70268	2.22285
420000	-14.7957	0	-14.7957	0.252354	0.188655	0.131186	0.358909	0.13035	0.145261	4.27979	0.97232	1.74244
430000	-10.52321	0	-10.52321	0.329636	0.255244	0.13999	0.569658	0.139617	0.19027	9.96611	1.57224	0.643451
440000	-19.30937	0	-19.30937	0.366427	0.246388	0.167122	0.424388	0.0845369	0.21864	7.48025	2.63354	1.96238
450000	-9.547394	0	-9.547394	0.279815	0.204613	0.100348	0.48989	0.178681	0.19552	9.80867	0.536726	1.89866
460000	-24.98297	0	-24.98297	0.275595	0.226661	0.122373	0.485882	0.168159	0.0720986	2.1141	2.15482	0.478868
470000	-9.936451	0	-9.936451	0.341362	0.185613	0.154733	0.636608	0.27321	0.119318	4.88044	1.21537	1.19062
480000	-8.36702	0	-8.36702	0.238331	0.0937074	0.15433	0.32259	0.101138	0.0651428	7.39986	0.373856	0.42784
490000	-15.95254	0	-15.95254	0.213489	0.137146	0.182472	0.364759	0.0951346	0.1095	5.08976	1.82772	0.060362
500000	-3.137846	0	-3.137846	0.222725	0.333473	0.102483	0.373955	0.150513	0.216932	9.72697	3.70108	1.80753
510000	-9.472428	0	-9.472428	0.460657	0.122697	0.11569	0.492066	0.11932	0.0851339	6.04889	1.39812	0.34531
