Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
490000	-31.68653	0	-31.68653	0.140436	0.401113	0.0830316	0.330007	0.110221	0.105042	0.164836	0.458446	4.74129
500000	-28.46975	0	-28.46975	0.169791	0.313307	0.0765309	0.125571	0.138757	0.120565	0.557933	0.736333	0.571473
510000	-40.09648	0	-40.09648	0.0854837	0.18778	0.196686	0.105502	0.0876528	0.171178	0.463567	0.550901	0.206869
520000	-31.58539	0	-31.58539	0.139403	0.201757	0.153475	0.0822096	0.214414	0.112491	0.299466	0.863649	0.666509
530000	-32.22437	0	-32.22437	0.115906	0.199338	0.158156	0.339645	0.189979	0.0810351	0.437373	0.406153	2.02579
540000	-30.38093	0	-30.38093	0.126093	0.0998219	0.1721	0.136392	0.225672	0.165406	0.906425	2.33673	1.37998
550000	-28.93862	0	-28.93862	0.117044	0.263056	0.220893	0.364509	0.0715677	0.162034	0.321435	2.51267	2.65564
560000	-24.64982	0	-24.64982	0.181373	0.148737	0.0885359	0.317065	0.165508	0.074375	0.677779	0.962818	1.12541
570000	-29.57229	0	-29.57229	0.0906532	0.247904	0.165724	0.276765	0.232443	0.0479717	0.240941	0.945313	1.33674
580000	-34.32056	0	-34.32056	0.170532	0.394162	0.25236	0.251085	0.145458	0.177722	0.684816	1.01028	0.419546
590000	-34.42369	0	-34.42369	0.113097	0.23469	0.0875195	0.228665	0.238482	0.132855	0.179183	0.273993	0.291353
600000	-31.42934	0	-31.42934	0.24787	0.102989	0.116533	0.254362	0.104115	0.0886271	0.422807	0.609559	0.2488
610000	-36.06708	0	-36.06708	0.0449916	0.19686	0.138394	0.209842	0.106368	0.225116	0.308122	0.184256	0.864311
620000	-28.19142	0	-28.19142	0.105112	0.289097	0.127741	0.24069	0.101369	0.109515	0.686252	0.90691	3.1666
630000	-32.50861	0	-32.50861	0.268592	0.093509	0.227229	0.475416	0.0699825	0.137507	0.284383	0.263063	1.52364
640000	-30.29633	0	-30.29633	0.117917	0.237817	0.0862131	0.353768	0.155211	0.142539	0.59873	0.97192	2.505
650000	-27.22928	0	-27.22928	0.191044	0.098578	0.156412	0.322747	0.0586959	0.102902	0.62478	1.06747	2.10094
660000	-25.50547	0	-25.50547	0.115138	0.327608	0.154268	0.230689	0.310915	0.108026	0.277618	2.0131	1.57658
670000	-25.26589	0	-25.26589	0.149688	0.135518	0.243771	0.255918	0.0771792	0.134738	1.18413	1.001	0.735994
680000	-32.13937	0	-32.13937	0.127343	0.135929	0.202408	0.330919	0.242363	0.199206	0.673402	0.905758	1.60466
690000	-24.69502	0	-24.69502	0.0632847	0.247967	0.187174	0.204187	0.0713203	0.174537	3.82297	1.21196	1.56318
700000	-29.62379	0	-29.62379	0.186024	0.253964	0.163471	0.301547	0.135497	0.114802	0.843059	1.66088	3.29169
710000	-26.85217	0	-26.85217	0.0595052	0.273545	0.10357	0.234022	0.15275	0.0815051	0.485157	2.39254	3.21364
720000	-29.59297	0	-29.59297	0.0607555	0.12718	0.100453	0.250603	0.0660967	0.150472	0.319582	0.196819	2.59567
730000	-32.62715	0	-32.62715	0.156802	0.143173	0.0929545	0.380899	0.0925706	0.0667344	0.412438	2.26321	0.561653
740000	-25.50892	0	-25.50892	0.179091	0.273985	0.158368	0.330362	0.118951	0.111763	0.6492	0.809845	2.35498
750000	-35.94326	0	-35.94326	0.0619445	0.299275	0.133993	0.377999	0.0966694	0.105496	0.313867	0.150942	0.494974
760000	-31.51331	0	-31.51331	0.0695287	0.358605	0.0936828	0.114275	0.444164	0.126469	0.483383	1.77069	3.61039
770000	-37.44734	0	-37.44734	0.332426	0.211787	0.155305	0.279194	0.0719565	0.129004	0.128978	0.432967	2.03946
780000	-31.32805	0	-31.32805	0.108556	0.282579	0.0786458	0.297355	0.267394	0.130221	0.93539	0.408568	1.21804
790000	-29.66609	0	-29.66609	0.105064	0.228031	0.1136	0.455359	0.153452	0.0880722	2.28001	0.537586	2.21732
800000	-26.59765	0	-26.59765	0.120373	0.270628	0.161774	0.257119	0.0709194	0.140778	0.440975	1.12449	3.86789
810000	-28.43822	0	-28.43822	0.124729	0.19567	0.109258	0.346579	0.084758	0.110209	0.680074	0.349494	0.639279
820000	-40.3878	0	-40.3878	0.0889879	0.267235	0.107723	0.27821	0.332633	0.0619404	1.16613	0.287348	0.351346
830000	-27.14846	0	-27.14846	0.204332	0.162147	0.300536	0.391552	0.161578	0.140108	0.249988	0.996783	0.667721
840000	-29.32326	0	-29.32326	0.064321	0.167415	0.131878	0.33254	0.214195	0.0876193	0.36792	0.468099	2.28679
850000	-27.42634	0	-27.42634	0.14448	0.323503	0.119636	0.346889	0.0701737	0.107323	0.398187	3.50808	1.57674
860000	-33.47525	0	-33.47525	0.29448	0.162349	0.256067	0.103519	0.052934	0.222788	0.456668	1.60123	0.293284
870000	-28.7779	0	-28.7779	0.197595	0.234324	0.142171	0.379395	0.0988832	0.138924	0.894601	2.63022	1.70478
880000	-28.82861	0	-28.82861	0.123407	0.163496	0.134961	0.275545	0.134298	0.0558538	0.810095	0.57613	0.825901
890000	-30.36117	0	-30.36117	0.147793	0.13705	0.116248	0.27474	0.139615	0.0995945	0.892519	0.134484	0.46068
900000	-30.82534	0	-30.82534	0.107701	0.164616	0.276145	0.271575	0.0577669	0.129854	0.362344	0.991133	0.553745
910000	-31.6976	0	-31.6976	0.0921154	0.0910078	0.159788	0.824138	0.0848129	0.18169	1.20658	0.875174	0.582415
920000	-29.93228	0	-29.93228	0.149971	0.212855	0.238968	0.335266	0.183848	0.105017	0.921827	3.02349	0.677425
930000	-38.27426	0	-38.27426	0.121075	0.170398	0.112578	0.0766953	0.119957	0.0504856	0.605937	1.23682	0.410405
940000	-37.23205	0	-37.23205	0.131735	0.0982732	0.150581	0.247884	0.0691046	0.23828	0.193946	0.379695	1.56804
950000	-34.12241	0	-34.12241	0.256464	0.342017	0.191807	0.419429	0.190319	0.0809094	1.6061	1.47279	0.890893
960000	-34.41455	0	-34.41455	0.169297	0.13034	0.195892	0.484618	0.0878316	0.115046	1.08796	0.756051	0.467806
970000	-29.60453	0	-29.60453	0.267057	0.39479	0.113994	0.156322	0.130958	0.0775732	0.642618	1.99226	2.35031
980000	-28.99023	0	-28.99023	0.267528	0.103829	0.144544	0.145707	0.155271	0.139745	0.776855	3.62342	2.09356
990000	-29.85611	0	-29.85611	0.149949	0.0494963	0.291214	0.191178	0.0750917	0.0966008	0.340217	0.1682	1.73091
1000000	-27.13806	0	-27.13806	0.114551	0.147738	0.166595	0.151962	0.125282	0.0756355	0.415636	0.581016	1.07399
1010000	-25.4062	0	-25.4062	0.0990231	0.146339	0.219141	0.402445	0.126382	0.131002	0.954446	5.92808	2.29563
1020000	-30.66538	0	-30.66538	0.1991	0.24191	0.0619246	0.238768	0.143224	0.0669216	1.11677	0.56331	0.389637
1030000	-38.97238	0	-38.97238	0.139194	0.238515	0.111675	0.357856	0.17461	0.0486447	0.695603	0.331932	0.493014
1040000	-30.4644	0	-30.4644	0.221253	0.268772	0.148669	0.211734	0.122524	0.143205	0.582883	0.801964	0.58696
1050000	-23.774	0	-23.774	0.2118	0.146556	0.119883	0.267263	0.0931065	0.105493	0.381731	1.6143	0.698442
1060000	-35.54843	0	-35.54843	0.0634743	0.251635	0.201816	0.269787	0.0671824	0.258367	0.950484	0.420057	2.89893
1070000	-30.01411	0	-30.01411	0.244573	0.273499	0.257162	0.104571	0.109302	0.0996425	0.200008	0.754431	4.14335
1080000	-29.15299	0	-29.15299	0.249428	0.187905	0.111643	0.350167	0.196048	0.194978	0.32773	1.68696	1.21303
1090000	-28.05127	0	-28.05127	0.137311	0.144803	0.252007	0.266925	0.172365	0.0669974	0.425391	2.6957	2.63543
1100000	-30.34306	0	-30.34306	0.0816683	0.408615	0.252898	0.260187	0.062588	0.138982	0.219864	2.02011	5.40499
1110000	-32.10064	0	-32.10064	0.181981	0.251481	0.0866901	0.152663	0.190414	0.294386	2.01879	2.29121	0.835469
1120000	-32.09398	0	-32.09398	0.159343	0.15933	0.0883973	0.282561	0.166427	0.168534	1.89913	1.5646	7.14682
1130000	-31.92709	0	-31.92709	0.0819708	0.126927	0.141961	0.140574	0.0891897	0.0799454	0.284795	1.03279	0.507869
1140000	-30.8002	0	-30.8002	0.104432	0.177129	0.25953	0.316954	0.0559746	0.0590639	0.688555	0.458833	1.45033
1150000	-33.41555	0	-33.41555	0.277201	0.144699	0.270273	0.242631	0.335504	0.340459	0.26478	1.96619	1.04377
1160000	-32.42779	0	-32.42779	0.111057	0.255718	0.143129	0.785522	0.120005	0.0543953	0.489986	0.783834	1.4539
1170000	-31.51572	0	-31.51572	0.4347	0.119638	0.205522	0.178689	0.193179	0.100656	0.211271	0.381057	1.85576
1180000	-34.40474	0	-34.40474	0.384072	0.151263	0.187917	0.285143	0.275835	0.172216	0.892273	0.845761	1.06526
1190000	-30.20439	0	-30.20439	0.230611	0.141322	0.144871	0.424457	0.184373	0.0784347	0.745181	0.398509	1.02198
