taxon	fad	lad
t1	15.1711094320137	15.1711094320137
t2	18.1072331129167	15.5340019923135
t3	16.5094645507399	16.5094645507399
t4	11.1351146798437	10.0092365103654
t6	6.15584156978534	0.185279958459262
t8	0.829769569232948	0.829769569232948
t9	0.0682843219540317	0.0682843219540317
t12	7.91147374754227	2.41801466962131
t15	0.0190771367749925	0.0190771367749925
t17	7.07649527377175	1.6018421750236
t21	4.17391928625195	3.23275911272412
t22	4.40644534245203	2.40902268274801
t29	1.06601904939237	1.06601904939237
t33	1.22148423709056	1.22148423709056
t38	0.256066688586436	0.0167443788937369
t41	0.664310605917763	0.664310605917763
t48	1.14695848932778	1.14695848932778
t49	1.30530495130807	1.30530495130807
t54	0.193020692389698	0.193020692389698
t58	0.699262864060561	0.699262864060561
