taxon	fad	lad
t1	7.9921750848492	2.57347231758825
t2	6.818027398442	3.69205810531385
t3	6.00142483963636	6.00142483963636
t4	5.50102211885027	5.50102211885027
t5	5.44331653947173	5.44331653947173
t6	1.1715953040664	1.1715953040664
t7	1.24396387512903	1.24396387512903
t9	1.24592844485335	0.646433506735589
t10	5.09552820262431	1.35525988105649
t11	3.17170085341195	3.17170085341195
t12	6.19792470397029	1.21159186582542
t13	5.0984729428577	5.0984729428577
t14	3.42392457752377	3.42392457752377
t15	3.74904421446456	2.2086291783374
t16	1.16040160887821	1.16040160887821
t17	1.3154250884575	1.3154250884575
t20	0.270913380096674	0.270913380096674
