taxon	min_age	max_age	status
t1	26.8943374951486	30	extinct
t1	20.2203885121853	23.7402832877124	extinct
t2	26.8943374951486	30	extinct
t2	23.7402832877124	26.8943374951486	extinct
t3	23.7402832877124	26.8943374951486	extinct
t4	23.7402832877124	26.8943374951486	extinct
t4	20.2203885121853	23.7402832877124	extinct
t5	23.7402832877124	26.8943374951486	extant
t5	0	3.43504036503145	extant
t6	20.2203885121853	23.7402832877124	extinct
t7	10.0194774811389	13.5508179029566	extinct
t7	3.43504036503145	6.60015711007873	extinct
t8	23.7402832877124	26.8943374951486	extinct
t8	20.2203885121853	23.7402832877124	extinct
t10	16.7389323287643	20.2203885121853	extinct
t11	16.7389323287643	20.2203885121853	extinct
t11	6.60015711007873	10.0194774811389	extinct
t12	23.7402832877124	26.8943374951486	extinct
t12	20.2203885121853	23.7402832877124	extinct
t13	20.2203885121853	23.7402832877124	extinct
t13	13.5508179029566	16.7389323287643	extinct
t14	20.2203885121853	23.7402832877124	extant
t14	0	3.43504036503145	extant
t16	20.2203885121853	23.7402832877124	extinct
t17	20.2203885121853	23.7402832877124	extinct
t18	20.2203885121853	23.7402832877124	extinct
t20	0	3.43504036503145	extant
t21	6.60015711007873	10.0194774811389	extinct
t21	0	3.43504036503145	extinct
t23	0	3.43504036503145	extant
t24	20.2203885121853	23.7402832877124	extinct
t25	20.2203885121853	23.7402832877124	extinct
t25	16.7389323287643	20.2203885121853	extinct
t26	6.60015711007873	10.0194774811389	extant
t26	0	3.43504036503145	extant
t28	23.7402832877124	26.8943374951486	extinct
t29	20.2203885121853	23.7402832877124	extinct
t30	16.7389323287643	20.2203885121853	extinct
t32	20.2203885121853	23.7402832877124	extant
t32	0	3.43504036503145	extant
t35	20.2203885121853	23.7402832877124	extinct
t36	16.7389323287643	20.2203885121853	extinct
t37	20.2203885121853	23.7402832877124	extinct
t37	10.0194774811389	13.5508179029566	extinct
t38	3.43504036503145	6.60015711007873	extant
t38	0	3.43504036503145	extant
t40	23.7402832877124	26.8943374951486	extinct
t41	20.2203885121853	23.7402832877124	extinct
t41	16.7389323287643	20.2203885121853	extinct
t42	20.2203885121853	23.7402832877124	extinct
t42	16.7389323287643	20.2203885121853	extinct
t43	16.7389323287643	20.2203885121853	extinct
t44	16.7389323287643	20.2203885121853	extinct
t45	3.43504036503145	6.60015711007873	extant
t45	0	3.43504036503145	extant
t46	0	3.43504036503145	extant
t47	0	3.43504036503145	extant
t48	0	3.43504036503145	extant
t49	16.7389323287643	20.2203885121853	extinct
t51	20.2203885121853	23.7402832877124	extinct
t52	20.2203885121853	23.7402832877124	extinct
t54	20.2203885121853	23.7402832877124	extinct
t56	3.43504036503145	6.60015711007873	extant
t56	0	3.43504036503145	extant
t58	0	3.43504036503145	extinct
t59	0	3.43504036503145	extant
t60	0	3.43504036503145	extant
t61	0	3.43504036503145	extant
t63	20.2203885121853	23.7402832877124	extinct
t63	16.7389323287643	20.2203885121853	extinct
t66	6.60015711007873	10.0194774811389	extant
t66	0	3.43504036503145	extant
t67	20.2203885121853	23.7402832877124	extinct
t68	16.7389323287643	20.2203885121853	extinct
t68	10.0194774811389	13.5508179029566	extinct
t70	20.2203885121853	23.7402832877124	extant
t70	0	3.43504036503145	extant
t71	20.2203885121853	23.7402832877124	extinct
t71	3.43504036503145	6.60015711007873	extinct
t73	10.0194774811389	13.5508179029566	extinct
t74	3.43504036503145	6.60015711007873	extant
t74	0	3.43504036503145	extant
t75	3.43504036503145	6.60015711007873	extant
t75	0	3.43504036503145	extant
t76	3.43504036503145	6.60015711007873	extinct
t77	0	3.43504036503145	extant
t78	0	3.43504036503145	extinct
t79	0	3.43504036503145	extant
t80	16.7389323287643	20.2203885121853	extinct
t82	13.5508179029566	16.7389323287643	extinct
t83	3.43504036503145	6.60015711007873	extant
t83	0	3.43504036503145	extant
t85	20.2203885121853	23.7402832877124	extinct
