taxon	first_age	last_age
t1	28.0473980336771	22.3379398666029
t2	25.8108537831813	25.8108537831813
t4	16.7209960689902	14.6271552998085
t6	26.3012416064808	26.3012416064808
t8	25.345070069085	21.9932382139727
t9	8.72024005775535	7.20477084970608
t10	2.376803927193	2.376803927193
t11	7.54972743828797	0
t12	20.2427148395526	0
t13	21.7620658094483	4.74681207723996
t14	18.2409127097123	6.46215988715227
t15	18.1393396939791	12.9307110089055
t17	14.7764874136843	11.7456533227754
t19	14.5150708071008	0
t20	14.1445003479362	13.7300707445364
t21	9.80739368470499	0
t22	7.80213101715456	3.98312482776106
t23	6.95277370534048	0
t26	5.88275277429987	5.88275277429987
t28	4.43521959437727	0
t31	11.2321066580063	1.89406462431356
t33	13.615630969155	11.0956406991478
t34	8.83132972514722	8.83132972514722
t35	0.0295167158663006	0
t36	22.0067258313586	21.6360834980672
t37	17.1202026228847	0
t38	8.59169708274367	0
t39	7.32956870024109	0
t40	2.40347340437323	0
t43	1.2154006072543	0
t44	10.9751459970293	9.14566252190987
t46	10.4329242962279	0
t48	14.8461343188661	0
t49	12.1338581260033	3.9940917276061
t50	7.05800849041752	0
t51	4.47213797565609	4.47213797565609
t52	0.546875892326678	0
t53	11.0583688554986	8.10223374408817
t54	4.63416351236927	0
t55	8.31467425795386	0
t56	11.3692380346919	11.3692380346919
t57	7.82253800892327	0
t58	0.545702954582122	0
t59	0.676787294116473	0
t61	8.03698243656486	0
t62	6.58183026146007	0
t63	11.0173366940816	11.0173366940816
t64	8.53494420431149	7.35218758944017
t65	7.94739184900771	7.79928295717538
t66	5.09768499948663	0
t68	2.52577530966132	0
t70	0.113570884247164	0
t73	4.67828833717027	0
t74	4.94236255035746	0
t75	2.84341798670639	0
t76	1.07155509954988	0
t77	10.6983384129459	10.6983384129459
t79	5.38508451846726	0
t80	3.32037522708874	0
t81	5.16064934902549	0
t83	13.2391586088228	0
t84	11.9598241456437	11.9598241456437
t85	9.80732599179148	9.17828002754332
t86	12.2992580331546	0
t87	9.36768941691431	0
t88	5.491297922127	0.828257507954508
t89	3.49055519350047	0
t92	19.277315702828	19.277315702828
t93	18.435581098419	13.847882526923
t94	13.5907872102702	5.56718040637989
t95	8.41204209306133	0
t96	4.67804200548567	0
t98	0.780352039916409	0
t99	5.36532665167952	0
t101	0.6219269154881	0
t102	5.80690770970256	0
t103	4.72965187642943	0
t104	2.53332994806066	0
t106	3.06199727606915	3.06199727606915
t108	1.43056347121634	0
t111	1.03608923695959	0
t113	4.07722056916429	0
t114	1.65792679675411	0
t115	2.61707928901598	0
t119	3.7110055660497	0
t120	6.52356704200973	0
t121	7.3419027785967	0
t122	8.14614362039633	7.24885901088728
t123	7.58611569292563	0
t124	0.141817750149098	0
t125	4.20931259137825	4.20931259137825
t128	4.37118920144794	0
t129	3.39788586982487	0
t130	6.41242673979288	5.2600202690959
t131	3.25949521952799	0
t132	3.22830275755954	0
t133	6.86647148403391	6.86647148403391
t134	5.39558832014156	0
t135	7.51864230637799	0
t136	4.88759203422518	0
t139	10.9177884511695	0
t140	7.52601131401509	0
t141	2.71764303663674	0
t142	1.26850247708548	0
t143	7.50943017434827	0
t145	1.13314871321789	0
t147	3.65772258418281	0
t148	0.375075108607938	0
t149	0.0866319343947666	0
t154	1.97619243170404	0
t156	0.318341280886376	0
t159	4.33358786303765	0
t160	0.4681295606674	0
t163	3.26204289257575	0
t166	0.454500792958331	0
t169	6.2822473714465	0
t170	6.97955707939251	0
t171	4.7958085708994	4.7958085708994
t172	5.54307976466647	5.54307976466647
t173	1.30931005919702	0
t174	3.15144540513709	0
t175	4.10148501868631	0
t176	2.92295658967729	0
t180	12.735761063626	0
t181	10.7799969468527	10.6608509497767
t184	4.55678812830988	0
t185	8.58100048287822	0
t186	10.4250062656242	0
