taxon	fad	lad
t1	19.7580964459158	5.69460874684096
t2	9.26692974485246	7.91347893462616
t4	6.69023815693052	1.17516795972767
t7	6.38156901235675	2.78899623484124
t10	1.25503561374276	1.25503561374276
t13	4.87630796895967	4.87630796895967
t16	7.23507140919356	2.81554624924581
t19	4.18671854301675	2.38311565169499
t20	0.988803137110082	0.988803137110082
t24	1.21840537633408	1.21840537633408
t25	0.427196349192375	0.427196349192375
t26	7.84707846262248	4.06243145300323
t27	1.64339859829728	1.64339859829728
t30	1.31533497655995	1.31533497655995
t33	7.85753906257705	3.68720684078189
t34	2.2817058064429	0.741375848469009
t37	0.54738690083785	0.221532930315167
t38	3.43176613830226	3.43176613830226
t39	2.50647374355086	2.50647374355086
t41	0.525278881386306	0.525278881386306
t44	2.11288436646901	2.11288436646901
t45	0.0265827289455132	0.0265827289455132
t46	2.18078739899096	2.18078739899096
t49	5.60935406311792	0.37685179928728
t50	5.06539215555687	5.06539215555687
t51	2.00323434734296	0.616429237277817
t52	0.769144810340528	0.769144810340528
t53	0.89005997580183	0.89005997580183
t56	0.72976359914286	0.72976359914286
t59	1.39269495819569	1.00194469405775
t60	3.76097050778374	3.76097050778374
t65	0.602644976189083	0.602644976189083
