taxon	min_age	max_age	status
t1	18.3971263975836	20	extinct
t1	7.76673771503071	11.2475744900294	extinct
t3	14.9752523993763	18.3971263975836	extinct
t3	7.76673771503071	11.2475744900294	extinct
t7	14.9752523993763	18.3971263975836	extinct
t7	3.95239667920396	7.76673771503071	extinct
t8	0	3.95239667920396	extinct
t9	7.76673771503071	11.2475744900294	extinct
t10	3.95239667920396	7.76673771503071	extant
t11	7.76673771503071	11.2475744900294	extant
t11	0	3.95239667920396	extant
t12	11.2475744900294	14.9752523993763	extinct
t12	3.95239667920396	7.76673771503071	extinct
t13	7.76673771503071	11.2475744900294	extinct
t15	0	3.95239667920396	extinct
t17	14.9752523993763	18.3971263975836	extinct
t18	11.2475744900294	14.9752523993763	extinct
t19	11.2475744900294	14.9752523993763	extant
t19	0	3.95239667920396	extant
t20	0	3.95239667920396	extant
t21	0	3.95239667920396	extinct
t22	3.95239667920396	7.76673771503071	extinct
t22	0	3.95239667920396	extinct
t24	7.76673771503071	11.2475744900294	extinct
t26	0	3.95239667920396	extinct
t28	0	3.95239667920396	extant
t30	0	3.95239667920396	extant
t34	0	3.95239667920396	extinct
t38	0	3.95239667920396	extant
t39	0	3.95239667920396	extant
t40	14.9752523993763	18.3971263975836	extinct
t41	7.76673771503071	11.2475744900294	extant
t41	0	3.95239667920396	extant
t42	3.95239667920396	7.76673771503071	extinct
t45	3.95239667920396	7.76673771503071	extant
t46	0	3.95239667920396	extant
t47	0	3.95239667920396	extant
t51	3.95239667920396	7.76673771503071	extinct
t53	7.76673771503071	11.2475744900294	extant
t53	3.95239667920396	7.76673771503071	extant
t55	3.95239667920396	7.76673771503071	extinct
t56	0	3.95239667920396	extinct
t58	0	3.95239667920396	extinct
t60	0	3.95239667920396	extant
t62	0	3.95239667920396	extant
t64	0	3.95239667920396	extinct
t69	3.95239667920396	7.76673771503071	extinct
t71	0	3.95239667920396	extant
t73	0	3.95239667920396	extant
t76	0	3.95239667920396	extinct
t77	0	3.95239667920396	extinct
t78	0	3.95239667920396	extant
t82	3.95239667920396	7.76673771503071	extinct
t84	3.95239667920396	7.76673771503071	extant
t84	0	3.95239667920396	extant
t85	0	3.95239667920396	extant
t86	0	3.95239667920396	extant
t89	0	3.95239667920396	extant
t92	0	3.95239667920396	extant
t93	0	3.95239667920396	extant
t95	0	3.95239667920396	extant
t96	0	3.95239667920396	extant
t105	0	3.95239667920396	extinct
t106	0	3.95239667920396	extinct
t113	0	3.95239667920396	extant
t114	0	3.95239667920396	extinct
t115	0	3.95239667920396	extant
t116	0	3.95239667920396	extant
t121	0	3.95239667920396	extinct
t129	3.95239667920396	7.76673771503071	extinct
t129	0	3.95239667920396	extinct
t130	0	3.95239667920396	extant
t134	0	3.95239667920396	extant
t135	0	3.95239667920396	extant
t139	0	3.95239667920396	extinct
t140	0	3.95239667920396	extant
t141	3.95239667920396	7.76673771503071	extinct
t141	0	3.95239667920396	extinct
t142	0	3.95239667920396	extant
t144	0	3.95239667920396	extant
t147	0	3.95239667920396	extant
t149	0	3.95239667920396	extinct
t154	0	3.95239667920396	extant
t155	0	3.95239667920396	extinct
