Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
0	-46.94765	0	-46.94765	0.0753656	0.224997	0.136386	0.152369	0.116399	0.135341
10000	-37.32061	0	-37.32061	0.140886	0.180435	0.257498	0.167542	0.177455	0.0947889
20000	-41.40948	0	-41.40948	0.269746	0.174379	0.153695	0.173925	0.199803	0.109753
30000	-43.77409	0	-43.77409	0.0603708	0.0637331	0.12708	0.376395	0.243223	0.141017
40000	-37.11009	0	-37.11009	0.100207	0.155087	0.197032	0.340424	0.101264	0.091507
50000	-36.37961	0	-36.37961	0.0780266	0.214506	0.227456	0.299104	0.196564	0.124118
60000	-41.894	0	-41.894	0.0700459	0.223839	0.101994	0.315964	0.176206	0.182963
70000	-42.31955	0	-42.31955	0.0619281	0.0855057	0.229369	0.280445	0.0761214	0.150054
80000	-37.17873	0	-37.17873	0.195403	0.204763	0.123944	0.482376	0.0812267	0.120725
90000	-41.96401	0	-41.96401	0.0644453	0.342556	0.180697	0.450859	0.249636	0.108302
100000	-36.26247	0	-36.26247	0.0585163	0.15138	0.321192	0.229258	0.0985757	0.105843
110000	-34.41397	0	-34.41397	0.140112	0.170781	0.452682	0.193979	0.100807	0.196388
120000	-37.24931	0	-37.24931	0.133771	0.190773	0.194364	0.375052	0.138294	0.109587
130000	-38.31401	0	-38.31401	0.0696311	0.158468	0.155159	0.15691	0.152041	0.116267
140000	-34.88986	0	-34.88986	0.152954	0.179679	0.362553	0.242191	0.0951024	0.261352
150000	-36.73126	0	-36.73126	0.115397	0.118203	0.13212	0.274825	0.121581	0.197967
160000	-41.62275	0	-41.62275	0.136285	0.113206	0.14761	0.198708	0.0543583	0.211954
170000	-36.48193	0	-36.48193	0.153258	0.166805	0.143075	0.21423	0.038804	0.160141
180000	-40.64775	0	-40.64775	0.331896	0.19802	0.124667	0.198764	0.190366	0.23614
190000	-39.31087	0	-39.31087	0.174383	0.139778	0.192525	0.342891	0.152613	0.0670473
200000	-39.61745	0	-39.61745	0.156379	0.0867346	0.209386	0.153195	0.0544137	0.0843818
210000	-38.74694	0	-38.74694	0.185428	0.135564	0.384815	0.200628	0.157167	0.0695865
220000	-39.18943	0	-39.18943	0.0899696	0.150473	0.196321	0.303865	0.168931	0.0763662
230000	-38.81823	0	-38.81823	0.0965152	0.334755	0.0826156	0.201684	0.219884	0.140332
240000	-40.71148	0	-40.71148	0.171219	0.341248	0.0881882	0.147785	0.0594037	0.0568714
250000	-41.88603	0	-41.88603	0.39235	0.139677	0.117512	0.174961	0.0833563	0.287502
260000	-37.29406	0	-37.29406	0.110669	0.218254	0.358208	0.137141	0.0986141	0.093397
270000	-38.37339	0	-38.37339	0.221467	0.151097	0.1702	0.13367	0.173636	0.130861
