Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
0	-39.27086	0	-39.27086	0.0496628	0.0697482	0.0965605	0.149511	0.113392	0.0991025
10000	-27.13984	0	-27.13984	0.264753	0.0950927	0.184577	0.304001	0.144047	0.252821
20000	-14.34598	0	-14.34598	0.117298	0.119281	0.269804	0.144472	0.150121	0.156507
30000	-25.31388	0	-25.31388	0.0658086	0.21713	0.16719	0.407789	0.115095	0.124794
40000	-21.01755	0	-21.01755	0.123844	0.0690779	0.100496	0.137473	0.152371	0.160156
50000	-16.16519	0	-16.16519	0.177351	0.101491	0.0811743	0.131009	0.200876	0.233133
60000	-22.81188	0	-22.81188	0.0661653	0.111947	0.472329	0.0446789	0.0939436	0.234742
70000	-25.35897	0	-25.35897	0.228244	0.140532	0.308545	0.16861	0.0965636	0.370542
80000	-19.5342	0	-19.5342	0.122682	0.13778	0.0955536	0.254572	0.0704257	0.293971
90000	-22.67574	0	-22.67574	0.0509308	0.125353	0.143056	0.153783	0.31142	0.303586
100000	-16.09533	0	-16.09533	0.129316	0.098372	0.390841	0.136012	0.117641	0.223862
110000	-16.95513	0	-16.95513	0.100378	0.191463	0.189425	0.0966165	0.132598	0.135209
120000	-16.04	0	-16.04	0.125312	0.0358321	0.326739	0.139885	0.220947	0.218087
130000	-25.18891	0	-25.18891	0.161346	0.272857	0.244898	0.16562	0.16387	0.130806
140000	-16.0872	0	-16.0872	0.328326	0.101529	0.256197	0.0590071	0.157088	0.322228
150000	-19.49428	0	-19.49428	0.12007	0.208873	0.101006	0.146657	0.187162	0.150635
160000	-23.21904	0	-23.21904	0.198058	0.185963	0.325097	0.0651865	0.153539	0.15728
170000	-12.45983	0	-12.45983	0.0877821	0.156471	0.18372	0.126468	0.217983	0.19946
180000	-17.77039	0	-17.77039	0.190763	0.0826709	0.175734	0.158522	0.0841896	0.164609
190000	-19.9377	0	-19.9377	0.0681412	0.235815	0.223481	0.339504	0.0884197	0.172221
200000	-21.16626	0	-21.16626	0.236136	0.189933	0.130481	0.163648	0.0887241	0.239482
210000	-20.77734	0	-20.77734	0.0831643	0.0614777	0.0991603	0.0626962	0.209842	0.277155
220000	-18.93983	0	-18.93983	0.156053	0.216958	0.223803	0.181548	0.114713	0.381101
230000	-16.63358	0	-16.63358	0.0625257	0.120568	0.322913	0.0816876	0.132018	0.328814
240000	-15.70103	0	-15.70103	0.0893401	0.175724	0.133065	0.253882	0.156467	0.243837
250000	-25.49904	0	-25.49904	0.192353	0.120178	0.326381	0.164392	0.144297	0.106892
260000	-23.33727	0	-23.33727	0.0199308	0.13235	0.145766	0.128116	0.139895	0.22115
270000	-21.48791	0	-21.48791	0.262738	0.255024	0.183931	0.108131	0.349311	0.170433
280000	-23.76715	0	-23.76715	0.0586419	0.149105	0.35577	0.156256	0.325353	0.368117
290000	-19.86875	0	-19.86875	0.279138	0.151995	0.163042	0.243552	0.109817	0.288039
300000	-18.3685	0	-18.3685	0.111065	0.191658	0.162552	0.107252	0.129127	0.0839831
310000	-22.75578	0	-22.75578	0.136118	0.0695698	0.466334	0.0650822	0.275747	0.221427
320000	-19.39002	0	-19.39002	0.0817578	0.0894544	0.229825	0.0954875	0.287702	0.179185
330000	-18.44972	0	-18.44972	0.203428	0.0983884	0.0959134	0.211716	0.0892478	0.342317
340000	-21.19489	0	-21.19489	0.177677	0.118855	0.168246	0.187278	0.104983	0.117282
350000	-19.63434	0	-19.63434	0.275994	0.103871	0.310667	0.127526	0.337602	0.17913
360000	-18.46879	0	-18.46879	0.096797	0.172955	0.198138	0.0815223	0.104152	0.254778
370000	-16.77565	0	-16.77565	0.107631	0.165241	0.269306	0.0640205	0.170491	0.201391
380000	-17.3391	0	-17.3391	0.174867	0.0830088	0.258376	0.300476	0.142038	0.248595
390000	-18.71387	0	-18.71387	0.41541	0.129556	0.201956	0.0690911	0.170636	0.178817
400000	-23.23908	0	-23.23908	0.185418	0.121259	0.104351	0.135788	0.218636	0.153108
410000	-18.67784	0	-18.67784	0.193689	0.231906	0.451976	0.162238	0.228872	0.314494
420000	-20.33016	0	-20.33016	0.114982	0.132691	0.181233	0.0596346	0.13728	0.238883
430000	-22.94465	0	-22.94465	0.107146	0.247028	0.231031	0.134588	0.385194	0.173072
440000	-19.20755	0	-19.20755	0.0797587	0.160063	0.106931	0.125704	0.156489	0.221922
450000	-19.35132	0	-19.35132	0.129862	0.307178	0.37828	0.0740027	0.0862578	0.333769
460000	-27.44071	0	-27.44071	0.0762706	0.123969	0.283082	0.0908309	0.529321	0.20035
470000	-26.55878	0	-26.55878	0.232999	0.296577	0.234337	0.458154	0.181601	0.390106
480000	-27.34289	0	-27.34289	0.0427449	0.0620052	0.278622	0.0827673	0.566875	0.116613
490000	-13.80365	0	-13.80365	0.0949994	0.0918166	0.144872	0.217122	0.0889163	0.177402
500000	-20.54927	0	-20.54927	0.284974	0.185377	0.175282	0.0892361	0.103766	0.274564
510000	-19.62504	0	-19.62504	0.142696	0.127456	0.356301	0.0946735	0.228344	0.215463
520000	-16.68707	0	-16.68707	0.105624	0.110229	0.193066	0.264157	0.125289	0.261236
530000	-26.03086	0	-26.03086	0.102097	0.0429738	0.17141	0.286631	0.411633	0.215927
540000	-19.6939	0	-19.6939	0.108705	0.103227	0.136326	0.0664482	0.070304	0.147512
550000	-14.75811	0	-14.75811	0.0879667	0.137917	0.272274	0.186747	0.0954584	0.187902
560000	-14.64253	0	-14.64253	0.0822395	0.192541	0.180683	0.164142	0.165555	0.192915
570000	-15.44954	0	-15.44954	0.179387	0.114405	0.218018	0.12136	0.069604	0.253269
580000	-21.05948	0	-21.05948	0.224604	0.197673	0.1661	0.0929375	0.0974367	0.086946
590000	-19.29031	0	-19.29031	0.111929	0.123946	0.144713	0.148922	0.164143	0.224277
600000	-15.74391	0	-15.74391	0.0970624	0.153134	0.246784	0.152894	0.121423	0.288153
610000	-19.65458	0	-19.65458	0.0818934	0.152447	0.114742	0.48101	0.0912939	0.263384
620000	-19.00384	0	-19.00384	0.270962	0.175111	0.273792	0.113302	0.360984	0.181175
630000	-24.62719	0	-24.62719	0.140419	0.233197	0.156836	0.11449	0.115045	0.0795079
640000	-18.89866	0	-18.89866	0.0854008	0.214901	0.188355	0.172594	0.345053	0.205759
650000	-21.57145	0	-21.57145	0.145825	0.0996737	0.213714	0.0730083	0.0942749	0.0720345
660000	-22.49008	0	-22.49008	0.0608291	0.122018	0.191564	0.195521	0.107725	0.0735178
670000	-17.30041	0	-17.30041	0.0952014	0.167531	0.169658	0.137715	0.142637	0.189493
680000	-25.5412	0	-25.5412	0.204623	0.0402464	0.0854719	0.223758	0.202847	0.317269
690000	-23.25499	0	-23.25499	0.142291	0.14707	0.164518	0.214063	0.725583	0.141141
700000	-21.5286	0	-21.5286	0.0587557	0.0861569	0.14416	0.3598	0.215806	0.180728
710000	-25.2965	0	-25.2965	0.486103	0.146553	0.154083	0.159486	0.112098	0.389011
720000	-25.51672	0	-25.51672	0.226379	0.11545	0.535204	0.12472	0.253809	0.324694
730000	-22.61787	0	-22.61787	0.0627843	0.130147	0.26839	0.106115	0.0937699	0.14271
740000	-12.72201	0	-12.72201	0.0851702	0.100861	0.193461	0.111906	0.10581	0.234803
750000	-19.24153	0	-19.24153	0.188644	0.0879243	0.201156	0.0950507	0.077913	0.18747
760000	-25.73878	0	-25.73878	0.145036	0.235008	0.200166	0.42901	0.204979	0.250599
770000	-19.63672	0	-19.63672	0.10415	0.188281	0.254951	0.182415	0.327056	0.136062
780000	-18.77771	0	-18.77771	0.103673	0.0921576	0.219361	0.0714773	0.347339	0.214707
790000	-18.83602	0	-18.83602	0.179885	0.0584124	0.14508	0.132052	0.13724	0.320172
800000	-21.56755	0	-21.56755	0.05595	0.121843	0.0914165	0.166261	0.143725	0.0834651
810000	-17.45925	0	-17.45925	0.107645	0.0589279	0.280731	0.115747	0.111146	0.401621
820000	-20.41049	0	-20.41049	0.107271	0.128944	0.111494	0.0628411	0.331014	0.135008
830000	-17.16085	0	-17.16085	0.110543	0.122412	0.228898	0.141285	0.0863108	0.144944
840000	-17.53986	0	-17.53986	0.148992	0.137529	0.166545	0.0695524	0.101831	0.20607
850000	-14.91494	0	-14.91494	0.12749	0.214883	0.213152	0.133754	0.16389	0.164982
860000	-15.82287	0	-15.82287	0.131898	0.187666	0.180969	0.168474	0.183847	0.358394
870000	-25.85834	0	-25.85834	0.282006	0.135057	0.211264	0.11159	0.311758	0.254054
880000	-22.11115	0	-22.11115	0.387902	0.158885	0.207963	0.0659557	0.2837	0.177739
890000	-29.43784	0	-29.43784	0.103013	0.117227	0.16857	0.647637	0.326596	0.0880323
900000	-20.40768	0	-20.40768	0.058612	0.27009	0.244366	0.0908755	0.185056	0.143219
910000	-23.21628	0	-23.21628	0.304217	0.155178	0.242873	0.206195	0.0426802	0.259131
920000	-22.2425	0	-22.2425	0.270045	0.202724	0.536764	0.193671	0.137262	0.202915
930000	-23.15637	0	-23.15637	0.246224	0.133911	0.179791	0.0831684	0.12382	0.139744
940000	-18.83674	0	-18.83674	0.149607	0.0948133	0.228381	0.0575937	0.0977301	0.213347
950000	-22.00608	0	-22.00608	0.0901081	0.0483608	0.324424	0.209304	0.203855	0.291385
960000	-22.23722	0	-22.23722	0.196086	0.0998556	0.109225	0.0601884	0.475963	0.186681
970000	-15.06671	0	-15.06671	0.0729709	0.193832	0.198235	0.116963	0.162971	0.37776
980000	-17.91333	0	-17.91333	0.247451	0.0566953	0.168585	0.163295	0.261564	0.26714
990000	-17.27591	0	-17.27591	0.0523344	0.109159	0.277975	0.116294	0.128073	0.26156
1000000	-21.20256	0	-21.20256	0.298733	0.16534	0.203968	0.122763	0.0948847	0.138186
1010000	-22.57028	0	-22.57028	0.167827	0.0860882	0.174369	0.28155	0.113339	0.217495
1020000	-19.15332	0	-19.15332	0.102394	0.0834711	0.269918	0.149403	0.292515	0.284644
1030000	-20.65407	0	-20.65407	0.059519	0.123576	0.194627	0.202088	0.328206	0.130533
1040000	-21.39127	0	-21.39127	0.11198	0.330139	0.353431	0.145751	0.0782009	0.387418
1050000	-15.18237	0	-15.18237	0.153262	0.15468	0.177322	0.0652161	0.285139	0.232583
1060000	-19.38523	0	-19.38523	0.185317	0.092976	0.197784	0.149741	0.136763	0.0761849
