Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
650000	-38.97885	0	-38.97885	0.32397	0.130017	0.133391	0.368276	0.0812167	0.0885984
660000	-47.65956	0	-47.65956	0.333951	0.336578	0.181355	0.35675	0.151205	0.059356
670000	-37.9497	0	-37.9497	0.486398	0.103048	0.178678	0.363858	0.146774	0.0900704
680000	-41.2345	0	-41.2345	0.595981	0.153065	0.150935	0.551678	0.124725	0.0819069
690000	-38.92245	0	-38.92245	0.333879	0.0995169	0.128573	0.255115	0.168731	0.128356
700000	-39.99992	0	-39.99992	0.173799	0.13794	0.119927	0.403348	0.0890442	0.122532
710000	-37.73721	0	-37.73721	0.419744	0.199192	0.193599	0.258972	0.0571583	0.0839599
720000	-38.01075	0	-38.01075	0.443645	0.0995466	0.285338	0.376875	0.113955	0.139598
730000	-40.23948	0	-40.23948	0.206785	0.124079	0.298747	0.314834	0.0521844	0.110321
740000	-41.14165	0	-41.14165	0.42497	0.246064	0.193611	0.375795	0.116314	0.0825736
750000	-40.81171	0	-40.81171	0.492049	0.118361	0.243502	0.324163	0.0968925	0.160177
760000	-39.93113	0	-39.93113	0.127885	0.218395	0.293329	0.46929	0.104163	0.0923066
770000	-44.04066	0	-44.04066	0.077307	0.103565	0.0924103	0.325697	0.0503822	0.123239
780000	-46.55171	0	-46.55171	0.247389	0.182693	0.0952763	0.426081	0.140691	0.107415
790000	-39.36537	0	-39.36537	0.28226	0.155241	0.251738	0.565761	0.0804611	0.092012
800000	-43.39544	0	-43.39544	0.288758	0.290649	0.17337	0.232385	0.212805	0.0523475
810000	-37.85938	0	-37.85938	0.165848	0.0838802	0.112495	0.35771	0.0830294	0.0637922
820000	-43.68544	0	-43.68544	0.403277	0.237987	0.104678	0.360878	0.220069	0.0412679
830000	-43.36627	0	-43.36627	0.288397	0.243665	0.143382	0.282368	0.0984137	0.0627412
840000	-41.88643	0	-41.88643	0.296118	0.120371	0.0975201	0.195694	0.128561	0.154104
850000	-40.44637	0	-40.44637	0.564449	0.146061	0.205745	0.580993	0.0974965	0.142271
860000	-41.33639	0	-41.33639	0.377504	0.116746	0.257059	0.399355	0.0698472	0.084055
870000	-45.75218	0	-45.75218	0.424874	0.146052	0.28403	0.252487	0.105562	0.112535
880000	-41.61288	0	-41.61288	0.299192	0.33063	0.186087	0.413371	0.0799304	0.158514
890000	-47.54948	0	-47.54948	0.326124	0.197723	0.181907	0.337243	0.0580886	0.0838319
900000	-40.44979	0	-40.44979	0.272712	0.165639	0.199783	0.255898	0.117967	0.103842
910000	-43.96192	0	-43.96192	0.202336	0.214589	0.184383	0.446621	0.0442994	0.0871289
920000	-42.25141	0	-42.25141	0.430531	0.185958	0.139254	0.255221	0.124919	0.148293
930000	-41.72152	0	-41.72152	0.334926	0.245572	0.344417	0.22219	0.0575814	0.187685
940000	-41.64945	0	-41.64945	0.171954	0.161161	0.0380989	0.351458	0.133212	0.120517
950000	-42.56477	0	-42.56477	0.248036	0.230378	0.124086	0.333782	0.131709	0.0585511
960000	-46.35672	0	-46.35672	0.452007	0.216491	0.250968	0.32662	0.128288	0.0844576
970000	-39.83788	0	-39.83788	0.552087	0.214075	0.113694	0.252642	0.117993	0.0815603
980000	-48.34131	0	-48.34131	0.361119	0.0748143	0.390472	0.385722	0.0799251	0.104025
990000	-39.98061	0	-39.98061	0.171854	0.169328	0.15335	0.295919	0.0999778	0.113198
1000000	-38.3498	0	-38.3498	0.222213	0.131974	0.0918479	0.484765	0.130286	0.102162
1010000	-38.58738	0	-38.58738	0.395217	0.0912054	0.135473	0.497094	0.1367	0.0621853
1020000	-44.05195	0	-44.05195	0.189924	0.170939	0.308152	0.350147	0.102772	0.161953
1030000	-41.23008	0	-41.23008	0.431357	0.118112	0.216851	0.522079	0.0568424	0.231918
1040000	-44.42841	0	-44.42841	0.405925	0.117653	0.196624	0.101779	0.122584	0.171321
1050000	-43.83058	0	-43.83058	0.195756	0.0846484	0.129943	0.35209	0.101036	0.131138
1060000	-44.93657	0	-44.93657	0.408961	0.195585	0.100055	0.463449	0.144331	0.113155
1070000	-40.92353	0	-40.92353	0.19737	0.0802283	0.234781	0.474382	0.0956628	0.102397
1080000	-43.61773	0	-43.61773	0.396482	0.0568953	0.116042	0.273349	0.088141	0.058877
1090000	-43.7566	0	-43.7566	0.102791	0.270951	0.142952	0.16001	0.193374	0.112276
1100000	-36.68462	0	-36.68462	0.291355	0.256446	0.164665	0.352649	0.116756	0.128075
1110000	-42.85121	0	-42.85121	0.337229	0.239763	0.137924	0.146919	0.102431	0.126066
1120000	-42.47948	0	-42.47948	0.286211	0.306426	0.114778	0.610285	0.108473	0.0834138
1130000	-40.59079	0	-40.59079	0.370615	0.0980012	0.150762	0.2393	0.066908	0.0644097
1140000	-43.48849	0	-43.48849	0.420321	0.114421	0.124696	0.264036	0.10096	0.10923
1150000	-45.40628	0	-45.40628	0.24923	0.0797493	0.110528	0.342473	0.154304	0.125789
1160000	-40.66941	0	-40.66941	0.193677	0.296001	0.098512	0.276262	0.0861971	0.0922315
1170000	-42.95226	0	-42.95226	0.195244	0.232257	0.0591599	0.498804	0.100967	0.142305
1180000	-40.85574	0	-40.85574	0.255388	0.167801	0.242291	0.209162	0.103905	0.0661863
1190000	-46.33655	0	-46.33655	0.465674	0.124053	0.151111	0.440099	0.0652907	0.135216
1200000	-39.54613	0	-39.54613	0.216526	0.233709	0.123116	0.408416	0.122549	0.0652313
1210000	-43.10683	0	-43.10683	0.293702	0.174937	0.155074	0.409468	0.0995429	0.200089
1220000	-48.98113	0	-48.98113	0.104192	0.26676	0.108387	0.352873	0.19085	0.100076
1230000	-44.43318	0	-44.43318	0.449244	0.174886	0.173005	0.369709	0.079794	0.144771
1240000	-38.63819	0	-38.63819	0.372846	0.153417	0.184066	0.367789	0.0926457	0.126086
1250000	-46.52733	0	-46.52733	0.116422	0.13513	0.286259	0.509746	0.114489	0.171238
1260000	-43.3066	0	-43.3066	0.43082	0.122907	0.311987	0.543209	0.110613	0.22141
1270000	-43.05947	0	-43.05947	0.294377	0.078101	0.178304	0.726293	0.120496	0.131746
1280000	-39.8252	0	-39.8252	0.211821	0.247728	0.29369	0.302024	0.222365	0.0964718
1290000	-43.70432	0	-43.70432	0.265583	0.139144	0.101753	0.427954	0.0981376	0.180691
1300000	-44.2292	0	-44.2292	0.24116	0.144122	0.0978136	0.46801	0.152556	0.255333
1310000	-52.29553	0	-52.29553	0.341499	0.403031	0.0780247	0.294448	0.147206	0.0784975
1320000	-39.6749	0	-39.6749	0.247318	0.173816	0.108668	0.489297	0.119148	0.0751718
1330000	-39.01295	0	-39.01295	0.672622	0.0948831	0.228384	0.235189	0.12183	0.0903353
1340000	-42.6598	0	-42.6598	0.217218	0.18468	0.247726	0.199915	0.100931	0.079109
1350000	-38.69465	0	-38.69465	0.207543	0.178789	0.15449	0.273913	0.115057	0.147741
1360000	-39.75638	0	-39.75638	0.31487	0.064228	0.0966397	0.300996	0.126854	0.0653979
1370000	-39.15545	0	-39.15545	0.156449	0.0923692	0.152226	0.237389	0.123871	0.207387
1380000	-40.64877	0	-40.64877	0.161035	0.0987852	0.245971	0.239934	0.104681	0.137046
1390000	-39.42998	0	-39.42998	0.290285	0.0878635	0.290131	0.300163	0.14592	0.138548
1400000	-49.1593	0	-49.1593	0.695835	0.208326	0.0504269	0.318732	0.0532255	0.140682
1410000	-41.59306	0	-41.59306	0.346336	0.0486728	0.088842	0.16459	0.151733	0.0761611
1420000	-39.44722	0	-39.44722	0.465223	0.13868	0.084943	0.392323	0.152844	0.0571182
1430000	-39.13806	0	-39.13806	0.448265	0.28268	0.142621	0.463771	0.0606834	0.119108
1440000	-45.85783	0	-45.85783	0.561475	0.146336	0.277483	0.431592	0.202774	0.347345
1450000	-39.4954	0	-39.4954	0.289932	0.285803	0.109505	0.394345	0.0701965	0.10638
1460000	-40.38572	0	-40.38572	0.147133	0.183072	0.146708	0.531071	0.158105	0.0794048
1470000	-36.03777	0	-36.03777	0.410765	0.14473	0.210225	0.275796	0.0795271	0.0867913
1480000	-40.05118	0	-40.05118	0.337494	0.140483	0.288929	0.405239	0.121377	0.114227
1490000	-41.53839	0	-41.53839	0.339921	0.108802	0.359508	0.250915	0.297563	0.113123
1500000	-40.08369	0	-40.08369	0.665572	0.0799582	0.192343	0.333354	0.111667	0.0997836
1510000	-43.19341	0	-43.19341	0.246257	0.288808	0.191599	0.265294	0.0515663	0.118837
1520000	-48.78025	0	-48.78025	0.440927	0.253443	0.323448	0.240952	0.105954	0.141821
1530000	-43.07385	0	-43.07385	0.235415	0.261191	0.0918399	0.370219	0.0426258	0.0821792
1540000	-40.26653	0	-40.26653	0.178824	0.236108	0.103551	0.219854	0.0681011	0.146284
1550000	-44.7064	0	-44.7064	0.319257	0.122445	0.13821	0.292141	0.108858	0.14393
1560000	-43.54027	0	-43.54027	0.603745	0.0900363	0.139884	0.352469	0.117245	0.139324
1570000	-43.21692	0	-43.21692	0.166519	0.127456	0.163207	0.358121	0.167952	0.0802257
1580000	-37.42969	0	-37.42969	0.279972	0.0714414	0.221598	0.295372	0.0785634	0.0750896
1590000	-42.80694	0	-42.80694	0.258488	0.376504	0.159953	0.365992	0.124942	0.105321
1600000	-37.2303	0	-37.2303	0.442917	0.0998146	0.183516	0.377325	0.0837448	0.0736253
1610000	-46.20044	0	-46.20044	0.38441	0.270115	0.168473	0.273761	0.111018	0.0505335
1620000	-43.942	0	-43.942	0.172329	0.227084	0.420258	0.499175	0.0881389	0.123523
