Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
0	-39.23402	0	-39.23402	0.172174	0.137996	0.257299	0.162783	0.16369	0.212448
10000	-35.38989	0	-35.38989	0.119733	0.155732	0.389452	0.173858	0.287892	0.0469396
20000	-30.27785	0	-30.27785	0.133035	0.0537465	0.562763	0.26151	0.197466	0.15355
30000	-30.17155	0	-30.17155	0.233599	0.108828	0.0895238	0.124866	0.140753	0.0964195
40000	-32.49304	0	-32.49304	0.130099	0.207791	0.187712	0.204662	0.213758	0.0782372
50000	-32.76641	0	-32.76641	0.348602	0.0941649	0.192888	0.165944	0.202666	0.201498
60000	-36.04175	0	-36.04175	0.264209	0.105736	0.305268	0.120467	0.128234	0.307523
70000	-33.04268	0	-33.04268	0.119006	0.172794	0.235414	0.585888	0.145715	0.131254
80000	-32.19835	0	-32.19835	0.13032	0.304599	0.138761	0.529753	0.11324	0.145978
90000	-30.00587	0	-30.00587	0.17277	0.167124	0.143866	0.280974	0.223639	0.213074
100000	-38.03249	0	-38.03249	0.15828	0.066847	0.140698	0.338243	0.173327	0.0386732
110000	-36.20188	0	-36.20188	0.170288	0.12115	0.469686	0.439771	0.204675	0.100586
120000	-31.05785	0	-31.05785	0.208589	0.128957	0.137809	0.197611	0.132652	0.0617348
130000	-34.61866	0	-34.61866	0.131027	0.309319	0.402034	0.202511	0.0970778	0.22206
140000	-33.51675	0	-33.51675	0.0853783	0.0891144	0.399172	0.372977	0.0582827	0.0680822
150000	-31.83579	0	-31.83579	0.071059	0.285569	0.138456	0.303239	0.117258	0.12471
160000	-35.32791	0	-35.32791	0.149366	0.122326	0.461361	0.280833	0.146297	0.203385
170000	-32.45238	0	-32.45238	0.123591	0.0854272	0.11858	0.322096	0.119597	0.0748674
180000	-34.18801	0	-34.18801	0.149411	0.0741671	0.303762	0.483624	0.165811	0.0463696
190000	-32.33103	0	-32.33103	0.12928	0.112278	0.165284	0.194222	0.331581	0.131603
200000	-30.88572	0	-30.88572	0.145836	0.132769	0.181608	0.21628	0.201598	0.0411386
210000	-32.56328	0	-32.56328	0.154115	0.124103	0.371344	0.270544	0.304933	0.208341
220000	-28.21079	0	-28.21079	0.22399	0.179406	0.13032	0.232934	0.146321	0.144578
230000	-27.39597	0	-27.39597	0.0770729	0.0981564	0.217545	0.276508	0.147404	0.251553
240000	-29.80716	0	-29.80716	0.12821	0.113339	0.347568	0.319837	0.0445126	0.140374
250000	-29.41256	0	-29.41256	0.111552	0.179955	0.310837	0.285458	0.0858767	0.0934329
260000	-30.33661	0	-30.33661	0.125023	0.327563	0.0726263	0.26255	0.105688	0.0632109
270000	-33.45118	0	-33.45118	0.0729168	0.0484153	0.270562	0.634887	0.0745323	0.14211
280000	-33.6153	0	-33.6153	0.0925909	0.117274	0.289299	0.189865	0.237905	0.194329
290000	-36.58278	0	-36.58278	0.250814	0.086322	0.593487	0.347019	0.210479	0.136653
300000	-31.04741	0	-31.04741	0.1295	0.215914	0.254832	0.186729	0.310676	0.0861038
310000	-33.49215	0	-33.49215	0.282768	0.0957118	0.614375	0.168567	0.1841	0.143146
320000	-28.50245	0	-28.50245	0.173133	0.0978142	0.254946	0.239858	0.135092	0.126292
330000	-32.51608	0	-32.51608	0.0989018	0.0548027	0.437559	0.32309	0.167792	0.145153
340000	-40.79884	0	-40.79884	0.183905	0.130554	0.340534	0.241542	0.188612	0.154356
350000	-32.10939	0	-32.10939	0.159841	0.185618	0.233367	0.236412	0.21783	0.179218
360000	-37.20614	0	-37.20614	0.0724651	0.140658	0.283023	0.217968	0.216366	0.128754
370000	-34.31837	0	-34.31837	0.274668	0.250756	0.349382	0.288272	0.129472	0.0785156
380000	-35.04398	0	-35.04398	0.161369	0.190061	0.189172	0.125399	0.121549	0.19368
390000	-29.65879	0	-29.65879	0.0535903	0.0923629	0.270609	0.138557	0.0850372	0.139754
400000	-33.27336	0	-33.27336	0.110877	0.0606557	0.142372	0.189979	0.154237	0.244815
410000	-29.80268	0	-29.80268	0.176202	0.238818	0.272742	0.196976	0.383783	0.11095
420000	-35.13539	0	-35.13539	0.0899944	0.213908	0.354898	0.381769	0.115958	0.0489225
430000	-30.9287	0	-30.9287	0.0695451	0.103213	0.127209	0.632518	0.0779259	0.0643908
440000	-32.73983	0	-32.73983	0.0726611	0.128291	0.248641	0.462513	0.168408	0.174853
450000	-31.44916	0	-31.44916	0.0854997	0.24716	0.41752	0.381314	0.100809	0.0968529
460000	-32.2931	0	-32.2931	0.103739	0.180069	0.0798854	0.270269	0.122975	0.180162
470000	-36.59732	0	-36.59732	0.0838943	0.110759	0.11407	0.257111	0.157789	0.35418
480000	-31.02214	0	-31.02214	0.15017	0.0324242	0.249584	0.187183	0.175397	0.0867106
490000	-31.86701	0	-31.86701	0.104469	0.0940188	0.130763	0.254907	0.161364	0.145053
500000	-30.92903	0	-30.92903	0.0587375	0.12152	0.341388	0.319054	0.0675348	0.149244
510000	-34.54554	0	-34.54554	0.240611	0.0735075	0.145214	0.338488	0.0898012	0.106887
520000	-36.86185	0	-36.86185	0.156166	0.126447	0.305025	0.359292	0.182482	0.176845
530000	-37.01719	0	-37.01719	0.231391	0.307132	0.403808	0.121849	0.0895427	0.151647
540000	-31.84424	0	-31.84424	0.0706037	0.314087	0.269591	0.307257	0.083247	0.150542
550000	-29.23981	0	-29.23981	0.165861	0.0844894	0.254612	0.358093	0.164994	0.145033
560000	-32.0143	0	-32.0143	0.13449	0.109682	0.262582	0.643474	0.129825	0.210967
