taxon	min_age	max_age	status
t1	26.8645537984557	30	extinct
t1	16.6918553132564	21.8049665198196	extinct
t2	21.8049665198196	26.8645537984557	extinct
t6	21.8049665198196	26.8645537984557	extinct
t6	16.6918553132564	21.8049665198196	extinct
t7	21.8049665198196	26.8645537984557	extinct
t7	16.6918553132564	21.8049665198196	extinct
t8	21.8049665198196	26.8645537984557	extinct
t10	16.6918553132564	21.8049665198196	extinct
t10	5.26072078174911	10.9587447186932	extinct
t11	16.6918553132564	21.8049665198196	extinct
t14	21.8049665198196	26.8645537984557	extinct
t16	0	5.26072078174911	extant
t18	16.6918553132564	21.8049665198196	extinct
t22	16.6918553132564	21.8049665198196	extinct
