taxon	first_age	last_age
t1	17.7314139021988	0
t2	10.5198117332512	10.5198117332512
t3	15.6347646002577	15.6347646002577
t4	15.3614788653741	15.3614788653741
t5	6.29824462073887	0
t6	9.86331778489114	0
t8	5.86383540284055	5.86383540284055
t9	1.2135569833188	0
t10	14.1798408373821	14.1798408373821
t11	6.04446423987982	6.04446423987982
t12	14.9583898855189	11.512247161342
t13	3.45052658172248	3.45052658172248
t14	4.75530639899536	0
t15	2.08219311097019	0
t16	1.33577705167885	1.33577705167885
t19	4.76518963894413	2.93362163211319
t21	1.44256273255232	0
t22	0.0268430165132614	0
t24	4.95514994839848	0
t25	1.06015186367224	0
t28	1.54647861172438	0
t29	2.55916960591872	0
t34	0.462169951881862	0
t35	2.48496242528396	0
t39	1.78263977625853	0.298692945168909
t50	2.53682272140761	1.65723250252784
