taxon	int_1	int_2	int_3	int_4	int_5
t1	0	0	0	1	1
t2	0	0	0	1	1
t3	0	0	0	1	1
t4	0	0	1	0	0
t5	0	0	0	1	0
t6	0	0	0	1	0
t8	0	0	0	0	1
t9	0	0	0	0	1
t10	0	0	0	1	0
t13	1	0	0	0	0
t14	0	0	1	1	0
t16	0	0	0	0	1
t19	0	0	0	1	0
t20	1	1	0	0	0
t21	1	0	0	0	0
t22	0	0	1	0	0
t23	0	0	0	1	0
t26	1	0	0	0	0
t27	1	0	0	0	0
t28	1	0	0	0	0
t29	1	0	0	0	0
t30	1	0	0	0	0
t31	0	0	0	1	0
t32	0	0	0	1	0
t35	1	0	0	0	0
t36	1	0	0	0	0
t40	1	0	0	0	0
t43	1	1	1	0	0
t48	1	1	0	0	0
t49	1	1	0	0	0
t51	1	1	0	0	0
t52	1	0	0	0	0
t53	1	0	0	0	0
t55	1	0	0	0	0
t57	0	1	0	0	0
t58	0	1	0	0	0
t60	0	1	0	0	0
t61	1	0	0	0	0
t62	1	0	0	0	0
t63	1	0	0	0	0
t64	1	0	0	0	0
t67	1	1	0	0	0
t70	1	0	0	0	0
t71	1	0	0	0	0
t72	1	0	0	0	0
t73	1	0	0	0	0
t74	1	0	0	0	0
t75	1	0	0	0	0
t76	1	0	0	0	0
t78	1	0	0	0	0
t81	1	1	0	0	0
t82	1	0	0	0	0
t83	1	0	0	0	0
t86	1	0	0	0	0
t87	1	0	0	0	0
t91	1	0	0	0	0
t93	1	0	0	0	0
t94	1	0	0	0	0
t96	1	0	0	0	0
t99	1	0	0	0	0
t103	1	0	0	0	0
t111	1	0	0	0	0
t118	1	0	0	0	0
t124	1	0	0	0	0
t127	1	0	0	0	0
t129	1	0	0	0	0
t130	1	0	0	0	0
t131	1	0	0	0	0
t132	1	0	0	0	0
t133	1	0	0	0	0
t134	1	0	0	0	0
t135	1	0	0	0	0
t141	1	0	0	0	0
t145	1	0	0	0	0
