taxon	int_1	int_2	int_3	int_4	int_5
t1	0	0	0	1	1
t2	0	0	0	1	1
t3	0	0	0	1	1
t6	0	0	0	0	1
t7	0	0	0	1	0
t8	0	1	0	1	0
t9	0	0	0	1	0
t12	0	0	0	1	1
t13	0	0	0	1	0
t14	1	1	1	1	0
t16	0	0	0	1	0
t19	1	1	0	0	0
t20	0	0	1	1	1
t21	0	0	0	1	0
t22	0	0	1	1	0
t25	0	0	0	1	0
t27	1	1	0	0	0
t28	1	0	0	0	0
t29	1	0	0	0	0
t30	1	0	0	0	0
t31	1	0	0	0	0
t34	1	0	0	0	0
t35	0	0	1	0	0
t37	1	1	0	0	0
t38	1	0	0	0	0
t39	1	0	0	0	0
t41	1	0	0	0	0
t42	1	0	0	0	0
t43	0	0	0	1	0
t44	0	0	0	1	0
t45	0	0	0	1	0
t46	0	0	0	1	0
t48	0	1	1	0	0
t49	0	0	1	1	0
t50	1	0	0	0	0
t51	1	1	0	0	0
t54	1	0	0	0	0
t58	1	0	0	0	0
t59	1	0	0	0	0
t62	0	1	0	0	0
t63	1	0	0	0	0
t64	1	0	0	0	0
t65	1	0	0	0	0
t66	1	0	0	0	0
t70	1	0	0	0	0
t71	1	0	0	0	0
t75	1	0	0	0	0
t76	0	0	0	1	0
t77	0	0	0	1	0
t78	0	0	0	1	0
t79	0	0	0	1	0
t80	0	0	0	1	0
t84	0	1	0	0	0
t85	1	0	0	0	0
t87	0	1	0	0	0
t88	0	1	0	0	0
t89	1	1	0	0	0
t90	1	0	0	0	0
t92	0	1	0	0	0
t93	1	0	0	0	0
t94	1	1	0	0	0
t95	1	1	0	0	0
t98	1	0	0	0	0
t101	1	0	0	0	0
t102	1	0	0	0	0
t103	1	0	0	0	0
t105	0	1	0	0	0
t106	1	1	0	0	0
t107	1	0	0	0	0
t109	1	0	0	0	0
t110	1	0	0	0	0
t113	1	0	0	0	0
t117	1	1	0	1	0
t118	1	1	1	0	0
t120	1	1	0	0	0
t121	1	1	0	0	0
t122	1	0	0	0	0
t123	1	0	0	0	0
t124	1	0	0	0	0
t125	1	1	0	0	0
t126	1	0	0	0	0
t127	1	0	0	0	0
t129	1	1	0	0	0
t130	1	0	0	0	0
t131	1	0	0	0	0
t133	1	1	0	0	0
t134	1	0	0	0	0
t136	1	0	0	0	0
t137	1	0	0	0	0
t140	1	0	0	0	0
t141	1	0	0	0	0
t142	0	1	0	0	0
t143	1	0	0	0	0
t147	1	0	0	0	0
t149	1	0	0	0	0
t151	1	0	0	0	0
t152	1	0	0	0	0
t153	1	0	0	0	0
t154	1	0	0	0	0
t156	1	0	0	0	0
t157	1	0	0	0	0
t164	1	0	0	0	0
t165	0	1	0	0	0
t166	1	1	0	0	0
t167	1	1	0	0	0
t168	1	0	0	0	0
t172	1	0	0	0	0
t178	0	0	1	0	0
t179	1	0	0	0	0
t180	1	0	0	0	0
t181	1	0	0	0	0
t183	1	1	0	0	0
t184	1	1	0	0	0
t185	1	1	0	0	0
t188	1	0	0	0	0
t192	1	0	0	0	0
t193	1	0	0	0	0
t194	1	0	0	0	0
t195	1	0	0	0	0
t196	1	0	0	0	0
t197	1	0	0	0	0
t199	1	0	0	0	0
t204	0	1	0	0	0
t205	1	0	0	0	0
t206	1	0	0	0	0
t207	1	0	0	0	0
t208	1	0	0	0	0
t210	1	0	0	0	0
t212	1	1	0	0	0
t213	1	1	0	0	0
t214	1	0	0	0	0
t215	1	0	0	0	0
t216	1	0	0	0	0
t217	1	0	0	0	0
t218	1	0	0	0	0
t221	0	1	0	0	0
t222	1	0	0	0	0
t224	1	0	0	0	0
t226	1	0	0	0	0
t227	1	0	0	0	0
t228	1	0	0	0	0
t233	1	0	0	0	0
t234	1	0	0	0	0
t236	1	0	0	0	0
t239	1	0	0	0	0
t240	1	0	0	0	0
