taxon	int_1	int_2	int_3	int_4	int_5
t1	0	0	0	1	1
t2	0	0	0	0	1
t3	0	0	0	1	1
t6	0	0	0	1	1
t9	0	0	0	1	0
t10	0	0	0	1	1
t11	0	0	0	1	0
t12	0	0	1	0	0
t13	0	0	0	1	0
t14	0	0	0	1	0
t15	0	0	0	0	1
t16	0	0	0	1	0
t17	0	0	0	1	0
t18	0	0	1	1	1
t19	0	0	0	1	0
t20	0	0	0	1	1
t22	1	1	0	0	0
t25	0	0	0	1	0
t26	0	0	0	1	0
t27	0	0	0	1	1
t28	0	0	0	1	0
t29	0	0	1	0	0
t30	0	0	0	1	0
t32	0	0	1	0	0
t33	0	0	1	0	0
t34	0	0	0	1	0
t35	0	0	0	1	0
t37	0	1	0	0	0
t38	1	1	0	0	0
t39	1	1	0	0	0
t41	1	0	0	0	0
t42	1	0	0	0	0
t43	0	0	0	1	1
t46	0	0	0	1	0
t47	0	0	0	1	0
t48	0	0	0	1	0
t49	0	0	0	1	0
t50	0	0	1	0	0
t51	0	0	0	1	0
t52	1	1	0	0	0
t54	0	0	0	1	0
t56	0	1	0	0	0
t58	1	0	0	0	0
t59	1	0	0	0	0
t60	1	0	0	0	0
t61	1	0	0	0	0
t62	1	1	0	0	0
t64	1	0	0	0	0
t65	1	0	0	0	0
t66	1	0	0	0	0
t69	1	0	0	0	0
t70	1	0	0	0	0
t71	1	0	0	0	0
t72	1	0	0	0	0
t75	0	0	0	1	0
t76	0	0	0	1	0
t78	1	1	0	0	0
t80	0	0	0	1	0
t82	0	0	0	1	0
t84	1	1	0	0	0
t86	0	0	0	1	0
t88	0	1	0	0	0
t89	1	1	0	0	0
t90	1	1	0	0	0
t91	1	0	0	0	0
t92	1	0	0	0	0
t93	1	0	0	0	0
t94	1	0	0	0	0
t97	1	0	0	0	0
t100	1	0	0	0	0
t101	1	0	0	0	0
t102	1	1	0	0	0
t103	1	0	0	0	0
t104	1	0	0	0	0
t105	1	0	0	0	0
t107	1	0	0	0	0
t110	1	0	0	0	0
t112	1	0	0	0	0
t115	0	0	1	1	0
