taxon	int_1	int_2	int_3	int_4	int_5
t1	0	0	0	1	1
t3	0	0	0	1	1
t4	0	0	1	1	0
t5	1	1	0	1	0
t7	0	0	0	1	1
t8	0	0	0	1	0
t9	0	0	0	1	0
t10	0	0	0	1	0
t11	0	0	0	1	0
t12	1	1	0	0	0
t16	0	1	0	0	0
t17	1	0	0	0	0
t18	0	1	1	1	1
t19	0	0	0	1	1
t20	0	0	0	1	0
t25	1	0	0	0	0
t27	0	1	0	0	0
t28	1	0	0	0	0
t29	1	0	0	0	0
t31	0	0	0	1	0
t32	0	0	0	1	0
t36	0	1	0	0	0
t37	0	0	0	0	1
t38	0	0	0	1	0
t43	1	0	0	0	0
t46	1	0	0	0	0
t53	0	1	1	1	0
t54	0	0	0	1	0
t57	1	0	0	0	0
t58	1	0	0	0	0
t60	1	0	0	0	0
t61	1	0	0	0	0
t62	1	0	0	0	0
t66	0	0	0	1	0
t69	0	1	0	0	0
t70	1	0	0	0	0
t74	1	0	0	0	0
t75	1	0	0	0	0
t76	1	0	0	0	0
t78	0	0	0	1	0
t81	0	0	1	0	0
t82	1	0	0	0	0
t83	1	0	0	0	0
t84	1	0	0	0	0
t86	1	0	0	0	0
t88	1	0	0	0	0
t89	1	1	1	0	0
t90	1	0	0	0	0
t94	1	0	0	0	0
t95	1	1	0	0	0
t96	1	1	0	0	0
t97	1	0	0	0	0
t105	1	0	0	0	0
t106	1	0	0	0	0
t107	1	0	0	0	0
t109	1	0	0	0	0
t110	1	0	0	0	0
t111	1	0	0	0	0
t112	1	0	0	0	0
t119	1	0	0	0	0
t121	1	0	0	0	0
t123	1	0	0	0	0
t125	1	0	0	0	0
t128	1	0	0	0	0
t129	1	0	0	0	0
t130	1	0	0	0	0
t131	1	0	0	0	0
t132	1	0	0	0	0
t134	1	0	0	0	0
t136	1	0	0	0	0
t138	1	0	0	0	0
t140	1	0	0	0	0
t142	1	0	0	0	0
t145	1	0	0	0	0
t146	1	0	0	0	0
t154	1	0	0	0	0
