taxon	int_1	int_2	int_3	int_4	int_5
t1	0	0	0	1	1
t2	0	0	1	1	1
t3	1	1	1	1	1
t4	0	0	0	1	0
t5	0	0	0	1	1
t6	0	0	1	0	0
t7	0	0	0	1	1
t8	0	0	0	1	1
t10	1	1	1	0	0
t11	1	0	0	0	0
t12	1	1	0	0	0
t18	0	0	0	1	0
t19	0	0	1	0	0
t25	0	0	0	1	0
t26	0	0	0	1	0
t27	1	0	0	0	0
t28	1	0	0	0	0
t29	0	1	0	0	0
t30	1	0	0	0	0
t31	1	0	0	0	0
t32	1	0	0	0	0
t33	1	0	0	0	0
t34	1	0	0	0	0
t35	1	0	0	0	0
t37	1	1	0	0	0
t39	1	0	0	0	0
t40	1	0	0	0	0
t41	1	0	0	0	0
t42	1	0	0	0	0
t43	1	0	0	0	0
t47	0	0	1	0	0
t49	0	0	0	1	0
t50	0	0	0	1	0
t53	1	0	0	0	0
t54	1	0	0	0	0
t55	1	0	0	0	0
t57	1	0	0	0	0
t58	1	0	0	0	0
t59	1	0	0	0	0
t60	1	0	0	0	0
t61	1	0	0	0	0
t63	1	0	0	0	0
t64	1	0	0	0	0
t66	1	0	0	0	0
t67	1	0	0	0	0
t68	1	0	0	0	0
t71	1	0	0	0	0
t72	1	0	0	0	0
t74	1	0	0	0	0
t75	1	0	0	0	0
t76	1	0	0	0	0
t79	0	0	1	0	0
t81	0	0	0	0	1
t82	0	0	0	1	0
t86	1	0	0	0	0
t89	1	0	0	0	0
t90	1	0	0	0	0
t91	1	0	0	0	0
t95	1	0	0	0	0
t97	1	0	0	0	0
t100	1	0	0	0	0
t107	1	0	0	0	0
t109	1	0	0	0	0
t110	1	0	0	0	0
t113	1	0	0	0	0
t116	1	1	0	0	0
t117	1	0	0	0	0
t118	0	0	0	1	0
t121	0	0	1	0	0
t122	1	0	0	0	0
t125	1	0	0	0	0
t126	1	0	0	0	0
t127	1	0	0	0	0
t128	1	0	0	0	0
t129	1	0	0	0	0
t130	1	0	0	0	0
t131	1	0	0	0	0
t134	1	0	0	0	0
t138	1	0	0	0	0
t139	1	0	0	0	0
t140	1	0	0	0	0
t141	1	0	0	0	0
t142	1	0	0	0	0
t144	1	0	0	0	0
t145	1	1	0	0	0
t146	1	0	0	0	0
t147	1	0	0	0	0
t148	1	0	0	0	0
t150	1	0	0	0	0
t151	1	0	0	0	0
t152	1	0	0	0	0
t153	1	0	0	0	0
t154	1	0	0	0	0
t155	1	0	0	0	0
t156	1	1	0	0	0
t157	1	0	0	0	0
t158	0	0	0	1	0
t160	0	0	1	0	0
t163	1	0	0	0	0
t164	1	0	0	0	0
t169	1	0	0	0	0
t170	1	0	0	0	0
t172	1	0	0	0	0
t173	1	0	0	0	0
t174	1	0	0	0	0
t175	1	0	0	0	0
t176	1	0	0	0	0
t177	1	0	0	0	0
t181	1	0	0	0	0
t186	1	1	0	0	0
t187	1	1	0	0	0
t189	1	0	0	0	0
t192	1	0	0	0	0
t193	1	0	0	0	0
t194	1	0	0	0	0
t195	1	0	0	0	0
t196	1	0	0	0	0
t198	1	0	0	0	0
t199	1	0	0	0	0
t200	1	0	0	0	0
t203	1	0	0	0	0
t204	1	0	0	0	0
t205	1	0	0	0	0
t206	0	0	0	1	0
t207	0	0	0	1	0
t211	1	0	0	0	0
t212	1	0	0	0	0
t213	1	0	0	0	0
t221	1	0	0	0	0
t222	1	0	0	0	0
t223	1	0	0	0	0
t225	1	0	0	0	0
t227	1	0	0	0	0
t228	1	0	0	0	0
t229	1	0	0	0	0
t237	1	0	0	0	0
t240	1	0	0	0	0
t243	1	0	0	0	0
t244	1	0	0	0	0
t245	1	0	0	0	0
t247	1	0	0	0	0
t248	1	0	0	0	0
t249	1	0	0	0	0
t251	1	0	0	0	0
t254	0	1	0	0	0
t255	1	0	0	0	0
t256	1	0	0	0	0
t258	1	0	0	0	0
t259	1	0	0	0	0
t260	1	0	0	0	0
t261	1	0	0	0	0
t263	1	0	0	0	0
t264	1	0	0	0	0
t265	1	0	0	0	0
t269	1	0	0	0	0
t271	1	0	0	0	0
t272	1	0	0	0	0
t273	1	0	0	0	0
t277	1	0	0	0	0
t282	1	0	0	0	0
t288	1	0	0	0	0
t289	1	0	0	0	0
t294	1	0	0	0	0
t297	1	0	0	0	0
t300	1	0	0	0	0
