taxon	int_1	int_2	int_3	int_4	int_5
t1	0	1	1	0	1
t2	0	0	0	0	1
t5	0	0	0	1	0
t6	0	0	1	0	0
t7	0	0	0	1	1
t8	0	0	0	1	0
t9	0	0	0	1	1
t10	0	0	0	1	0
t11	0	0	0	1	1
t13	0	0	0	1	0
t15	1	1	1	1	0
t16	0	0	1	0	0
t17	0	0	0	1	0
t18	0	0	1	1	0
t19	0	0	1	1	0
t20	0	1	1	1	0
t21	0	0	1	1	0
t22	0	0	1	0	0
t24	0	0	0	1	0
t26	0	0	0	1	0
t27	0	0	0	1	0
t30	0	0	0	1	0
t32	1	0	0	0	0
t33	0	0	1	0	0
t34	0	0	0	1	0
t35	1	1	1	1	0
t36	0	0	1	0	0
t37	1	1	1	0	0
t38	0	1	0	0	0
t39	0	0	1	1	0
t40	0	0	0	1	0
t41	0	0	0	1	0
t42	0	0	0	1	0
t43	0	0	0	1	0
t44	0	1	1	1	0
t45	1	1	1	0	0
t46	0	0	0	1	0
t49	0	1	1	0	0
t50	0	0	1	0	0
t55	1	1	1	0	0
t56	1	0	0	0	0
t58	1	0	0	0	0
t60	0	0	1	0	0
t62	1	1	0	0	0
t63	0	1	0	0	0
t64	1	0	0	0	0
t65	1	0	0	0	0
t67	1	0	0	0	0
t68	1	0	0	0	0
t70	0	0	0	1	0
t71	0	0	1	1	0
t72	1	0	1	0	0
t73	1	0	1	0	0
t75	1	1	0	0	0
t76	1	1	0	0	0
t77	1	1	0	0	0
t79	0	0	1	0	0
t82	1	1	0	0	0
t83	1	1	0	0	0
t86	0	0	1	0	0
t87	0	0	1	0	0
t88	1	0	0	0	0
t90	1	0	0	0	0
t92	0	1	1	0	0
t93	0	0	1	1	0
t94	0	0	1	0	0
t95	0	0	1	0	0
t98	0	1	1	0	0
t99	0	1	0	0	0
t100	1	1	0	0	0
t101	1	1	0	0	0
t102	1	0	0	0	0
t103	1	0	0	0	0
t104	1	0	0	0	0
t106	1	1	0	0	0
t107	1	0	0	0	0
t108	1	0	0	0	0
t109	1	0	0	0	0
t112	1	0	0	0	0
t117	1	0	0	0	0
t118	1	0	0	0	0
t119	1	0	0	0	0
t121	1	0	0	0	0
t122	1	1	0	0	0
t123	1	0	0	0	0
