taxon	int_1	int_2	int_3	int_4	int_5
t1	0	0	0	0	1
t3	0	0	0	1	0
t4	0	0	0	0	1
t5	0	0	0	1	0
t6	0	0	1	1	0
t7	0	0	0	0	1
t9	0	0	1	1	0
t11	0	0	0	1	0
t12	0	0	1	1	0
t13	0	0	0	1	0
t15	0	0	0	1	0
t17	0	0	0	1	0
t18	0	1	0	1	0
t20	0	0	1	0	0
t21	0	0	1	0	0
t24	0	0	1	1	0
t25	1	1	0	0	0
t28	1	1	1	0	0
t29	1	1	0	1	0
t31	1	0	0	0	0
t35	1	0	0	0	0
t36	1	1	0	0	0
t37	1	0	0	0	0
t38	1	0	0	0	0
t39	1	0	0	0	0
t40	1	1	0	0	0
t41	0	1	0	0	0
t42	0	1	0	0	0
t44	1	0	0	0	0
t47	1	1	0	0	0
t50	0	1	0	0	0
t52	1	0	0	0	0
t53	1	0	0	0	0
t54	1	0	0	0	0
t55	1	0	0	0	0
t56	1	0	0	0	0
t58	1	1	0	0	0
t59	1	1	0	0	0
t60	1	0	0	0	0
t62	1	0	0	0	0
t64	1	0	0	0	0
t65	1	0	0	0	0
t68	1	0	0	0	0
t70	0	1	0	0	0
t71	1	1	0	0	0
t72	1	0	0	0	0
t73	1	1	0	0	0
t74	1	0	0	0	0
t76	1	0	0	0	0
t78	1	0	0	0	0
t79	1	0	0	0	0
t80	1	0	0	0	0
t81	1	0	0	0	0
t84	1	0	0	0	0
t86	1	0	0	0	0
t87	1	0	0	0	0
t89	1	0	0	0	0
t91	1	0	0	0	0
t92	1	0	0	0	0
t93	1	0	0	0	0
t94	1	0	0	0	0
t95	1	0	0	0	0
t96	0	1	0	0	0
t97	0	1	0	0	0
t98	1	0	0	0	0
t99	1	0	0	0	0
t100	1	0	0	0	0
t101	1	0	0	0	0
t102	1	0	0	0	0
t103	1	0	0	0	0
t104	0	1	0	0	0
t105	1	0	0	0	0
t106	1	0	0	0	0
t107	1	0	0	0	0
t109	1	0	0	0	0
t110	1	0	0	0	0
t111	1	0	0	0	0
t117	1	0	0	0	0
t118	1	0	0	0	0
t120	1	0	0	0	0
t121	1	0	0	0	0
t123	1	0	0	0	0
t124	1	0	0	0	0
t125	1	0	0	0	0
t128	1	0	0	0	0
t129	1	0	0	0	0
t131	1	0	0	0	0
t132	1	0	0	0	0
t134	1	0	0	0	0
t135	1	0	0	0	0
t136	1	0	0	0	0
t138	1	0	0	0	0
t140	1	0	0	0	0
t144	1	0	0	0	0
t146	1	0	0	0	0
t153	1	0	0	0	0
t155	1	0	0	0	0
t160	1	0	0	0	0
t161	1	0	0	0	0
t163	1	0	0	0	0
t164	1	0	0	0	0
t165	1	0	0	0	0
t166	1	0	0	0	0
t168	1	0	0	0	0
t171	1	0	0	0	0
t172	1	0	0	0	0
t174	1	0	0	0	0
t177	1	0	0	0	0
t178	1	0	0	0	0
t179	1	0	0	0	0
t181	1	0	0	0	0
t188	1	0	0	0	0
t192	1	0	0	0	0
t193	1	0	0	0	0
t194	1	0	0	0	0
t200	1	0	0	0	0
t202	1	0	0	0	0
t203	1	0	0	0	0
t204	1	0	0	0	0
t205	1	0	0	0	0
t206	1	0	0	0	0
t212	1	0	0	0	0
t213	1	0	0	0	0
t214	1	0	0	0	0
t218	1	0	0	0	0
t219	1	0	0	0	0
t222	1	0	0	0	0
t224	1	0	0	0	0
t229	1	0	0	0	0
t230	1	0	0	0	0
t231	1	0	0	0	0
t232	1	0	0	0	0
t233	1	0	0	0	0
t239	1	0	0	0	0
t244	1	0	0	0	0
t246	1	0	0	0	0
t247	1	0	0	0	0
t248	1	0	0	0	0
t249	1	0	0	0	0
t251	1	0	0	0	0
t252	1	0	0	0	0
t255	1	0	0	0	0
t256	1	0	0	0	0
t260	1	0	0	0	0
t261	1	0	0	0	0
t262	1	0	0	0	0
t263	1	0	0	0	0
t273	1	0	0	0	0
t275	1	0	0	0	0
t276	1	0	0	0	0
t277	1	0	0	0	0
t278	1	0	0	0	0
t283	1	0	0	0	0
t286	1	0	0	0	0
t287	1	0	0	0	0
t289	1	0	0	0	0
t290	1	0	0	0	0
t295	1	0	0	0	0
t296	1	0	0	0	0
t302	1	0	0	0	0
t303	1	0	0	0	0
t305	1	0	0	0	0
t309	1	0	0	0	0
t311	1	0	0	0	0
t319	1	0	0	0	0
t320	1	0	0	0	0
t329	1	0	0	0	0
t331	1	0	0	0	0
t332	1	0	0	0	0
t333	1	0	0	0	0
t336	1	0	0	0	0
t347	1	0	0	0	0
t350	1	0	0	0	0
t352	1	0	0	0	0
t354	1	0	0	0	0
t355	1	0	0	0	0
t360	1	0	0	0	0
t364	1	0	0	0	0
t366	1	0	0	0	0
t374	1	0	0	0	0
t382	1	0	0	0	0
t383	1	0	0	0	0
t387	1	0	0	0	0
t398	1	0	0	0	0
t401	1	0	0	0	0
t402	1	0	0	0	0
t403	1	0	0	0	0
