taxon	int_1	int_2	int_3	int_4	int_5
t1	0	0	1	1	1
t2	0	0	1	1	1
t3	0	0	0	1	0
t4	0	0	0	1	0
t6	0	0	1	1	0
t7	0	0	0	1	0
t9	0	0	1	1	0
t11	0	0	0	1	0
t12	0	1	1	1	0
t13	0	0	1	1	0
t14	0	0	0	1	0
t15	1	1	1	0	0
t16	1	1	1	0	0
t17	0	0	1	1	0
t18	0	0	1	0	0
t19	0	0	1	0	0
t20	1	1	0	0	0
t22	1	1	0	0	0
t24	0	1	0	0	0
t25	1	0	0	0	0
t26	1	0	0	0	0
t27	1	1	0	0	0
t28	1	1	0	0	0
t30	1	0	0	0	0
t31	0	0	0	1	0
t32	1	1	1	1	0
t33	0	0	1	0	0
t34	1	0	0	0	0
t35	1	0	0	0	0
t36	0	1	0	0	0
t37	1	0	0	0	0
t38	1	0	0	0	0
t39	1	0	0	0	0
t40	1	0	0	0	0
t41	0	1	0	0	0
t42	1	0	0	0	0
t43	1	1	0	0	0
t44	1	1	0	0	0
t45	1	0	0	0	0
t47	1	0	0	0	0
t50	1	0	0	0	0
t51	1	0	0	0	0
t52	1	0	0	0	0
t54	1	0	0	0	0
t55	1	0	0	0	0
t56	1	0	0	0	0
t60	1	1	0	0	0
t61	1	0	0	0	0
t62	0	1	0	0	0
t63	1	0	0	0	0
t64	1	0	0	0	0
t65	1	0	0	0	0
t66	1	1	0	0	0
t69	1	1	0	0	0
t70	1	0	0	0	0
t71	1	0	0	0	0
t73	1	0	0	0	0
t74	1	1	0	0	0
t75	1	1	0	0	0
t77	1	0	0	0	0
t78	1	0	0	0	0
t79	1	0	0	0	0
t80	1	1	0	0	0
t81	1	0	0	0	0
t83	1	0	0	0	0
t86	0	1	0	0	0
t87	1	1	0	0	0
t89	1	0	0	0	0
t90	1	0	0	0	0
t95	1	0	0	0	0
t96	1	0	0	0	0
t97	1	0	0	0	0
t98	1	0	0	0	0
t99	1	0	0	0	0
t100	1	0	0	0	0
t101	1	0	0	0	0
t102	1	0	0	0	0
t104	1	0	0	0	0
t105	1	0	0	0	0
t117	1	0	0	0	0
t118	1	0	0	0	0
t120	1	0	0	0	0
t122	1	1	0	0	0
t123	1	0	0	0	0
t124	1	0	0	0	0
t128	1	0	0	0	0
t133	1	0	0	0	0
t136	1	0	0	0	0
t137	1	0	0	0	0
t138	1	0	0	0	0
t140	1	0	0	0	0
t143	1	0	0	0	0
t144	1	1	0	0	0
t145	1	1	0	0	0
t148	1	0	0	0	0
t149	1	0	0	0	0
t153	1	0	0	0	0
t154	1	0	0	0	0
t157	1	1	0	0	0
t159	1	0	0	0	0
t160	1	0	0	0	0
t161	1	0	0	0	0
t163	1	0	0	0	0
t164	1	0	0	0	0
t165	1	0	0	0	0
t166	1	0	0	0	0
t170	1	0	0	0	0
t174	1	0	0	0	0
t175	1	0	0	0	0
t176	1	0	0	0	0
t177	1	0	0	0	0
t182	1	0	0	0	0
t183	1	0	0	0	0
t186	1	0	0	0	0
t189	1	0	0	0	0
t190	1	0	0	0	0
t191	1	0	0	0	0
t192	1	0	0	0	0
t195	1	0	0	0	0
t196	1	0	0	0	0
t197	1	0	0	0	0
t198	1	0	0	0	0
t199	1	0	0	0	0
t200	1	0	0	0	0
t202	1	0	0	0	0
t207	1	0	0	0	0
t208	1	0	0	0	0
t209	1	0	0	0	0
t211	1	0	0	0	0
t213	1	0	0	0	0
t214	1	0	0	0	0
t215	1	1	0	0	0
t216	1	0	0	0	0
t217	1	0	0	0	0
t218	1	0	0	0	0
t219	1	0	0	0	0
t220	1	0	0	0	0
t221	1	0	0	0	0
t222	1	0	0	0	0
t223	1	0	0	0	0
t224	1	0	0	0	0
t225	1	0	0	0	0
t226	1	0	0	0	0
t229	1	0	0	0	0
t230	1	0	0	0	0
t234	1	0	0	0	0
t235	1	0	0	0	0
t236	1	0	0	0	0
