taxon	int_1	int_2	int_3	int_4	int_5
t1	0	0	0	1	1
t2	0	0	0	1	1
t3	0	0	0	1	0
t4	0	0	0	1	0
t7	0	0	0	1	0
t10	0	0	1	1	1
t11	0	0	0	1	0
t12	0	0	0	1	0
t13	0	0	0	1	0
t14	0	0	0	1	0
t15	0	0	1	0	0
t16	0	0	1	0	0
t17	0	0	0	1	0
t18	0	0	0	1	0
t19	1	1	1	0	0
t20	0	0	1	0	0
t21	0	0	0	1	0
t25	1	1	0	0	0
t26	1	1	0	0	0
t29	1	0	1	1	0
t31	0	0	0	1	0
t32	0	0	0	1	0
t34	0	0	1	1	0
t35	0	0	1	1	0
t36	1	0	0	0	0
t37	1	0	0	0	0
t38	1	0	0	0	0
t39	1	0	0	0	0
t40	1	0	0	0	0
t41	1	0	0	0	0
t42	1	0	0	0	0
t43	1	1	0	0	0
t44	1	0	0	0	0
t46	1	0	0	0	0
t48	1	0	0	0	0
t49	0	0	1	1	0
t50	1	1	1	0	0
t51	1	1	0	0	0
t52	1	0	0	0	0
t53	1	0	0	0	0
t54	1	0	0	0	0
t55	1	0	1	1	0
t56	0	0	0	1	0
t58	1	1	1	0	0
t61	0	0	0	1	0
t63	1	0	0	0	0
t65	1	0	0	0	0
t66	1	0	0	0	0
t67	1	0	0	0	0
t69	1	0	0	0	0
t70	1	0	0	0	0
t71	1	0	0	0	0
t73	1	0	0	0	0
t74	1	0	0	0	0
t75	1	0	0	0	0
t77	0	1	0	1	0
t78	0	0	0	1	0
t79	0	1	0	0	0
t82	1	0	0	0	0
t83	1	0	0	0	0
t84	1	0	0	0	0
t85	1	0	0	0	0
t86	1	0	0	0	0
t87	1	0	0	0	0
t88	1	0	0	0	0
t89	1	0	0	0	0
t90	1	0	0	0	0
t92	1	0	0	0	0
t95	0	0	0	1	0
t97	1	0	0	0	0
t98	1	1	1	0	0
t103	1	1	0	0	0
t104	1	1	0	0	0
t105	1	0	0	0	0
t106	1	0	0	0	0
t107	1	0	0	0	0
t111	1	0	0	0	0
t114	1	0	0	0	0
t115	1	0	0	0	0
t120	1	0	0	0	0
t125	1	0	0	0	0
t126	1	0	0	0	0
t127	1	0	0	0	0
t131	0	0	0	1	0
t132	1	1	0	0	0
t134	1	1	0	0	0
t136	1	1	0	0	0
t137	1	0	0	0	0
t142	1	0	0	0	0
t143	1	0	0	0	0
t145	1	0	0	0	0
t146	1	0	0	0	0
t147	1	0	0	0	0
t151	1	0	0	0	0
t152	1	0	0	0	0
t154	1	0	0	0	0
t159	1	1	0	0	0
t160	1	1	0	0	0
t162	1	0	0	0	0
t163	1	0	0	0	0
t164	1	0	0	0	0
t165	1	0	0	0	0
t166	1	0	0	0	0
t167	1	0	0	0	0
t168	1	0	0	0	0
t169	1	0	0	0	0
t170	1	0	0	0	0
t171	1	0	0	0	0
t174	1	0	0	0	0
t178	1	0	0	0	0
t193	1	0	0	0	0
t198	1	1	0	0	0
t199	1	0	0	0	0
t200	1	0	0	0	0
t201	1	0	0	0	0
t202	1	0	0	0	0
t203	1	0	0	0	0
t205	1	0	0	0	0
t208	1	0	0	0	0
t210	1	0	0	0	0
t211	1	0	0	0	0
t212	1	0	0	0	0
t213	1	0	0	0	0
t214	1	0	0	0	0
t217	1	0	0	0	0
t218	1	0	0	0	0
t219	1	0	0	0	0
t222	1	0	0	0	0
t226	1	0	0	0	0
t227	1	1	0	0	0
t228	1	1	0	0	0
t229	1	0	0	0	0
t230	1	0	0	0	0
t231	1	1	0	0	0
t237	1	0	0	0	0
t240	1	0	0	0	0
t241	1	0	0	0	0
t246	1	0	0	0	0
t251	1	0	0	0	0
t253	1	0	0	0	0
t255	1	0	0	0	0
t258	0	1	0	0	0
t259	1	1	0	0	0
t260	1	0	0	0	0
t261	1	0	0	0	0
t262	1	0	0	0	0
