taxon	int_1	int_2	int_3	int_4	int_5
t1	0	0	0	0	1
t2	0	0	0	0	1
t3	0	0	0	1	1
t4	0	0	0	1	1
t5	0	0	0	1	1
t8	0	0	0	1	0
t9	0	0	1	1	0
t10	0	0	0	1	0
t12	0	0	0	1	1
t13	0	0	0	1	0
t14	1	1	1	1	1
t15	1	1	1	1	0
t16	0	0	1	0	0
t17	0	1	0	0	0
t18	0	0	0	1	1
t19	0	0	0	1	1
t21	0	0	1	1	1
t22	0	0	0	1	0
t24	0	0	0	1	0
t25	0	0	0	1	0
t34	0	0	0	1	0
t35	0	1	0	0	0
t36	0	0	0	1	0
t38	0	0	1	1	0
t40	0	1	0	0	0
t41	1	1	0	0	0
t42	1	0	0	0	0
t43	0	0	0	1	0
t44	1	1	0	0	0
t45	1	0	0	0	0
t46	1	0	0	0	0
t47	1	0	0	0	0
t48	0	0	0	1	0
t50	0	0	0	1	0
t51	0	0	0	1	0
t52	0	0	1	1	0
t53	0	0	1	0	0
t59	0	0	0	1	0
t61	0	0	0	1	0
t62	0	0	0	1	0
t66	1	1	0	0	0
t67	0	1	0	0	0
t68	1	0	0	0	0
t69	0	0	0	1	1
t70	1	1	0	0	0
t71	0	1	0	0	0
t72	1	0	0	0	0
t73	1	0	0	0	0
t78	0	0	1	0	0
t79	1	1	0	0	0
t80	1	1	0	0	0
t81	1	1	0	0	0
t83	1	0	0	0	0
t86	1	1	0	0	0
t87	1	1	1	0	0
t89	0	0	0	1	0
t92	1	0	1	0	0
t93	0	1	0	0	0
t94	1	1	0	0	0
t98	1	1	1	0	0
t99	1	1	0	0	0
t100	1	0	0	0	0
t101	1	0	0	0	0
t104	1	0	0	0	0
t105	1	0	0	0	0
t106	0	0	0	1	0
t107	1	0	0	0	0
t109	1	0	0	0	0
t110	1	0	0	0	0
t111	1	1	0	0	0
t112	1	0	0	0	0
t113	1	0	0	0	0
t114	1	0	0	0	0
t115	1	0	0	0	0
t116	1	0	0	0	0
t119	0	0	0	1	0
t120	1	0	0	0	0
t122	1	0	0	0	0
t124	1	0	0	0	0
t125	1	0	0	0	0
t126	1	0	0	0	0
t130	1	1	0	0	0
t133	1	1	0	0	0
t134	1	0	0	0	0
t136	0	0	1	0	0
t137	1	0	0	0	0
t138	1	0	0	0	0
t139	1	0	0	0	0
t140	1	0	0	0	0
t143	1	0	0	0	0
t146	1	1	0	0	0
t148	1	0	0	0	0
t149	1	0	0	0	0
t150	1	0	0	0	0
t151	1	0	0	0	0
t153	1	0	0	0	0
t154	1	0	0	0	0
t155	1	0	0	0	0
t158	1	1	0	0	0
t160	1	0	0	0	0
t163	1	0	0	0	0
t164	1	0	0	0	0
t165	1	0	0	0	0
t166	1	0	0	0	0
t167	1	0	0	0	0
t168	1	0	0	0	0
t169	1	0	0	0	0
t174	1	0	0	0	0
t176	1	0	0	0	0
t180	1	0	0	0	0
t181	1	0	0	0	0
t185	1	0	0	0	0
t186	1	0	0	0	0
t192	0	0	1	1	0
t193	0	0	0	1	0
t196	1	0	0	0	0
t197	1	0	0	0	0
t198	1	0	0	0	0
t199	1	0	0	0	0
t201	1	0	0	0	0
t202	1	0	0	0	0
t206	1	0	0	0	0
t211	1	0	0	0	0
t212	1	0	0	0	0
t214	1	0	0	0	0
t215	0	0	1	0	0
t216	1	0	0	0	0
t219	0	0	1	0	0
t220	1	0	0	0	0
t221	1	0	0	0	0
t223	1	0	0	0	0
t224	1	0	0	0	0
t225	1	0	0	0	0
t227	1	0	0	0	0
t229	1	0	0	0	0
t231	1	1	0	0	0
t232	1	0	0	0	0
t233	0	1	0	0	0
t235	1	0	0	0	0
t236	1	0	0	0	0
t240	1	0	0	0	0
t242	1	0	0	0	0
t244	1	0	0	0	0
t247	1	0	0	0	0
t248	1	0	0	0	0
t249	1	0	0	0	0
t252	1	0	0	0	0
