taxon	int_1	int_2	int_3	int_4	int_5
t1	0	0	0	1	1
t2	0	0	1	1	0
t3	0	0	0	1	0
t4	0	0	0	1	0
t5	0	0	0	1	0
t6	0	0	1	0	0
t7	0	0	0	1	0
t8	1	1	1	0	0
t9	0	0	1	0	0
t10	0	0	0	1	0
t12	0	0	1	1	0
t13	1	1	1	1	0
t14	1	1	0	1	0
t15	0	0	1	1	0
t19	1	0	0	0	0
t20	1	0	0	0	0
t22	1	1	1	1	0
t26	1	0	0	0	0
t27	1	0	0	0	0
t28	1	0	0	0	0
t30	0	0	1	0	0
t31	1	0	0	0	0
t32	1	0	0	0	0
t33	1	0	0	0	0
t34	1	0	0	0	0
t35	1	0	0	0	0
t36	1	0	0	0	0
t39	1	0	0	0	0
t41	1	0	0	0	0
t42	1	0	0	0	0
t44	1	0	0	0	0
t45	1	0	0	0	0
t47	1	1	1	1	0
t48	1	1	0	0	0
t49	1	0	0	0	0
t50	1	0	0	0	0
t51	1	0	0	0	0
t53	1	0	0	0	0
t54	0	1	1	1	0
t55	0	0	1	0	0
t56	1	0	0	0	0
t57	1	0	0	0	0
t59	1	0	0	0	0
t60	1	0	0	0	0
t62	1	0	0	0	0
t64	1	0	0	0	0
t69	1	0	0	0	0
t70	1	0	0	0	0
t71	1	0	0	0	0
t73	1	0	0	0	0
t74	1	0	0	0	0
t75	1	0	0	0	0
t76	1	0	0	0	0
t77	1	0	0	0	0
t78	1	0	0	0	0
t80	1	0	0	0	0
t86	1	0	0	0	0
t87	1	0	0	0	0
t89	1	0	0	0	0
t91	1	0	0	0	0
t97	1	0	0	0	0
t99	1	0	0	0	0
t100	0	0	0	1	0
t102	1	0	0	0	0
t103	1	0	0	0	0
t104	0	1	0	0	0
t105	1	0	0	0	0
t106	1	0	0	0	0
t107	1	0	0	0	0
t108	1	0	0	0	0
t110	1	0	0	0	0
t111	1	0	0	0	0
t112	1	0	0	0	0
t118	0	1	1	0	0
t120	1	0	0	0	0
t124	1	0	0	0	0
t129	1	0	0	0	0
t131	1	0	0	0	0
t132	1	0	0	0	0
t138	1	0	0	0	0
t142	1	0	0	0	0
t143	1	0	0	0	0
t145	1	0	0	0	0
t147	1	0	0	0	0
t149	1	0	0	0	0
t153	1	0	0	0	0
t155	1	0	0	0	0
t157	1	0	0	0	0
t158	1	0	0	0	0
t160	1	0	0	0	0
t163	1	0	0	0	0
t165	1	0	0	0	0
t167	1	0	0	0	0
t169	1	0	0	0	0
t173	1	0	0	0	0
t174	1	0	0	0	0
t175	1	0	0	0	0
t176	1	0	0	0	0
t180	1	0	0	0	0
t181	1	0	0	0	0
t183	1	0	0	0	0
t185	1	0	0	0	0
t186	1	0	0	0	0
t187	1	0	0	0	0
t191	1	0	0	0	0
t194	1	0	0	0	0
t195	1	0	0	0	0
t201	1	0	0	0	0
t207	1	0	0	0	0
t208	1	0	0	0	0
t209	1	0	0	0	0
t210	1	0	0	0	0
t211	1	0	0	0	0
t212	1	0	0	0	0
t217	1	0	0	0	0
t220	1	0	0	0	0
t222	1	0	0	0	0
t223	1	0	0	0	0
t224	1	0	0	0	0
t225	1	0	0	0	0
t226	1	0	0	0	0
t230	1	0	0	0	0
t231	1	0	0	0	0
t235	1	0	0	0	0
t237	1	0	0	0	0
t238	1	0	0	0	0
t240	1	0	0	0	0
t241	1	0	0	0	0
t242	1	0	0	0	0
t243	1	0	0	0	0
t248	1	0	0	0	0
t250	1	0	0	0	0
t253	1	0	0	0	0
t255	1	0	0	0	0
t267	1	0	0	0	0
t271	1	0	0	0	0
t272	1	0	0	0	0
t274	1	0	0	0	0
t275	1	0	0	0	0
t277	1	0	0	0	0
t280	1	0	0	0	0
t290	1	0	0	0	0
