taxon	first_age	last_age
t2	28.6161407871441	11.4749705672032
t4	18.1369471675125	2.70622056704935
t5	10.1930899019874	10.1930899019874
t6	19.4927834364705	19.4927834364705
t7	7.99623979304498	7.99623979304498
t8	12.5582981214663	9.74624614266616
t9	13.611858181681	2.68273369479335
t10	4.73218609165058	3.80787634497786
t11	14.2419594036515	12.8262260133546
t12	7.8634496130158	0
t13	7.33154893064457	0
t14	9.33422100051334	0
t15	9.96279559768992	0
t16	5.53684778341797	5.53684778341797
t17	7.97135460021006	7.97135460021006
t18	5.57340302899298	3.70051104436937
t19	5.50811605662381	5.50811605662381
t24	3.63284054309225	0
t25	5.52170247809746	5.52170247809746
t27	2.41344644855933	2.41344644855933
