taxon	fad_max	fad_min	lad_max	lad_min
t1	30	20	20	10
t2	30	20	30	20
t3	30	20	30	20
t4	30	20	20	10
t5	20	10	20	10
t6	20	10	20	10
t7	30	20	20	10
t8	30	20	20	10
t10	30	20	10	0
t12	30	20	20	10
t13	20	10	20	10
t14	30	20	20	10
t15	20	10	20	10
t16	10	0	10	0
t17	30	20	30	20
t19	30	20	30	20
t20	30	20	10	0
t21	30	20	30	20
t22	20	10	20	10
t25	30	20	30	20
t26	30	20	20	10
t27	30	20	20	10
t28	30	20	20	10
t30	20	10	20	10
t31	20	10	10	0
t32	10	0	10	0
t34	10	0	10	0
t36	20	10	20	10
t37	20	10	10	0
t38	20	10	20	10
t41	20	10	20	10
t42	30	20	20	10
t43	30	20	30	20
t44	30	20	20	10
t45	30	20	20	10
t46	20	10	20	10
t47	20	10	20	10
t48	10	0	10	0
t50	10	0	10	0
t52	10	0	10	0
t56	10	0	10	0
t57	10	0	10	0
t58	10	0	10	0
t60	20	10	20	10
t61	20	10	20	10
t62	30	20	30	20
t63	30	20	30	20
t64	30	20	30	20
t67	20	10	20	10
t68	20	10	20	10
t69	30	20	20	10
t70	10	0	10	0
t74	10	0	10	0
t75	10	0	10	0
t76	10	0	10	0
t78	30	20	30	20
t79	30	20	30	20
t80	20	10	20	10
t81	30	20	20	10
t82	20	10	20	10
t83	20	10	20	10
t84	20	10	20	10
t87	10	0	10	0
t89	10	0	10	0
t94	10	0	10	0
t96	10	0	10	0
t98	10	0	10	0
t99	20	10	10	0
t100	20	10	20	10
t102	10	0	10	0
t105	10	0	10	0
t108	20	10	10	0
t109	10	0	10	0
t111	10	0	10	0
t112	10	0	10	0
t113	10	0	10	0
t115	10	0	10	0
