taxon	fad_max	fad_min	lad_max	lad_min
t1	30	20	20	10
t3	30	20	30	20
t4	20	10	20	10
t5	20	10	20	10
t7	30	20	30	20
t8	20	10	20	10
t9	30	20	30	20
t10	20	10	20	10
t12	20	10	20	10
t13	20	10	20	10
t14	30	20	30	20
t16	20	10	20	10
t17	30	20	30	20
t18	20	10	20	10
t20	20	10	20	10
t21	30	20	30	20
t26	20	10	20	10
t27	20	10	10	0
t29	20	10	10	0
t30	10	0	10	0
t31	10	0	10	0
t33	20	10	10	0
t34	10	0	10	0
t35	10	0	10	0
t36	10	0	10	0
t38	10	0	10	0
t39	10	0	10	0
t40	10	0	10	0
t41	10	0	10	0
t42	10	0	10	0
t43	10	0	10	0
t44	10	0	10	0
t45	10	0	10	0
t46	10	0	10	0
t47	20	10	10	0
t48	10	0	10	0
t49	10	0	10	0
t51	10	0	10	0
t52	10	0	10	0
t53	10	0	10	0
t57	10	0	10	0
t59	10	0	10	0
t60	10	0	10	0
t62	10	0	10	0
t63	10	0	10	0
t66	10	0	10	0
t67	10	0	10	0
t68	10	0	10	0
t72	10	0	10	0
t73	10	0	10	0
t74	10	0	10	0
t76	10	0	10	0
t78	10	0	10	0
t79	10	0	10	0
t82	10	0	10	0
t83	10	0	10	0
t86	10	0	10	0
t87	10	0	10	0
t88	10	0	10	0
t89	10	0	10	0
t90	10	0	10	0
t92	10	0	10	0
t93	10	0	10	0
t94	10	0	10	0
t95	10	0	10	0
t96	10	0	10	0
t97	10	0	10	0
t99	10	0	10	0
t101	10	0	10	0
t113	10	0	10	0
t114	10	0	10	0
t115	10	0	10	0
t118	10	0	10	0
t121	10	0	10	0
t122	10	0	10	0
t125	10	0	10	0
t130	10	0	10	0
t134	10	0	10	0
t135	10	0	10	0
t136	10	0	10	0
t138	10	0	10	0
t139	10	0	10	0
t140	10	0	10	0
t142	10	0	10	0
t148	10	0	10	0
t149	10	0	10	0
t151	10	0	10	0
t153	10	0	10	0
t154	10	0	10	0
t155	10	0	10	0
t158	10	0	10	0
t159	10	0	10	0
t162	10	0	10	0
t163	10	0	10	0
t165	10	0	10	0
t167	10	0	10	0
t173	10	0	10	0
t174	10	0	10	0
t176	10	0	10	0
t178	10	0	10	0
t179	10	0	10	0
t180	10	0	10	0
t183	10	0	10	0
t190	10	0	10	0
t192	10	0	10	0
t194	10	0	10	0
t198	10	0	10	0
t199	10	0	10	0
t201	10	0	10	0
t203	10	0	10	0
t206	10	0	10	0
t207	10	0	10	0
t211	10	0	10	0
t214	10	0	10	0
t222	10	0	10	0
t223	10	0	10	0
t224	10	0	10	0
t225	10	0	10	0
t232	10	0	10	0
t233	10	0	10	0
t235	10	0	10	0
t241	10	0	10	0
t242	10	0	10	0
t249	10	0	10	0
t250	10	0	10	0
t251	10	0	10	0
t253	10	0	10	0
t255	10	0	10	0
t257	10	0	10	0
t259	10	0	10	0
t261	10	0	10	0
t264	10	0	10	0
t265	10	0	10	0
