taxon	fad_max	fad_min	lad_max	lad_min
t1	20	10	20	10
t2	30	20	20	10
t3	20	10	20	10
t4	20	10	20	10
t5	20	10	20	10
t6	20	10	10	0
t7	20	10	10	0
t8	20	10	20	10
t9	20	10	10	0
t11	20	10	10	0
t12	20	10	20	10
t14	10	0	10	0
t15	10	0	10	0
t16	10	0	10	0
t17	10	0	10	0
t18	10	0	10	0
t19	10	0	10	0
t22	20	10	10	0
t24	20	10	10	0
t26	10	0	10	0
t27	10	0	10	0
t30	10	0	10	0
t32	10	0	10	0
t34	10	0	10	0
t37	10	0	10	0
t38	10	0	10	0
t39	10	0	10	0
t40	10	0	10	0
t41	10	0	10	0
t42	10	0	10	0
t43	10	0	10	0
t44	10	0	10	0
t45	10	0	10	0
t46	10	0	10	0
t47	10	0	10	0
t49	20	10	10	0
t50	10	0	10	0
t53	10	0	10	0
t54	10	0	10	0
t55	10	0	10	0
t58	10	0	10	0
t60	10	0	10	0
t61	10	0	10	0
t63	10	0	10	0
t65	10	0	10	0
t66	10	0	10	0
t67	10	0	10	0
t68	10	0	10	0
t71	10	0	10	0
t72	10	0	10	0
t73	10	0	10	0
t74	10	0	10	0
t75	10	0	10	0
t76	10	0	10	0
t77	10	0	10	0
t78	10	0	10	0
t79	10	0	10	0
t80	10	0	10	0
t81	10	0	10	0
t84	10	0	10	0
t88	10	0	10	0
t90	10	0	10	0
t91	10	0	10	0
t92	10	0	10	0
t93	10	0	10	0
t94	10	0	10	0
t99	10	0	10	0
t100	10	0	10	0
t101	10	0	10	0
t104	10	0	10	0
t109	10	0	10	0
t110	10	0	10	0
t111	10	0	10	0
t115	10	0	10	0
t116	10	0	10	0
t118	10	0	10	0
t120	10	0	10	0
t122	10	0	10	0
t124	10	0	10	0
t129	10	0	10	0
t130	10	0	10	0
t132	10	0	10	0
t133	10	0	10	0
t137	10	0	10	0
t138	10	0	10	0
t141	10	0	10	0
t142	10	0	10	0
t143	10	0	10	0
t144	10	0	10	0
t145	10	0	10	0
t147	10	0	10	0
t148	10	0	10	0
t154	10	0	10	0
t155	10	0	10	0
t156	10	0	10	0
t157	10	0	10	0
t159	10	0	10	0
t161	10	0	10	0
t164	10	0	10	0
t165	10	0	10	0
t170	10	0	10	0
t171	10	0	10	0
t172	10	0	10	0
t177	10	0	10	0
t178	10	0	10	0
t179	10	0	10	0
t181	10	0	10	0
t182	10	0	10	0
t183	10	0	10	0
t184	10	0	10	0
t186	10	0	10	0
t189	10	0	10	0
t190	10	0	10	0
t191	10	0	10	0
t194	10	0	10	0
t196	10	0	10	0
t198	10	0	10	0
t207	10	0	10	0
t208	10	0	10	0
t213	10	0	10	0
t214	10	0	10	0
t215	10	0	10	0
t216	10	0	10	0
t219	10	0	10	0
t220	10	0	10	0
t221	10	0	10	0
t222	10	0	10	0
t223	10	0	10	0
t226	10	0	10	0
t227	10	0	10	0
t231	10	0	10	0
t234	10	0	10	0
t240	10	0	10	0
t242	10	0	10	0
t245	10	0	10	0
t248	10	0	10	0
t249	10	0	10	0
t250	10	0	10	0
t251	10	0	10	0
