taxon	min_age	max_age	status
t3	22.6006134680938	27.6818480547518	extinct
t5	11.316518377047	17.0924624234904	extant
t5	0	5.9928039140068	extant
t6	17.0924624234904	22.6006134680938	extinct
t6	5.9928039140068	11.316518377047	extinct
t7	11.316518377047	17.0924624234904	extinct
t7	5.9928039140068	11.316518377047	extinct
t8	0	5.9928039140068	extinct
t9	5.9928039140068	11.316518377047	extant
t9	0	5.9928039140068	extant
t10	5.9928039140068	11.316518377047	extinct
t12	0	5.9928039140068	extant
t13	5.9928039140068	11.316518377047	extinct
t14	0	5.9928039140068	extant
t15	0	5.9928039140068	extant
t16	0	5.9928039140068	extinct
t19	5.9928039140068	11.316518377047	extant
t19	0	5.9928039140068	extant
t22	0	5.9928039140068	extinct
