taxon	fad	lad
t1	4.41832529878086	0.0351049529069236
t2	6.19207115543953	6.19207115543953
t3	4.17776005947673	3.88592182215945
t4	5.1271311303608	5.1271311303608
t5	1.32068243680318	1.32068243680318
t6	7.84059751199706	1.49754946969439
t7	4.50876237375843	0.667853992473994
t8	0.995890407851618	0.995890407851618
t12	5.37653174040005	0.553269825187446
t14	0.924342269729008	0.924342269729008
t16	4.21336653987195	1.50217256049202
t17	1.54149855814434	0.591082270038569
t18	1.50487798360668	1.50487798360668
