taxon	max_age	min_age
t1	9.43029063312411	1.40102834483088
t2	8.17145707512585	8.17145707512585
t3	5.56893821505777	0.343767333081894
t4	5.43526519068741	3.195284003754
t5	4.82620351605704	2.29699334581394
t6	0.758178392848269	0.758178392848269
t7	1.39275806904627	0.379832087269484
t8	1.00742295505796	1.00742295505796
t11	6.79776471348135	6.79776471348135
t12	5.82809032064518	2.11258908518503
t13	2.64094034654312	0.729448168963454
t16	0.655035082215587	0.259594764990876
t21	0.79070160142366	0.79070160142366
t22	0.85938844700838	0.85938844700838
t23	1.75024223721992	1.09628412100799
t25	2.88631106705629	2.20173968912326
t26	2.23301952738601	1.9586816296239
t27	4.03216401993307	1.12731404084275
t28	3.02184598605115	3.02184598605115
t29	1.93923524692898	1.93923524692898
t31	2.7139548539361	1.41955499897618
t32	0.880812992679314	0.880812992679314
t33	0.0400764254252834	0.0400764254252834
t37	0.081315098548643	0.081315098548643
t38	1.98412978415219	1.98412978415219
t39	3.90092290109083	2.85229565911055
t40	1.45679389444752	0.545936422417439
t42	2.91391028835715	2.91391028835715
t47	0.9881339343217	0.9881339343217
t48	0.745622635697123	0.745622635697123
