taxon	fad	lad
t17	11.0075541873369	10.8823205585498
t18	11.0636838458443	4.10801949711044
t19	7.66942781203499	0.254070534052431
t20	4.71814904199736	4.11147829786577
t21	16.8738615902936	4.78618031013928
t22	13.7813101150353	1.78226111522338
t23	10.1523981937858	4.99291447277846
t24	10.8855464352872	8.68602421113732
t25	3.18724285930212	2.29778280717137
t26	4.4426564365959	3.02984862414731
t27	5.6243266191981	1.89714716443073
t28	3.95967451201965	3.17089832348758
t29	0.107794715818272	0.107794715818272
t30	3.16973553149532	0.528727110880794
t31	0.361629997398584	0.361629997398584
t32	2.42602222058476	0.327206672351075
t35	12.0365800918021	6.05141759648168
t36	13.7728035938167	1.02047859862918
t37	13.5703877031543	3.97566494478646
t39	11.5350062947953	10.6185144745512
t40	11.0333184235031	1.96026991289794
t41	10.7979237342332	5.73653942719085
t44	5.01375380610285	1.77908001523634
t45	5.2941873330981	1.79392936533688
t47	5.1040869745734	1.97443267607424
t48	16.031436017763	11.9759674182181
t49	10.0064345962044	1.23480871803185
t50	1.86464723418152	0.805151081352495
t51	10.8486595004886	7.83342587381391
t55	3.80477157279105	2.9830402640034
t56	4.76835277603773	4.76835277603773
t57	5.66200864381261	0.855510522019056
t58	3.82457605509966	3.82457605509966
t61	1.39373965381334	0.0462789734049345
t66	2.12115007370981	0.995923834036013
t68	6.82884634070041	2.74229599818788
t70	2.55906253001543	0.874299558306877
t71	3.0079356481173	3.0079356481173
t72	10.626815658819	0.142290340947621
t73	5.93843870816046	3.08843387437535
t74	4.04364509227606	4.04364509227606
t75	0.517196985365409	0.517196985365409
t77	4.77530929991846	2.06197474894242
t78	4.68584864329437	4.68584864329437
t80	8.69338423138518	4.5086645301905
t81	1.31887559042809	1.31887559042809
t82	1.85820549026682	0.569524510051973
t83	0.174724084777676	0.174724084777676
t84	4.61114627412444	4.09980444411576
t86	1.93031438003112	1.93031438003112
t88	1.04995891134388	0.770852952173342
t89	1.15924798675334	1.15924798675334
t90	2.4531022860841	2.4531022860841
t92	5.17186922150324	1.36373337963513
t93	4.856661810017	3.52322162172504
t94	0.805315874980444	0.805315874980444
t95	2.57760808921617	2.57760808921617
t98	7.71413349861321	7.45171687880573
t101	5.20321632951349	0.0234036385755303
t102	3.68064950508339	3.68064950508339
t103	1.15586094930331	1.15586094930331
t106	0.0708602148983033	0.0277638489226391
t110	2.22478022047825	2.22478022047825
t112	0.266572258798707	0.266572258798707
t113	3.76410986010619	2.28132828085386
t116	5.33944224381141	3.68337848015383
t119	10.3906954588735	1.25281448688573
t120	9.81728071778154	3.11609326637923
t121	9.73497872661428	5.48864381696928
t122	7.77017004548822	0.890558656100218
t123	3.97728921772178	2.46292057024512
t126	5.85517928313893	4.36918525451292
t127	1.90294634529581	1.15982747615507
t128	1.37378649644758	1.37378649644758
t129	1.24134372265594	1.24134372265594
t132	2.46231261451857	0.278906594469561
t144	1.10491570561301	1.10491570561301
t147	4.07753932200808	4.07753932200808
t148	2.05198993289064	1.56443214474398
t149	2.17119292823945	2.17119292823945
t150	3.03247617192671	3.03247617192671
t152	1.39032221514956	1.28502953486715
t154	2.5227075520488	0.261583585262507
t155	0.508447898502993	0.508447898502993
t156	1.9873570551529	0.346200588084276
t158	4.0402428000521	0.128406261693289
t164	0.145854028898786	0.145854028898786
t165	0.788542898614086	0.788542898614086
t168	7.60324766088504	3.69758379097939
t169	0.921795713080918	0.253872378094947
t170	6.84085003955741	0.214556082639046
t171	6.4574451576193	3.51292151681602
t172	2.61911011261164	2.61911011261164
t175	7.26177433405521	7.26177433405521
t176	7.64100286968701	4.11453991532301
t177	5.4984339048743	1.33663585724113
t178	1.33704731521354	1.33704731521354
t181	0.799719498827947	0.799719498827947
t182	1.2266470671776	0.984858228614851
t184	0.207690939626541	0.0973882045064833
t185	1.55519390930111	1.55519390930111
t188	1.62995072669561	1.62995072669561
t190	1.1211784717404	0.650669197749039
t191	0.952372014469219	0.952372014469219
t192	0.189015754687247	0.189015754687247
t193	0.938584676929437	0.938584676929437
t194	0.0422161522020126	0.0422161522020126
t195	3.39381438827152	2.47493134457934
t196	0.616276961857146	0.616276961857146
t199	0.7061311510396	0.7061311510396
t201	0.850715743520677	0.850715743520677
t202	0.343689624195363	0.343689624195363
t203	4.46827809644681	2.72149968553937
t205	1.20610801633679	1.20610801633679
t206	0.446457920609504	0.446457920609504
t207	1.91956267946871	1.61916460281709
t214	7.16460197805931	2.03582728643058
t215	6.53008199298584	6.53008199298584
t216	2.81855871906109	2.81855871906109
t217	1.7093933009441	0.750914718619637
t222	1.97301689835029	1.97301689835029
t223	0.72640103128829	0.72640103128829
t226	0.22142787876151	0.22142787876151
t227	1.37515794909286	0.102754812318747
t229	3.6207216684674	1.08658873579397
t232	1.08838251522153	1.08838251522153
t236	0.0268766767938331	0.0268766767938331
t238	0.398874866991854	0.398874866991854
t239	0.608181181679097	0.608181181679097
t240	0.597715947982994	0.597715947982994
t242	0.032768668347412	0.032768668347412
t244	1.32428951623333	0.444146786777406
t245	0.551571093478156	0.551571093478156
t246	2.45631168875971	0.512263707291886
t247	1.38243084332825	1.38243084332825
t249	1.4678439408564	0.210771292124406
t252	0.30715387488975	0.30715387488975
t253	0.716286150852952	0.716286150852952
t254	6.1738632808645	4.69878140401288
t255	1.46512004336074	1.36502966888912
t256	0.958103980351925	0.958103980351925
t258	4.2936681191684	1.1227034973463
t259	3.68854683084359	0.581223407920621
t260	2.94914695273955	2.94914695273955
t261	0.647740805805345	0.647740805805345
t273	1.98633362318807	0.851852019675526
t274	0.199875007615155	0.199875007615155
t277	3.7576191266071	3.00468818740956
t279	0.111994278757265	0.111994278757265
t280	1.09246528665881	0.534055535827861
t282	0.479423337439993	0.479423337439993
t283	0.598334791219976	0.598334791219976
t284	0.963037527451071	0.963037527451071
t288	0.584893978185693	0.584893978185693
t290	0.585087471503307	0.585087471503307
