taxon	max_age	min_age
t1	16.6109134641423	9.88552949229413
t2	14.5846109679375	6.40213644744581
t3	12.2069858011885	4.54050479917101
t4	8.81711235235122	8.81711235235122
t5	15.0303979941447	11.1424540925422
t6	13.5010865668082	11.8648410786191
t7	11.6568394266475	11.453512546647
t9	3.51350785403326	0
t10	5.42588845982928	3.47281268798837
t11	5.83149883721566	5.72027457703447
t14	7.90461532137725	2.80298743532222
t15	8.54611295248406	6.70357198427456
t17	5.86902937994086	0
t18	11.4075105199996	11.4075105199996
t19	7.46826758581238	7.46826758581238
t20	2.61911468270947	0
t22	5.42755645983256	0
t25	7.11509639835941	0
t26	11.8259161166901	10.9229161335312
t27	4.7023142249348	0
t30	2.91946329953551	0
t35	4.79093312258857	0
t36	3.17573439147658	0
t40	2.59278947074542	2.59278947074542
t42	2.15987307006551	1.76424179308006
t43	1.46747826084351	0
t46	0.807347133846118	0
t47	0.227674071673327	0
t50	0.243984883989615	0
