taxon	fad	lad
t1	7.88929435435009	5.9174114909142
t2	9.80838727553699	7.13732506506727
t3	9.42749819401839	5.55412776474173
t4	2.08754333849092	1.28383318027508
t7	5.21007733035589	5.0201138767679
t8	5.33436397966275	1.91457265278668
t9	4.09417514411336	3.3140429849883
t10	2.74213040926659	2.48161494828926
t11	3.18405035360601	3.18405035360601
t12	2.16111431046384	0.217109238432831
t13	5.54874511648003	5.54874511648003
t14	3.71657493154551	2.49978751700905
t15	1.27608236758261	0.868952331545195
t17	1.23795718449024	0.990180849399238
t22	0.636342578486422	0.636342578486422
t25	0.823751233689949	0.823751233689949
t26	2.99654027334792	2.99654027334792
