taxon	int_1	int_2
t1	1	1
t2	1	1
t4	0	1
t5	0	1
t6	1	1
t7	1	0
t8	0	1
t10	0	1
t11	0	1
t12	1	0
t13	1	0
t14	1	0
t16	0	1
t17	1	1
t18	1	0
t19	1	0
t20	1	1
t24	1	0
t26	1	0
t27	1	0
t28	1	0
t30	1	0
t32	1	0
t36	1	0
t37	1	0
t38	1	1
t39	1	0
t40	1	0
t41	1	0
t42	1	0
t43	1	0
t44	1	0
t45	1	0
t46	1	0
t50	1	1
t51	1	1
t52	1	0
t54	1	1
t55	1	0
t56	1	0
t58	1	0
t59	1	0
t61	1	0
t64	1	0
t65	1	0
t67	1	0
t68	1	0
t69	1	0
t70	1	0
t71	1	0
t73	1	0
t74	1	0
t75	1	0
t76	1	0
t77	1	0
t78	1	0
t79	1	0
t80	1	0
t81	1	0
t82	1	0
t83	1	0
t84	1	0
t87	1	0
t89	1	0
t90	1	0
t91	1	0
t92	1	0
t93	1	0
t95	1	0
t96	1	0
t98	1	0
t99	1	0
t101	1	0
t102	1	0
t103	1	0
t104	1	0
t105	1	0
t106	1	0
t107	1	1
t109	1	0
t113	1	0
t117	1	0
t118	1	0
t119	1	0
t120	1	0
t123	1	0
t124	1	0
t125	1	0
t126	1	0
t127	1	0
t128	1	0
t129	1	0
t130	1	0
t133	1	0
t134	1	0
t135	1	0
t136	1	0
t137	1	0
t138	1	0
t139	1	0
t140	1	0
t141	1	0
t142	1	0
t143	1	0
t144	1	0
t145	1	0
t146	1	0
t147	1	0
t148	1	0
t150	1	0
t151	1	0
t152	1	0
t153	1	0
t154	1	0
t156	1	0
t158	1	0
t159	1	0
t160	1	0
t161	1	0
t162	1	0
t164	1	0
t165	1	0
t167	1	0
t170	1	0
t171	1	0
t172	1	0
t177	1	0
t178	1	0
t180	1	0
t181	1	0
t182	1	0
t183	1	0
t184	1	0
t185	1	0
t186	1	0
t188	1	0
t190	0	1
t192	1	0
t193	1	0
t195	1	0
t196	1	0
t197	1	0
t198	1	0
t201	1	0
t202	1	0
t204	1	0
t206	1	0
t208	1	0
t213	1	0
t214	1	0
t215	1	0
t219	1	0
t220	1	0
t222	1	0
t223	1	0
t224	1	0
t226	1	0
t227	1	0
t228	1	0
t229	1	0
t231	1	0
t232	1	0
t233	1	0
t235	1	0
t236	1	0
t237	1	0
t238	1	0
t241	1	0
t242	1	0
t243	1	0
t244	1	0
t248	1	0
t249	1	0
t251	1	0
t252	1	0
t256	1	0
t260	1	0
t261	1	0
t262	1	0
t263	1	0
t264	1	0
t269	1	0
t270	1	0
t271	1	0
t273	1	0
t274	1	0
t275	1	0
t278	1	0
t279	1	0
t283	1	0
t285	1	0
t286	1	0
t287	1	0
t290	1	1
t291	1	0
t292	1	0
t293	1	0
t294	1	0
t295	1	0
t296	1	0
t298	1	0
t299	1	0
t300	1	0
t301	1	0
t302	1	0
t312	1	0
t313	1	0
t314	1	0
t315	1	0
t316	1	0
t324	1	0
t327	1	0
t328	1	0
t329	1	0
t330	1	0
t336	1	0
t337	1	0
t339	1	0
t341	1	0
t342	1	0
t344	1	0
t345	1	0
t349	1	0
t351	1	0
t355	1	0
t357	1	0
t360	1	0
t363	1	0
t365	1	0
t366	1	0
t369	1	0
t371	1	0
t372	1	0
t374	1	0
t376	1	0
t379	1	0
t380	1	0
t381	1	1
t383	1	0
t384	1	0
t385	1	0
t388	1	0
t389	1	0
t390	1	0
t391	1	0
t393	1	0
t395	1	0
t399	1	0
t401	1	0
t402	1	0
t407	1	0
t411	1	0
t412	1	0
t415	1	0
t416	1	0
t420	1	0
t421	1	0
t423	1	0
t427	1	0
t428	1	0
t430	1	0
t434	1	0
t435	1	0
t436	1	0
t437	1	0
t444	1	0
t446	1	0
t447	1	0
t448	1	0
t449	1	0
t450	1	0
t453	1	0
t456	1	0
t457	1	0
t460	1	0
t461	1	0
t462	1	0
t463	1	0
t465	1	0
t468	1	0
t469	1	0
t470	1	0
t472	1	0
t473	1	0
t474	1	0
t476	1	0
t477	1	0
t479	1	0
t480	1	0
t481	1	0
t483	1	0
t484	1	0
t485	1	0
t486	1	0
t489	1	0
t494	1	0
t500	1	0
t501	1	0
t503	1	0
t504	1	0
t505	1	0
t507	1	0
t508	1	0
t509	1	0
t510	1	0
t511	1	0
t513	1	0
t514	1	0
t515	1	0
t518	1	0
t520	1	0
t521	1	0
t522	1	0
t523	1	0
t524	1	0
t525	1	0
t529	1	0
t534	1	0
t537	1	0
t538	1	0
t539	1	0
t542	1	0
t543	1	0
t546	1	0
t548	1	0
t549	1	0
t550	1	0
t553	1	0
t555	1	0
t557	1	0
t558	1	0
t559	1	0
t560	1	0
t561	1	0
t564	1	0
t565	1	0
t566	1	0
t569	1	0
t570	1	0
t574	1	0
t577	1	0
t582	1	0
t584	1	0
t591	1	0
t592	1	0
t593	1	0
t594	1	0
t596	1	0
t597	1	0
t598	1	0
t602	1	0
t605	1	0
t606	1	0
t608	1	0
t615	1	0
