taxon	max_age	min_age
t2	26.583158602028	25.7165088964104
t3	28.5284693124816	28.0158258855145
t5	24.0686737492715	22.3360185459912
t7	19.5928293903723	0
t9	10.5143139353378	0
t10	7.88482543816338	7.88482543816338
t11	4.1481028613365	0
t13	2.77184592204501	2.21467971496718
t14	2.58714157580308	0
t17	0.619496450442973	0
t21	1.10000290170171	0
t23	1.78105029254158	0
t25	0.334979615636559	0
t26	0.749973844589906	0
t28	0.22042708766212	0
t32	1.0561002153326	1.0561002153326
t34	0.2287801868024	0
t35	0.331183157258362	0
