taxon	min_age	max_age	status
t1	27.3756477378774	30	extinct
t1	21.6531454583164	27.3756477378774	extinct
t2	21.6531454583164	27.3756477378774	extinct
t3	11.0891757661011	16.5075082804542	extinct
t3	5.483041691361	11.0891757661011	extinct
t5	16.5075082804542	21.6531454583164	extinct
t6	11.0891757661011	16.5075082804542	extant
t6	0	5.483041691361	extant
t7	11.0891757661011	16.5075082804542	extant
t7	0	5.483041691361	extant
t9	5.483041691361	11.0891757661011	extant
t9	0	5.483041691361	extant
t11	5.483041691361	11.0891757661011	extinct
t12	5.483041691361	11.0891757661011	extant
t12	0	5.483041691361	extant
t13	0	5.483041691361	extant
t16	5.483041691361	11.0891757661011	extant
t16	0	5.483041691361	extant
t22	0	5.483041691361	extant
t23	0	5.483041691361	extant
t24	0	5.483041691361	extant
t25	0	5.483041691361	extant
t32	5.483041691361	11.0891757661011	extant
t32	0	5.483041691361	extant
t33	0	5.483041691361	extant
t37	0	5.483041691361	extant
t43	5.483041691361	11.0891757661011	extant
t43	0	5.483041691361	extant
t49	0	5.483041691361	extant
t51	5.483041691361	11.0891757661011	extant
t51	0	5.483041691361	extant
t52	5.483041691361	11.0891757661011	extant
t52	0	5.483041691361	extant
t54	0	5.483041691361	extant
t55	0	5.483041691361	extant
t58	0	5.483041691361	extant
t59	0	5.483041691361	extant
t61	0	5.483041691361	extant
t62	0	5.483041691361	extant
t66	0	5.483041691361	extant
t67	0	5.483041691361	extant
t68	0	5.483041691361	extant
t69	0	5.483041691361	extant
t73	0	5.483041691361	extant
t74	0	5.483041691361	extant
t75	0	5.483041691361	extant
t76	0	5.483041691361	extant
t81	0	5.483041691361	extant
t83	0	5.483041691361	extant
t84	0	5.483041691361	extinct
t87	0	5.483041691361	extinct
t92	0	5.483041691361	extant
t94	0	5.483041691361	extant
t95	0	5.483041691361	extant
t100	0	5.483041691361	extant
