taxon	max_age	min_age
t1	8.80706160309749	0
t2	9.23332332943877	9.23332332943877
t3	5.30634996495243	0
t5	1.82329856197727	0
t7	5.11558169357822	0
t8	3.01806423982328	0
t12	5.21095226402184	0
t17	5.15322850792311	0
t18	4.56653415480618	4.56653415480618
t19	3.92592387874033	0
t21	2.11028642586732	0
t22	0.813054985336585	0
t23	0.116212719264084	0
t25	0.393349132681424	0
t26	3.42937059294228	0
t29	4.54326694782114	0
t30	0.486562327791157	0
t32	0.400539727401368	0
t33	0.146124761135033	0
t35	3.17133378973976	0
