taxon	fad	lad
t1	8.38542010207079	8.38542010207079
t3	4.68334744290209	4.68334744290209
t4	0.183883157747228	0.183883157747228
t5	7.70279220673294	7.70279220673294
t8	1.27659187237782	1.27659187237782
t9	6.498971443002	6.498971443002
t10	4.23756519005004	4.23756519005004
t11	3.0645702939921	0.0756319731412578
t20	1.91520999081737	1.91520999081737
t36	3.77582405946441	3.77582405946441
t37	5.04962630794267	2.02117581382599
t39	3.1210840618505	3.1210840618505
t45	0.301752029057042	0.301752029057042
t46	2.60379194102077	2.60379194102077
t48	1.00484176648912	1.00484176648912
