taxon	fad	lad
t1	27.9655675009012	16.4231986312206
t2	22.8399330279486	17.7911667287385
t3	21.9243309392111	14.6379814505951
t4	17.8902314779289	6.25024779056634
t5	16.536437284849	11.4108808967047
t6	15.3996888717209	8.36867345839121
t8	23.1739783356403	18.1347054555939
t9	20.9849795955314	9.59086539143382
t10	14.5832959224316	14.5832959224316
t11	15.0080518825945	15.0080518825945
t12	17.948087596221	7.16082497810265
t13	21.9951191595833	21.713948575089
t14	21.1823919125289	11.1892627136011
t15	11.4437815967609	5.78197504033694
t17	14.6228658274713	14.6228658274713
t18	13.341766680696	12.2929759182622
t19	10.8291425633328	10.8291425633328
t21	10.2196828655983	10.0215923525943
t22	12.8173558056883	8.90573427285844
t24	12.7043909566731	7.96791853974837
t25	7.79831768337055	1.04355583981699
t27	5.59514593931661	0.699427791862036
t28	17.1215735929076	11.04064059927
t29	14.3008722076026	12.6397486308933
t30	9.34792762319496	9.34792762319496
t32	5.62870995629247	5.0181561419614
t34	13.0830042253761	13.0830042253761
t35	10.322500991126	5.25422300332026
t36	8.62702189425273	8.62702189425273
t38	16.1302625673605	14.1575446125833
t39	14.965866720489	10.9774999231505
t40	13.5239904862905	6.32527889082149
t41	13.3914822605038	13.3914822605038
t42	15.7661196649398	11.7982140023866
t43	15.1777760138348	15.1351109282871
t44	8.29628116954969	7.37132168063813
t46	17.9665066670112	9.79308175501993
t47	9.7463200437794	7.73075112719854
t48	8.93467746598679	8.78670946152914
t49	17.0135706258632	13.7913491069763
t50	16.6543995254017	10.7817423453137
t51	15.6236253978798	14.9102665807234
t52	14.9661310953092	13.9028165354397
t53	13.3175396594315	12.5367948809735
t56	16.2550879472862	10.0949727259311
t57	16.1029916020119	0.3338204179095
t58	5.6087292392323	5.6087292392323
t61	0.944469236340247	0.299414890389762
t62	5.06205818401635	3.73720924418096
t66	10.2227986397032	10.035397075988
t67	8.66374682147265	2.51166321684728
t68	8.3903642388244	2.56029577174253
t69	13.3290218993516	13.2444469410421
t70	10.6978140147999	10.6978140147999
t71	9.20745230999675	4.18819227594961
t72	9.83444099976773	3.75457997538928
t73	6.67860916079053	0.802548694020015
t74	9.78413171859646	9.78413171859646
t75	5.45988632649564	5.3163253346403
