taxon	fad_max	fad_min	lad_max	lad_min
t1	30	20	30	20
t2	30	20	30	20
t3	30	20	30	20
t5	30	20	20	10
t6	30	20	30	20
t8	30	20	20	10
t9	20	10	20	10
t10	20	10	20	10
t11	30	20	10	0
t13	30	20	30	20
t17	10	0	0	-Inf
t19	10	0	0	-Inf
t20	10	0	0	-Inf
t21	30	20	0	-Inf
t22	10	0	0	-Inf
t23	10	0	10	0
t25	10	0	0	-Inf
t26	10	0	10	0
t27	10	0	0	-Inf
t28	10	0	0	-Inf
t29	10	0	0	-Inf
t30	10	0	0	-Inf
t31	10	0	0	-Inf
t32	20	10	10	0
t34	10	0	0	-Inf
t35	10	0	10	0
t37	10	0	0	-Inf
t38	10	0	0	-Inf
t40	10	0	0	-Inf
t42	10	0	0	-Inf
t43	10	0	0	-Inf
t49	10	0	10	0
t55	10	0	0	-Inf
t56	10	0	0	-Inf
t57	10	0	0	-Inf
t58	10	0	10	0
t59	10	0	0	-Inf
t60	10	0	0	-Inf
t62	10	0	0	-Inf
t63	10	0	0	-Inf
t65	10	0	0	-Inf
t66	10	0	0	-Inf
t67	10	0	0	-Inf
t69	10	0	0	-Inf
t70	10	0	0	-Inf
t71	10	0	0	-Inf
t72	10	0	0	-Inf
t73	10	0	0	-Inf
t74	10	0	0	-Inf
t79	10	0	10	0
t81	10	0	0	-Inf
t82	10	0	0	-Inf
t83	10	0	0	-Inf
t85	10	0	0	-Inf
t87	10	0	0	-Inf
t89	10	0	0	-Inf
t90	10	0	0	-Inf
t98	10	0	10	0
t99	10	0	0	-Inf
t101	10	0	0	-Inf
t103	10	0	0	-Inf
t105	10	0	0	-Inf
t108	10	0	0	-Inf
t109	10	0	0	-Inf
t110	10	0	0	-Inf
t111	10	0	0	-Inf
t113	10	0	0	-Inf
t114	10	0	0	-Inf
t115	10	0	0	-Inf
t120	10	0	0	-Inf
t121	10	0	10	0
t122	10	0	0	-Inf
t123	10	0	0	-Inf
t127	10	0	0	-Inf
t129	10	0	0	-Inf
t131	10	0	0	-Inf
t132	10	0	0	-Inf
t133	10	0	0	-Inf
t135	10	0	0	-Inf
t136	10	0	0	-Inf
t140	10	0	0	-Inf
t141	10	0	0	-Inf
t150	10	0	0	-Inf
t151	10	0	0	-Inf
t154	10	0	0	-Inf
t155	10	0	0	-Inf
t156	10	0	0	-Inf
t157	10	0	0	-Inf
t158	10	0	0	-Inf
t161	10	0	0	-Inf
t164	10	0	0	-Inf
t165	10	0	0	-Inf
t166	10	0	0	-Inf
t167	10	0	0	-Inf
t168	10	0	0	-Inf
t172	10	0	0	-Inf
t174	10	0	0	-Inf
t175	10	0	0	-Inf
t177	10	0	0	-Inf
t180	10	0	0	-Inf
t181	10	0	0	-Inf
t183	10	0	0	-Inf
t186	10	0	0	-Inf
t190	10	0	0	-Inf
t193	10	0	0	-Inf
t198	10	0	0	-Inf
t202	10	0	10	0
t203	10	0	0	-Inf
t206	10	0	0	-Inf
t207	10	0	0	-Inf
t209	10	0	0	-Inf
t210	10	0	0	-Inf
t211	10	0	0	-Inf
t212	10	0	0	-Inf
t216	10	0	0	-Inf
t217	10	0	0	-Inf
t218	10	0	0	-Inf
t226	10	0	0	-Inf
t227	10	0	0	-Inf
t230	10	0	0	-Inf
t234	10	0	0	-Inf
t235	10	0	0	-Inf
t238	10	0	10	0
t239	10	0	0	-Inf
t240	10	0	0	-Inf
t248	10	0	0	-Inf
t249	10	0	0	-Inf
t251	10	0	0	-Inf
t253	10	0	0	-Inf
