taxon	fad_max	fad_min	lad_max	lad_min
t1	30	20	30	20
t2	30	20	30	20
t3	30	20	30	20
t4	30	20	30	20
t6	30	20	30	20
t7	30	20	0	-Inf
t8	30	20	30	20
t9	30	20	30	20
t11	30	20	30	20
t13	20	10	0	-Inf
t14	30	20	30	20
t15	30	20	30	20
t19	10	0	0	-Inf
t20	10	0	0	-Inf
t21	10	0	0	-Inf
t23	30	20	30	20
t25	20	10	0	-Inf
t27	20	10	0	-Inf
t28	30	20	30	20
t30	10	0	0	-Inf
t31	10	0	10	0
t35	10	0	0	-Inf
t36	10	0	0	-Inf
t39	10	0	0	-Inf
t47	10	0	0	-Inf
t49	10	0	0	-Inf
t50	10	0	0	-Inf
t51	10	0	0	-Inf
t52	10	0	0	-Inf
t53	20	10	20	10
t55	20	10	0	-Inf
t56	10	0	0	-Inf
t58	10	0	0	-Inf
t61	30	20	20	10
t62	10	0	10	0
t63	10	0	0	-Inf
t66	30	20	20	10
t68	10	0	10	0
t69	10	0	0	-Inf
t70	10	0	10	0
t71	10	0	0	-Inf
t72	10	0	10	0
t73	10	0	10	0
t78	10	0	0	-Inf
t81	10	0	10	0
t89	10	0	0	-Inf
t90	10	0	0	-Inf
t91	10	0	0	-Inf
t95	10	0	0	-Inf
t96	10	0	10	0
t101	10	0	0	-Inf
t102	10	0	0	-Inf
t104	10	0	0	-Inf
t106	10	0	0	-Inf
t107	10	0	0	-Inf
t108	10	0	0	-Inf
t110	10	0	0	-Inf
t111	10	0	0	-Inf
t113	10	0	0	-Inf
t114	10	0	0	-Inf
t120	10	0	0	-Inf
t122	10	0	0	-Inf
t123	30	20	20	10
t124	30	20	20	10
t127	10	0	0	-Inf
t129	30	20	30	20
t130	20	10	20	10
t131	30	20	30	20
t132	10	0	10	0
t133	10	0	0	-Inf
t134	10	0	0	-Inf
t135	10	0	10	0
t136	10	0	0	-Inf
t137	10	0	0	-Inf
t139	10	0	10	0
t140	10	0	0	-Inf
t142	10	0	0	-Inf
t143	10	0	10	0
t144	10	0	0	-Inf
t145	10	0	0	-Inf
t146	10	0	0	-Inf
t148	10	0	0	-Inf
t149	10	0	0	-Inf
t156	10	0	0	-Inf
t157	10	0	0	-Inf
t158	10	0	0	-Inf
t159	10	0	0	-Inf
t161	10	0	0	-Inf
t162	10	0	0	-Inf
t164	10	0	10	0
t167	10	0	0	-Inf
t169	10	0	0	-Inf
t170	10	0	0	-Inf
t171	10	0	0	-Inf
t173	10	0	0	-Inf
t174	10	0	0	-Inf
t175	10	0	0	-Inf
t176	10	0	0	-Inf
t179	10	0	0	-Inf
t180	10	0	0	-Inf
t183	10	0	0	-Inf
t184	10	0	0	-Inf
t185	10	0	0	-Inf
t186	10	0	0	-Inf
t188	10	0	0	-Inf
t190	10	0	0	-Inf
t194	10	0	0	-Inf
t195	10	0	0	-Inf
t203	10	0	0	-Inf
t206	20	10	20	10
t207	20	10	10	0
t209	10	0	0	-Inf
t210	10	0	10	0
t211	10	0	10	0
t212	10	0	0	-Inf
t213	10	0	0	-Inf
t214	10	0	10	0
t215	10	0	0	-Inf
t219	10	0	0	-Inf
t220	10	0	0	-Inf
t221	10	0	0	-Inf
t226	10	0	0	-Inf
t228	10	0	0	-Inf
t230	10	0	0	-Inf
t231	10	0	0	-Inf
t234	10	0	0	-Inf
t237	10	0	0	-Inf
t239	10	0	0	-Inf
t240	10	0	10	0
t241	10	0	0	-Inf
t242	10	0	0	-Inf
t243	10	0	0	-Inf
t248	10	0	0	-Inf
t249	10	0	0	-Inf
t250	10	0	0	-Inf
t251	10	0	10	0
t253	10	0	0	-Inf
t255	10	0	0	-Inf
t263	10	0	0	-Inf
t264	10	0	10	0
t268	10	0	0	-Inf
t271	10	0	0	-Inf
t272	10	0	0	-Inf
t276	10	0	0	-Inf
t282	10	0	0	-Inf
t285	10	0	0	-Inf
t286	10	0	0	-Inf
t287	10	0	0	-Inf
t290	10	0	0	-Inf
t291	10	0	0	-Inf
t292	10	0	0	-Inf
t294	10	0	0	-Inf
t297	10	0	0	-Inf
t299	20	10	20	10
t304	10	0	0	-Inf
t305	10	0	10	0
t306	10	0	10	0
t309	10	0	0	-Inf
t312	10	0	0	-Inf
t314	10	0	0	-Inf
t315	10	0	0	-Inf
t317	10	0	0	-Inf
t318	10	0	0	-Inf
t319	10	0	0	-Inf
t322	10	0	10	0
t324	10	0	0	-Inf
t328	10	0	0	-Inf
t330	10	0	0	-Inf
t333	10	0	0	-Inf
t334	10	0	0	-Inf
t335	10	0	0	-Inf
t336	10	0	0	-Inf
t339	10	0	0	-Inf
t343	10	0	0	-Inf
t344	10	0	0	-Inf
t345	10	0	0	-Inf
t346	10	0	0	-Inf
t347	10	0	0	-Inf
t350	10	0	0	-Inf
t352	10	0	0	-Inf
t355	10	0	0	-Inf
t358	10	0	0	-Inf
t361	10	0	0	-Inf
t363	10	0	0	-Inf
t364	10	0	0	-Inf
t365	10	0	0	-Inf
t367	10	0	0	-Inf
t369	10	0	0	-Inf
t370	10	0	0	-Inf
t371	10	0	0	-Inf
t372	10	0	0	-Inf
t374	10	0	0	-Inf
t383	10	0	0	-Inf
t384	10	0	10	0
t385	10	0	0	-Inf
t390	10	0	0	-Inf
t391	10	0	10	0
t392	10	0	0	-Inf
t394	10	0	0	-Inf
t395	10	0	10	0
t403	10	0	0	-Inf
