taxon	fad_max	fad_min	lad_max	lad_min
t1	30	20	30	20
t2	30	20	30	20
t4	30	20	30	20
t5	30	20	30	20
t7	30	20	20	10
t9	30	20	20	10
t10	30	20	20	10
t11	30	20	10	0
t13	30	20	0	-Inf
t15	30	20	30	20
t16	30	20	30	20
t19	20	10	20	10
t21	30	20	30	20
t23	20	10	20	10
t24	20	10	20	10
t25	30	20	30	20
t29	10	0	0	-Inf
t30	30	20	30	20
t31	10	0	0	-Inf
t32	10	0	0	-Inf
t33	30	20	30	20
t34	30	20	30	20
t35	30	20	30	20
t37	30	20	30	20
t39	30	20	30	20
t40	30	20	30	20
t41	20	10	20	10
t42	10	0	0	-Inf
t43	20	10	20	10
t44	10	0	0	-Inf
t45	30	20	20	10
t47	30	20	0	-Inf
t49	10	0	0	-Inf
t50	10	0	0	-Inf
t51	10	0	0	-Inf
t52	30	20	20	10
t53	30	20	20	10
t55	30	20	30	20
t57	30	20	30	20
t58	20	10	20	10
t59	30	20	20	10
t61	30	20	20	10
t62	30	20	20	10
t64	20	10	20	10
t65	10	0	0	-Inf
t66	10	0	0	-Inf
t67	10	0	0	-Inf
t69	10	0	0	-Inf
t70	10	0	10	0
t74	20	10	20	10
t76	20	10	20	10
t78	10	0	0	-Inf
t79	10	0	0	-Inf
t80	10	0	0	-Inf
t81	10	0	0	-Inf
t83	10	0	0	-Inf
t85	10	0	0	-Inf
t86	10	0	0	-Inf
t91	30	20	30	20
t94	20	10	0	-Inf
t95	10	0	0	-Inf
t96	10	0	0	-Inf
t97	20	10	20	10
t100	30	20	30	20
t101	20	10	20	10
t102	10	0	10	0
t103	10	0	0	-Inf
t105	10	0	0	-Inf
t106	10	0	0	-Inf
t107	10	0	0	-Inf
t110	10	0	0	-Inf
t113	10	0	0	-Inf
t117	20	10	0	-Inf
t118	20	10	20	10
t121	10	0	0	-Inf
t122	10	0	0	-Inf
t123	10	0	0	-Inf
t124	10	0	0	-Inf
t127	20	10	0	-Inf
t129	30	20	30	20
t133	10	0	0	-Inf
t136	10	0	0	-Inf
t137	10	0	10	0
t138	10	0	0	-Inf
t140	10	0	0	-Inf
t141	10	0	0	-Inf
t144	20	10	0	-Inf
t145	10	0	0	-Inf
t146	10	0	0	-Inf
t147	10	0	0	-Inf
t149	10	0	0	-Inf
t150	10	0	0	-Inf
t153	10	0	0	-Inf
t157	10	0	0	-Inf
t158	10	0	0	-Inf
t159	10	0	0	-Inf
t160	10	0	0	-Inf
t161	10	0	0	-Inf
t166	10	0	0	-Inf
t169	10	0	10	0
t176	10	0	10	0
t177	10	0	0	-Inf
t178	10	0	0	-Inf
t180	10	0	0	-Inf
t182	10	0	0	-Inf
t183	10	0	0	-Inf
t184	10	0	0	-Inf
t185	10	0	0	-Inf
t191	10	0	0	-Inf
t192	10	0	10	0
t194	10	0	0	-Inf
t195	10	0	0	-Inf
t200	10	0	10	0
t201	10	0	10	0
t204	10	0	0	-Inf
t206	10	0	0	-Inf
t209	10	0	0	-Inf
t210	10	0	10	0
t213	10	0	10	0
t214	10	0	0	-Inf
t215	10	0	0	-Inf
t216	10	0	0	-Inf
t221	10	0	10	0
t222	10	0	0	-Inf
t223	10	0	10	0
t224	10	0	10	0
t225	10	0	0	-Inf
t228	20	10	20	10
t229	10	0	0	-Inf
t230	10	0	10	0
t231	10	0	0	-Inf
t232	10	0	0	-Inf
t235	10	0	0	-Inf
t237	10	0	0	-Inf
t238	10	0	0	-Inf
t240	10	0	0	-Inf
t242	10	0	0	-Inf
t243	10	0	0	-Inf
t244	10	0	0	-Inf
t245	10	0	0	-Inf
t246	10	0	0	-Inf
t247	10	0	0	-Inf
t249	10	0	0	-Inf
t250	10	0	0	-Inf
t251	10	0	0	-Inf
t252	10	0	10	0
t253	10	0	0	-Inf
t257	10	0	0	-Inf
t258	10	0	0	-Inf
t259	10	0	0	-Inf
t261	10	0	0	-Inf
t263	10	0	0	-Inf
t264	10	0	0	-Inf
t265	10	0	0	-Inf
t266	10	0	0	-Inf
t268	10	0	0	-Inf
t272	10	0	0	-Inf
t274	10	0	10	0
t275	10	0	0	-Inf
t276	10	0	0	-Inf
t278	10	0	0	-Inf
t280	10	0	0	-Inf
t281	10	0	0	-Inf
t282	10	0	0	-Inf
t283	10	0	0	-Inf
t287	10	0	0	-Inf
t288	10	0	0	-Inf
t292	10	0	0	-Inf
t293	10	0	10	0
t296	10	0	0	-Inf
t298	10	0	0	-Inf
t299	10	0	0	-Inf
t301	10	0	0	-Inf
t302	10	0	0	-Inf
t306	10	0	10	0
t307	10	0	10	0
t309	10	0	0	-Inf
t310	10	0	0	-Inf
t311	10	0	0	-Inf
t312	10	0	0	-Inf
t315	10	0	0	-Inf
t319	10	0	0	-Inf
t320	10	0	0	-Inf
t321	10	0	0	-Inf
t322	10	0	0	-Inf
t323	10	0	0	-Inf
t324	10	0	0	-Inf
t328	10	0	0	-Inf
t329	10	0	0	-Inf
t331	10	0	0	-Inf
t332	10	0	0	-Inf
t335	10	0	0	-Inf
t337	10	0	0	-Inf
t339	10	0	0	-Inf
t340	10	0	0	-Inf
t341	10	0	0	-Inf
t342	10	0	0	-Inf
t343	10	0	0	-Inf
t346	10	0	0	-Inf
t347	10	0	0	-Inf
t354	10	0	0	-Inf
t355	10	0	0	-Inf
t358	10	0	0	-Inf
t360	10	0	0	-Inf
