   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 15 different moves in a random move schedule with 12 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
6900000     |       -21.9458   |              0   |       -21.9458   |   00:08:09   |   00:50:54   |
7000000     |       -22.4425   |              0   |       -22.4425   |   00:08:16   |   00:50:46   |
7100000     |       -21.7534   |              0   |       -21.7534   |   00:08:23   |   00:50:39   |
7200000     |       -18.9901   |              0   |       -18.9901   |   00:08:30   |   00:50:31   |
7300000     |       -20.8512   |              0   |       -20.8512   |   00:08:37   |   00:50:24   |
7400000     |       -14.3441   |              0   |       -14.3441   |   00:08:44   |   00:50:16   |
7500000     |       -17.3596   |              0   |       -17.3596   |   00:08:51   |   00:50:09   |
7600000     |       -19.0371   |              0   |       -19.0371   |   00:08:57   |   00:49:55   |
7700000     |       -20.6272   |              0   |       -20.6272   |   00:09:04   |   00:49:48   |
7800000     |       -21.7662   |              0   |       -21.7662   |   00:09:11   |   00:49:41   |
7900000     |       -28.2197   |              0   |       -28.2197   |   00:09:18   |   00:49:33   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
8000000     |       -14.8146   |              0   |       -14.8146   |   00:09:25   |   00:49:26   |
8100000     |       -22.6031   |              0   |       -22.6031   |   00:09:32   |   00:49:18   |
8200000     |       -14.7722   |              0   |       -14.7722   |   00:09:39   |   00:49:11   |
8300000     |       -16.3337   |              0   |       -16.3337   |   00:09:46   |   00:49:04   |
8400000     |        -18.195   |              0   |        -18.195   |   00:09:54   |   00:49:01   |
8500000     |       -12.6851   |              0   |       -12.6851   |   00:10:01   |   00:48:54   |
8600000     |       -20.2365   |              0   |       -20.2365   |   00:10:08   |   00:48:46   |
8700000     |       -25.2568   |              0   |       -25.2568   |   00:10:15   |   00:48:39   |
8800000     |       -26.0762   |              0   |       -26.0762   |   00:10:22   |   00:48:32   |
8900000     |       -13.1935   |              0   |       -13.1935   |   00:10:29   |   00:48:24   |
9000000     |       -17.4225   |              0   |       -17.4225   |   00:10:36   |   00:48:17   |
9100000     |       -19.4663   |              0   |       -19.4663   |   00:10:44   |   00:48:14   |
