   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 15 different moves in a random move schedule with 12 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
0           |       -71.0169   |              0   |       -71.0169   |   00:00:00   |   --:--:--   |
100000      |       -21.2774   |              0   |       -21.2774   |   00:00:06   |   --:--:--   |
200000      |        -22.816   |              0   |        -22.816   |   00:00:13   |   00:53:57   |
300000      |       -21.9363   |              0   |       -21.9363   |   00:00:19   |   00:52:27   |
400000      |       -15.8639   |              0   |       -15.8639   |   00:00:26   |   00:53:44   |
500000      |       -23.4319   |              0   |       -23.4319   |   00:00:32   |   00:52:48   |
600000      |       -23.0708   |              0   |       -23.0708   |   00:00:39   |   00:53:31   |
700000      |       -15.7137   |              0   |       -15.7137   |   00:00:46   |   00:53:59   |
800000      |       -31.8412   |              0   |       -31.8412   |   00:00:52   |   00:53:18   |
900000      |       -23.0933   |              0   |       -23.0933   |   00:00:59   |   00:53:38   |
1000000     |       -18.6429   |              0   |       -18.6429   |   00:01:05   |   00:53:05   |
1100000     |        -23.594   |              0   |        -23.594   |   00:01:12   |   00:53:20   |
1200000     |       -18.0037   |              0   |       -18.0037   |   00:01:18   |   00:52:52   |
1300000     |       -18.9993   |              0   |       -18.9993   |   00:01:25   |   00:53:04   |
1400000     |       -29.0447   |              0   |       -29.0447   |   00:01:32   |   00:53:13   |
1500000     |       -19.4012   |              0   |       -19.4012   |   00:01:38   |   00:52:48   |
1600000     |       -25.8128   |              0   |       -25.8128   |   00:01:45   |   00:52:56   |
1700000     |       -15.8394   |              0   |       -15.8394   |   00:01:51   |   00:52:33   |
1800000     |       -27.9625   |              0   |       -27.9625   |   00:01:58   |   00:52:39   |
1900000     |       -21.6091   |              0   |       -21.6091   |   00:02:04   |   00:52:19   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
2000000     |       -19.2147   |              0   |       -19.2147   |   00:02:11   |   00:52:24   |
2100000     |       -20.4725   |              0   |       -20.4725   |   00:02:18   |   00:52:27   |
2200000     |       -24.3131   |              0   |       -24.3131   |   00:02:24   |   00:52:08   |
2300000     |        -24.455   |              0   |        -24.455   |   00:02:31   |   00:52:11   |
2400000     |       -19.5737   |              0   |       -19.5737   |   00:02:37   |   00:51:53   |
2500000     |       -14.0988   |              0   |       -14.0988   |   00:02:44   |   00:51:56   |
2600000     |       -14.6642   |              0   |       -14.6642   |   00:02:51   |   00:51:57   |
2700000     |       -20.6241   |              0   |       -20.6241   |   00:02:57   |   00:51:40   |
2800000     |       -23.2195   |              0   |       -23.2195   |   00:03:04   |   00:51:41   |
2900000     |       -19.6864   |              0   |       -19.6864   |   00:03:10   |   00:51:25   |
