taxon	fad	lad
t1	9.0819148812443	6.528505152553
t2	6.09363753285269	6.09363753285269
t3	2.99896421441143	1.93370609298304
t5	2.13143768138139	0.559244631245218
t7	2.72304254492806	1.83230085404551
t8	3.47804931740879	3.47804931740879
t9	2.63288095785526	2.63288095785526
t10	2.72544281847582	2.72544281847582
t12	1.07393696989879	1.07393696989879
t14	0.813421312111656	0.813421312111656
t15	2.17217603801927	2.17217603801927
t16	0.374400555390306	0.374400555390306
t17	0.80894564756783	0.80894564756783
t26	2.62987734127944	2.62987734127944
t28	0.814318114911101	0.814318114911101
