taxon	fad	lad
t1	15.9813950012372	15.9813950012372
t2	11.0230635880266	6.12893784101681
t3	10.6780882050057	10.6780882050057
t4	5.83504505315805	1.52333041112201
t5	6.06665381458715	0.58813507924981
t6	6.57147947266287	4.64637959564314
t7	7.94097650440481	7.4829119924188
t8	3.55865257321861	3.55865257321861
t10	8.11945876476899	5.05387963586975
t11	7.97789366800859	5.36610626825065
t13	1.55232332811078	1.55232332811078
t14	5.11549779937959	4.82427899052745
t16	5.59958137576407	2.65891741152308
t20	3.12069201363336	1.17297496491067
