taxon	first_age	last_age
t1	14.8500785358567	11.5302838730791
t5	8.91115986770085	8.91115986770085
t6	14.5193388142313	14.2990077381689
t7	12.9154738100866	2.61358892982065
t8	10.1786552423009	10.1786552423009
t9	9.87146652070849	0
t10	10.3733456702353	8.48160926650673
t11	7.48763588115917	7.48763588115917
t12	7.69383441515611	0
t14	3.08995513767137	0
t15	0.0205925702441121	0
t16	0.0203222476580116	0
t17	1.0652934967243	0
t18	7.84758934542344	0
t19	8.03588271574157	6.13919749905194
t20	0.014716281665244	0
t21	1.18758448542066	1.18758448542066
t22	2.74829514716282	0
t24	2.05631189173002	2.05631189173002
t27	0.552056571266498	0
t28	2.32162317877431	0
t33	0.96760296222045	0
