Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
490000	-17.98012	0	-17.98012	0.192602	0.125965	0.241957	0.304186	0.132952	0.101253	1.55696	0.729082	1.29667
500000	-20.85627	0	-20.85627	0.0896929	0.241473	0.0902126	0.18679	0.215458	0.159765	2.54799	0.268444	0.403722
510000	-16.83588	0	-16.83588	0.0689084	0.114577	0.249437	0.27864	0.135676	0.0869736	1.53662	1.05425	1.48441
520000	-14.31195	0	-14.31195	0.197656	0.137075	0.128417	0.386482	0.0831865	0.0875144	2.66246	0.977355	0.540927
530000	-24.10627	0	-24.10627	0.365115	0.0965347	0.190221	0.223406	0.172043	0.151376	1.63154	2.51458	1.05676
540000	-22.78838	0	-22.78838	0.214988	0.163397	0.17972	0.199833	0.265684	0.193905	0.817928	1.16213	0.59907
550000	-20.37893	0	-20.37893	0.114114	0.17197	0.151896	0.11015	0.22117	0.111446	1.20801	0.811069	0.645677
560000	-18.13251	0	-18.13251	0.219576	0.181513	0.193657	0.391912	0.0682784	0.158484	4.52584	1.82036	2.33885
570000	-21.81226	0	-21.81226	0.156047	0.218685	0.137168	0.250647	0.125135	0.0848365	1.88331	0.358126	0.608805
580000	-17.8114	0	-17.8114	0.120954	0.19963	0.097318	0.33117	0.127256	0.0710004	2.07828	2.42522	1.2089
590000	-21.7563	0	-21.7563	0.099373	0.149016	0.288576	0.334754	0.0944296	0.141909	1.58753	0.784385	0.259709
600000	-15.2342	0	-15.2342	0.113562	0.157685	0.0926818	0.170014	0.101291	0.152503	1.03831	2.28305	1.68111
610000	-22.30554	0	-22.30554	0.138676	0.20372	0.151433	0.378571	0.0682078	0.139047	2.077	0.910623	1.22506
620000	-24.20989	0	-24.20989	0.0875126	0.388965	0.20995	0.149374	0.266024	0.144124	5.51501	2.0379	2.47664
630000	-19.76729	0	-19.76729	0.114632	0.36821	0.321194	0.132473	0.162465	0.108368	2.30989	1.9039	0.357233
640000	-16.2484	0	-16.2484	0.07398	0.100928	0.183039	0.332748	0.0511043	0.0603279	2.28501	1.91052	0.751537
650000	-19.22293	0	-19.22293	0.120197	0.190996	0.164543	0.197722	0.116977	0.21878	2.84277	2.48935	0.691542
660000	-16.14698	0	-16.14698	0.225068	0.186264	0.129431	0.233317	0.103835	0.0893163	2.03013	4.2709	0.711723
670000	-28.69848	0	-28.69848	0.159302	0.247543	0.137079	0.200146	0.177204	0.353075	2.31427	0.385398	1.13234
680000	-15.59596	0	-15.59596	0.160814	0.117657	0.177533	0.277995	0.0860936	0.139457	2.7756	1.28163	1.08581
