Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
0	-56.24816	0	-56.24816	0.130495	0.112379	0.174619	0.122317	0.107825	0.0780455	2.3128	0.727778	0.304913
10000	-32.57278	0	-32.57278	0.151327	0.0609005	0.110608	0.280233	0.121623	0.0706975	0.613642	1.14398	0.535263
20000	-27.38192	0	-27.38192	0.057444	0.127421	0.121282	0.119966	0.102664	0.102431	0.860231	0.496977	1.28491
30000	-27.03918	0	-27.03918	0.158446	0.0683491	0.150459	0.325857	0.210306	0.0932601	1.00918	0.0944967	0.519868
40000	-20.61894	0	-20.61894	0.125197	0.0860721	0.422384	0.139451	0.145418	0.0989658	3.54228	1.137	1.29637
50000	-33.05924	0	-33.05924	0.313712	0.352828	0.140408	0.219795	0.157428	0.0992192	0.660696	0.581742	0.742953
60000	-28.70419	0	-28.70419	0.164744	0.156304	0.113548	0.105991	0.0563042	0.114992	1.78803	0.0703123	1.00052
70000	-29.9929	0	-29.9929	0.139975	0.182405	0.104175	0.212363	0.193772	0.226198	3.38579	0.327584	0.87367
80000	-20.98673	0	-20.98673	0.106846	0.127315	0.155778	0.128904	0.242846	0.154988	1.6566	0.700667	1.41371
90000	-23.18375	0	-23.18375	0.121765	0.153002	0.296992	0.191585	0.105421	0.225948	2.47401	0.747511	2.7372
100000	-30.47968	0	-30.47968	0.0606302	0.0871555	0.206167	0.230626	0.169453	0.0744365	0.769312	0.393646	0.146625
110000	-22.35599	0	-22.35599	0.173647	0.0903572	0.153402	0.17321	0.184196	0.0885738	1.01718	0.577207	0.712039
120000	-25.61922	0	-25.61922	0.188398	0.0983751	0.183199	0.133467	0.0685378	0.103211	6.36706	1.79448	0.845573
130000	-28.56613	0	-28.56613	0.108847	0.142721	0.338532	0.176318	0.131757	0.0601323	0.183896	0.161803	1.39697
140000	-22.49716	0	-22.49716	0.0375555	0.110315	0.228461	0.285035	0.118029	0.104069	0.965617	0.616847	2.3642
150000	-19.01364	0	-19.01364	0.124118	0.0738923	0.173534	0.312927	0.10405	0.10932	2.42178	0.606546	0.702332
160000	-22.40019	0	-22.40019	0.079307	0.0991536	0.179825	0.323186	0.0885863	0.14776	2.40345	0.878571	0.563005
170000	-26.28668	0	-26.28668	0.136137	0.100531	0.412426	0.181261	0.0677365	0.0688049	2.01446	0.455601	0.855471
180000	-22.64854	0	-22.64854	0.0885612	0.107587	0.0913986	0.134278	0.154532	0.0669246	2.62178	0.686967	1.0592
190000	-23.17341	0	-23.17341	0.070208	0.142176	0.198623	0.451548	0.174027	0.103521	1.29312	0.218897	0.93667
200000	-30.26143	0	-30.26143	0.0999094	0.194799	0.122704	0.371842	0.13251	0.0548045	0.908126	0.33472	0.445033
210000	-25.78323	0	-25.78323	0.276378	0.0840071	0.354027	0.129799	0.165452	0.104337	2.72472	0.226685	1.76032
220000	-24.01456	0	-24.01456	0.0701619	0.114875	0.193419	0.131883	0.133454	0.156502	1.10556	0.714416	0.914895
230000	-31.31222	0	-31.31222	0.126455	0.277431	0.0784227	0.135058	0.178362	0.127338	0.368822	0.264465	1.12501
240000	-19.72948	0	-19.72948	0.0971714	0.180167	0.100165	0.131046	0.107102	0.118472	1.99815	0.747604	1.34575
250000	-24.51083	0	-24.51083	0.0706976	0.0714884	0.206511	0.136179	0.0889493	0.115374	1.20478	0.890728	0.775938
260000	-16.5641	0	-16.5641	0.112237	0.160444	0.13887	0.208533	0.167304	0.094864	2.31718	1.47799	1.30607
270000	-23.91258	0	-23.91258	0.120044	0.151503	0.182472	0.166747	0.17569	0.113429	0.695158	0.2053	2.80523
280000	-32.07183	0	-32.07183	0.324231	0.11922	0.172326	0.152755	0.158632	0.0974276	0.549366	0.267299	0.421602
290000	-26.72012	0	-26.72012	0.0874838	0.0533526	0.0726413	0.254545	0.0999456	0.121367	0.713443	0.338558	0.978816
300000	-29.6051	0	-29.6051	0.100343	0.108457	0.186703	0.382954	0.263146	0.159086	1.46382	0.411065	0.689109
310000	-25.89153	0	-25.89153	0.123635	0.292308	0.159155	0.273786	0.104378	0.0961432	1.50649	0.16184	0.303091
320000	-29.32171	0	-29.32171	0.279134	0.0871206	0.14397	0.147182	0.145378	0.145	1.85582	0.19032	0.556106
330000	-28.82686	0	-28.82686	0.105386	0.180106	0.208282	0.36532	0.202143	0.102029	1.02843	0.322434	0.74948
340000	-31.43926	0	-31.43926	0.250522	0.155557	0.1889	0.255827	0.266074	0.0836409	0.184981	0.370933	0.88204
350000	-24.35938	0	-24.35938	0.105589	0.0921751	0.152368	0.236051	0.138486	0.0830021	2.2282	0.5881	0.810071
360000	-30.78679	0	-30.78679	0.131206	0.098484	0.295798	0.211515	0.0688688	0.0779033	0.767117	0.908911	0.151984
370000	-28.94373	0	-28.94373	0.0913337	0.0938448	0.223257	0.124622	0.259647	0.173336	0.486506	2.16287	0.832147
380000	-25.92262	0	-25.92262	0.252456	0.184673	0.168718	0.269865	0.103406	0.0958749	1.4501	0.195147	0.344974
390000	-18.78235	0	-18.78235	0.111484	0.13227	0.314283	0.132959	0.115895	0.131394	2.57167	0.967975	1.48541
400000	-26.62835	0	-26.62835	0.0885481	0.146883	0.0929271	0.243162	0.0792883	0.121958	0.962675	0.184088	1.61446
410000	-18.62338	0	-18.62338	0.0875167	0.0688624	0.257329	0.170795	0.118741	0.15388	1.93682	0.366425	1.19372
420000	-30.68648	0	-30.68648	0.0614438	0.102981	0.287111	0.632476	0.192578	0.0783193	6.43771	0.341335	0.478768
430000	-29.80663	0	-29.80663	0.340851	0.242748	0.313941	0.273332	0.249903	0.0784508	1.80173	0.418495	0.472826
440000	-23.60044	0	-23.60044	0.114523	0.12798	0.2222	0.18031	0.117023	0.11143	0.525266	0.410632	1.80555
450000	-25.26194	0	-25.26194	0.0994353	0.085303	0.291274	0.325694	0.130434	0.103692	0.672424	0.454553	2.12879
460000	-25.20161	0	-25.20161	0.11355	0.223631	0.133181	0.193594	0.180329	0.0472514	0.636385	0.150647	0.854692
470000	-23.23982	0	-23.23982	0.170235	0.133149	0.169473	0.32898	0.078064	0.102529	5.65408	1.30759	1.58796
