Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
0	-51.69979	0	-51.69979	0.14832	0.0995214	0.134619	0.118798	0.0672919	0.314882	0.0461174	0.886276	0.579478
10000	-21.00181	0	-21.00181	0.142224	0.110049	0.395035	0.232533	0.193494	0.250895	2.02906	0.329949	2.06368
20000	-22.23096	0	-22.23096	0.104204	0.101646	0.224661	0.173316	0.489326	0.0870025	3.06976	1.48807	0.28479
30000	-22.44167	0	-22.44167	0.124331	0.155532	0.32506	0.194373	0.0586583	0.0811261	1.98504	0.270275	0.750212
40000	-18.57313	0	-18.57313	0.316946	0.078785	0.124645	0.140253	0.151228	0.154081	3.48724	4.36809	0.319834
50000	-18.43899	0	-18.43899	0.177738	0.0722844	0.135298	0.21833	0.0924639	0.0807039	2.01446	0.608746	1.10791
60000	-13.41384	0	-13.41384	0.205166	0.240424	0.11256	0.18402	0.14419	0.179188	3.60575	0.745176	1.54021
70000	-13.57107	0	-13.57107	0.145497	0.117492	0.282096	0.252384	0.203225	0.146448	3.80676	0.823436	2.97363
80000	-18.51911	0	-18.51911	0.131367	0.100681	0.163419	0.201677	0.123201	0.137964	2.07359	0.608927	0.102109
90000	-17.05942	0	-17.05942	0.207431	0.111946	0.154759	0.240874	0.107128	0.104867	3.3697	0.232198	0.870412
100000	-17.66306	0	-17.66306	0.224829	0.122109	0.20922	0.13972	0.118018	0.128555	3.22885	1.12267	0.782291
110000	-12.95282	0	-12.95282	0.195055	0.24673	0.112989	0.250202	0.112991	0.129434	3.59686	0.373142	0.459854
120000	-20.19725	0	-20.19725	0.0607399	0.207034	0.198316	0.216106	0.156607	0.122146	0.822352	0.475819	1.03852
130000	-19.34205	0	-19.34205	0.220815	0.258597	0.0780245	0.240278	0.117841	0.0326966	2.57364	1.48638	0.670018
140000	-15.77857	0	-15.77857	0.157716	0.0844984	0.122996	0.306545	0.160513	0.105828	2.26678	0.589304	0.773968
150000	-20.04012	0	-20.04012	0.145498	0.13571	0.456167	0.17504	0.168355	0.118158	4.81567	0.801539	1.44556
160000	-17.53085	0	-17.53085	0.121286	0.142409	0.37089	0.191521	0.212575	0.0608727	3.66989	0.371394	2.01531
170000	-14.41674	0	-14.41674	0.146829	0.0980566	0.167906	0.727436	0.114349	0.0560897	7.7475	1.29925	0.624876
180000	-14.81869	0	-14.81869	0.208605	0.0640934	0.280122	0.195747	0.125927	0.127438	2.81774	2.95999	1.17734
190000	-15.1708	0	-15.1708	0.218789	0.246329	0.186392	0.344624	0.208774	0.142359	3.74006	1.30032	1.76838
200000	-23.81764	0	-23.81764	0.127041	0.186597	0.249005	0.197584	0.100849	0.134029	3.87156	0.284674	1.17831
210000	-21.75502	0	-21.75502	0.0725154	0.16084	0.401637	0.214396	0.228766	0.118858	2.09886	0.40769	1.39129
220000	-14.30949	0	-14.30949	0.291381	0.0791747	0.125623	0.476626	0.171272	0.0977904	4.12155	0.40147	1.65655
230000	-21.56741	0	-21.56741	0.067356	0.119146	0.166386	0.251924	0.112638	0.139204	1.75178	0.874938	0.919448
240000	-14.47037	0	-14.47037	0.230881	0.143524	0.104391	0.333986	0.330041	0.0933438	2.52097	1.64028	1.33666
250000	-17.66242	0	-17.66242	0.175965	0.168403	0.0726661	0.243133	0.0662412	0.0730381	1.22125	0.387533	1.53134
260000	-17.98708	0	-17.98708	0.0936253	0.0978662	0.116608	0.199902	0.177363	0.262117	3.3854	0.0865483	2.46255
270000	-16.24622	0	-16.24622	0.149449	0.0812421	0.13801	0.32115	0.0579079	0.0910457	3.70514	5.29874	1.02661
