taxon	fad	lad
t1	19.4770306395367	19.4770306395367
t2	15.9834812467371	8.13350803438197
t3	14.6226336478586	3.85327443721313
t4	14.5358794024855	12.3758362123571
t5	7.73153232216393	0.260046456036424
t6	7.54994422696897	2.23843428902573
t7	2.56693968369216	2.56693968369216
t9	3.1063842071402	3.1063842071402
t10	12.3323448900153	12.3323448900153
t12	4.86920742755261	4.86920742755261
t13	8.96947536931078	5.42722361041778
t14	6.09240701130037	1.26451314513239
t15	5.89533468074341	5.11931292244683
t16	4.60552739151413	2.34456296494148
t17	4.15702009150091	4.15702009150091
t19	8.38849987827956	1.56955373338535
t24	2.36613282756929	0.757289823754164
t28	3.1299313421783	3.1299313421783
t33	1.01260546102586	1.01260546102586
t36	1.30100850124583	0.90807467694788
