Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
0	-208.0648	0	-208.0648	0.138199	0.203146	0.148121	0.0765258	0.204405	0.137404
10000	-75.43206	0	-75.43206	0.161592	0.0724999	0.250705	0.359629	0.175301	0.277403
20000	-73.24003	0	-73.24003	0.117673	0.129623	0.418281	0.32844	0.148616	0.311034
30000	-68.44156	0	-68.44156	0.0668282	0.106807	0.723946	0.19282	0.179295	0.145721
40000	-70.87027	0	-70.87027	0.174369	0.153139	0.467049	0.30681	0.0851031	0.189963
50000	-76.76957	0	-76.76957	0.0764281	0.18213	0.268996	0.312166	0.125803	0.218539
60000	-74.65572	0	-74.65572	0.0859075	0.118619	0.335285	0.223699	0.184972	0.173364
70000	-69.12492	0	-69.12492	0.063396	0.191756	0.257284	0.165292	0.111898	0.20648
80000	-75.99141	0	-75.99141	0.112043	0.0921931	0.331139	0.166775	0.102286	0.131231
90000	-75.43362	0	-75.43362	0.130796	0.206753	0.611732	0.168722	0.33691	0.268724
100000	-73.02691	0	-73.02691	0.111152	0.160279	0.437615	0.283624	0.16899	0.318139
110000	-60.09732	0	-60.09732	0.0586371	0.146939	0.686594	0.238308	0.142856	0.154725
120000	-82.58126	0	-82.58126	0.0918883	0.234123	0.294504	0.155675	0.0750362	0.166683
130000	-73.82622	0	-73.82622	0.0908124	0.131078	0.312815	0.286338	0.255797	0.201649
140000	-76.63912	0	-76.63912	0.104632	0.143002	0.397905	0.250445	0.109552	0.176661
150000	-64.27929	0	-64.27929	0.0669953	0.194863	0.291619	0.212669	0.196499	0.226098
160000	-76.97569	0	-76.97569	0.0986384	0.177472	0.235155	0.233962	0.266213	0.166806
170000	-70.50558	0	-70.50558	0.0514799	0.202102	0.309161	0.352182	0.158788	0.0940954
180000	-66.38924	0	-66.38924	0.105747	0.183998	0.320465	0.279017	0.197209	0.099524
190000	-71.91696	0	-71.91696	0.116773	0.132473	0.206148	0.262458	0.147257	0.195736
200000	-79.46466	0	-79.46466	0.0766236	0.171704	0.444362	0.17617	0.114966	0.225615
210000	-73.79638	0	-73.79638	0.0922041	0.229439	0.396364	0.279483	0.1403	0.0456494
220000	-64.57815	0	-64.57815	0.113414	0.130767	0.433367	0.232964	0.214732	0.1533
230000	-70.12089	0	-70.12089	0.118532	0.132162	0.204783	0.266832	0.132155	0.131396
240000	-66.47164	0	-66.47164	0.0911888	0.126127	0.29149	0.201983	0.216006	0.0987905
250000	-76.63387	0	-76.63387	0.115526	0.108084	0.501146	0.264154	0.147558	0.107607
260000	-84.12091	0	-84.12091	0.0659421	0.098588	0.351883	0.270153	0.153605	0.202928
270000	-79.13312	0	-79.13312	0.0434112	0.10606	0.48753	0.38083	0.204575	0.173039
